8:03 AM - 13 Dec 2015|Celebrated Frank Sinatra's 100th Birthday right way pic twitter com RySkPX7J24|12|10
8:05 AM - 13 Dec 2015|When bestie show wearing pants #thecarlyle pic twitter com 6jo8No5gfO|10|11
8:06 AM - 13 Dec 2015|Historians The Carlyle #sinatrapack pic twitter com GVlAy2A58o|11|10
4:14 PM - 12 Dec 2015|Extra Dirty Frank #HappyBirthdayFrank pic twitter com cRaksmuHgl|11|10
4:41 PM - 12 Dec 2015|Christmas The City pic twitter com iXs96loanx|11|12
1:40 PM - 12 Dec 2015|Catching Glam moments #Honeybglam pic twitter com ACsj9ataBB|11|13
10:55 AM - 12 Dec 2015|May live 100 last voice hear mine #HappyBirthdayFrank 100 Years Magic pic twitter com qpU9veAKcZ|6|11
7:32 PM - 11 Dec 2015|You'll forget wins losses You'll forget halftime talks You'll forget ups downs BUT YOU'LL NEVER FORGET YOUR TEAMATES|138|190
6:38 PM - 11 Dec 2015|I don't FIND time exercise I MAKE time exercise|37|51
11:39 PM - 11 Dec 2015|If don't time right time -John Wooden|36|45
4:44 AM - 12 Dec 2015|If accept expectations others especially negative ones never change outcome -Michael Jordan|75|86
4:05 AM - 12 Dec 2015|1 Be aggressive 2 Be MORE aggressive 3 Never satisfied -Pete Rose|151|190
8:49 AM - 12 Dec 2015|When walk opportunities door don't knock Kick smile introduce -Dwayne Johnson|53|75
9:38 AM - 12 Dec 2015|God places heaviest burden carry weight -Reggie White|49|58
7:23 PM - 7 Dec 2015|Your body priceless possession you've got take care -Jack Lalanne|166|232
8:21 PM - 8 Dec 2015|#SistersPremiere Look pic twitter com 5YxS8QCoKl|9|11
8:38 PM - 8 Dec 2015|Time catch Z's Sweet Dreams pic twitter com UKQf7bPl0L|11|14
8:17 AM - 9 Dec 2015|Representing #DiamondsUnleashed morning Kora Ross Good Day New York pic twitter com hd2c4fjiDw|11|12
2:41 PM - 9 Dec 2015|We night pic twitter com UOqxvwcAq2|9|11
6:06 PM - 9 Dec 2015|Greg give #DiamondsUnleashed #GoodDayNY pic twitter com ss0sFy7m6K|11|12
5:42 AM - 10 Dec 2015|Sweat River Flows Soul #werunit #sweaton #fitness pic twitter com sOSRfBY9Lc|11|13
2:59 PM - 10 Dec 2015|Currently getting glammed #DiamondsUnleashed #honeybglam pic twitter com oVv350Bt1j|10|13
3:01 PM - 10 Dec 2015|Diamonds Unleashed Launch Party #countdownbegins pic twitter com rcOnKRcw2G|11|14
7:16 AM - 11 Dec 2015|Last night's look Glam Eileen pic twitter com eWM6Cg1kcq|11|13
10:42 AM - 11 Dec 2015|Beautiful NYC Walk #spiritualgangster #goodvibes pic twitter com KnlcZRO4Rl|9|13
1:52 PM - 11 Dec 2015|Rig Olive Happy Hour pic twitter com r8itFv7loo|11|16
10:40 AM - 12 Dec 2015|Always fun times #doubletrouble https twitter com thesharkdaymond status 675552965470588929|10|10
