5:28 AM - 25 Nov 2015|#StartUPs in the #WearableTech #FashionTech #Hardware #MakersSpace?Lets Meet at #TCDisrupt Help us Help YOU #StartUp pic.twitter.com/L3Z71TRmlr
4:49 AM - 23 Nov 2015|Writing a Tech Startups, Where Are They Now . Any consumers with experience @MyBranto or @Pebble? #journorequest pic.twitter.com/0zsltSCrz7
3:02 PM - 16 Nov 2015|infinity pic.twitter.com/AggB67sADC
7:45 AM - 17 Nov 2015|Nothing like a little #aurora to get things started. Good morning from @space_station! #YearInSpace pic.twitter.com/xMDGoWqXoy
2:31 AM - 13 Nov 2015|#StartUP in the #WearableTech #FashionTech #Hardware #MakersSpace?Lets Meet at #TCDisrupt Help us Help YOU #StartUps pic.twitter.com/L3Z71TRmlr
1:22 AM - 12 Nov 2015|I am attending #WebSummit 2016 in Lisbon. Would love to nominate a fab #womanintech to attend for free.Get in touch! pic.twitter.com/Nf4zNQjhxH
5:11 AM - 3 Nov 2015|#StartUP in the #WearableTech #FashionTech #Hardware #MakersSpace?Lets Meet at #TCDisrupt Help us Help YOU #StartUps pic.twitter.com/L3Z71TRmlr
1:41 PM - 2 Nov 2015|Fashion is not a frivolous pastime & technology is not only for geeks  -Muchaneta (@FashNerd Editor) #FashionTech pic.twitter.com/l2DMESbJaX
2:42 AM - 30 Oct 2015|What's More Important in Your WearableTechnology? WearableTech w/ Empathy(Context) or Wearables w/ Security(Privacy)
2:00 PM - 29 Oct 2015|And the #DKNYchallenge Winner is..Congrats @rodneybwilliams + @lisnr team on your win!  #DFNYC @dkny @DecodedFashion pic.twitter.com/pOdfRpCGaD
7:31 AM - 29 Oct 2015|Where R We? We're Listening to @gbzilles, @LEVIS Chief Merchandising Officer on #DFNYC main stage at @DecodedFashion pic.twitter.com/X2IN0acQhv
8:14 AM - 28 Oct 2015|Fashion is About Emotion. Technology is About Utility. How do They Come Together?- Future of #Wearables #DFNYC pic.twitter.com/0Hs7XpzxxF
10:24 AM - 25 Oct 2015|Twitter SetUP #MyFirstTweet #AerialCinematography #UMA4K #CinemaTech #DroneFootage #DroneFilming @amaser @drones pic.twitter.com/I6LxiUN7Na
1:20 AM - 21 Oct 2015|#StartUP in the #WearableTech #FashionTech #Hardware #MakersSpace? Lets Meet at #disrupt2015 Help us Help #StartUps pic.twitter.com/p3mZCnDr8l
3:17 AM - 15 Oct 2015|@ATravellingCook Yeah the Wearables space is still in its infancy. Like these though @ouraring @getringly @bekovert pic.twitter.com/REdMeh1MVq
12:21 PM - 11 Oct 2015|The 1850's | Are These Solid Silver Chatelaines the First Women's #WearableTech Jewelry? #Wearables #Fashion pic.twitter.com/rhiHVllqTa
6:12 AM - 9 Oct 2015|Let #FashNerd @WearTechStylist Style Your Look  @JINS_PR @WiseWear @aivvy @LeohtWT @APPLEOFFIClAL @Misfit #TheEdit pic.twitter.com/Lmwv1BX2af
10:00 AM - 8 Oct 2015|Live in #NYC? @FashNerd Seeks a #FashionBlogger to Attend & Write About an Amazing Tech Event Editor@FashNerd.com pic.twitter.com/cxdfPYCnw7
4:44 AM - 15 Sep 2015|@innovexeter @fitbit @ExeterStartup We get our ideas from our Tech ThinkTank @Novealthy :)
8:56 AM - 18 Sep 2015|How Would you Style Your @Jawbone  UP2? I Say Pair it up With Some Fab Bracelets. #LFW2015 #StylingTech @CamronPR pic.twitter.com/9Iix0mL7kc
3:31 AM - 18 Sep 2015|As #LFW2015 Unfolds, Make Sure to Catch our Very Own @FashNerdEditor at the #FROW & #AskFashNerd on #Periscope @JuliaWhite @WearTechStylist
2:45 PM - 9 Sep 2015|@Jawbone, I sure did. I look forward to styling this tech beauty at LFW  @CamronPR @FashNerd @LondonFashionWk pic.twitter.com/LoMyTgBP8W
10:49 AM - 30 Aug 2015|Surprised no @TEDTalks on #fashion #technology or #wearables - surely high profile enough now to warrant a few talks on different angles
4:33 AM - 4 Sep 2015|@Novealthy @WearableGuru @ramez Well, if they need a volunteer for full interfacing...just saying. ;)
4:44 AM - 3 Sep 2015|When #FashionTech Superstars Grab the MIC, FashNerds Listen @_r_y_a_n co-founder @CuteCircuit @ #interlaced2015 pic.twitter.com/RzsHtHlHwd
1:21 AM - 6 Aug 2015|#DidYouKnow The Apple Watch has the Ability to Store About 60 Different Types of Data #WearableTech #Wearables pic.twitter.com/JPsjk3RxAF
6:55 AM - 1 Aug 2015|Theres no difference btwn my brain & the software. My body & cybernetics have merged, I am Technology. #NeilHarbisson pic.twitter.com/BQwmjGu1cl
10:45 AM - 14 Jul 2015|First high resolution image of Pluto causes concern: pic.twitter.com/ZVIT0BEFX6
11:39 PM - 3 Jul 2015|Solar Impulse Plane Touches Down in Hawaii After Breaking Non-stop Solo Record @WorkTechWork @solarimpulse pic.twitter.com/Oz5hKWG0Q2
1:17 AM - 27 Jun 2015|@Novealthy @frogdesign  robot entourages will become a reality. Congestion at a whole new level. Clouds of other peoples buzzing bots
2:49 AM - 26 Jun 2015|A good relationship starts with giving #branding #entrepreneurship
3:29 PM - 25 Jun 2015|@igmorrison Wearables will actually end up being fashionable, user friendly, intuitive and with privacy and security features.
6:09 AM - 24 Jun 2015|Let @FashNerd be THE platform to creatively write about the #WearableTech you are most passionate about. #TechWriters @CharityMarlynn
11:01 PM - 23 Jun 2015|Apple's Joining The Bluetooth Round Table w/ @ericsson @intel @lenovo @Microsoft @nokia @ToshibaUSA #WearableTech pic.twitter.com/5BhFc68HSO
4:00 AM - 23 Jun 2015|The Safety Truck from @Samsung Shows the Road Ahead #TrafficTech #SafetyFirst pic.twitter.com/WmHgHyjU6w
6:30 AM - 22 Jun 2015|#SmartTextiles & #Innovative Design Processing Set To Rule #Fashion | @NATALIAALLEN @DropelFabrics @projectjacquard pic.twitter.com/TCixulEzdW
10:49 AM - 20 Jun 2015|Happy #WorldSurfingDay! Especially to all you Dads on #FathersDay tomorrow. pic.twitter.com/59faqGZs26
11:37 PM - 19 Jun 2015|New IndieGoGo | Gogo-S: Wireless & Waterproof Sports Earbuds @GWearables #WeLoveWireless #Hearables #WearableTech pic.twitter.com/nM36eSNYdA
3:08 AM - 17 Jun 2015|Apple Watch 2: We Want More Sensors Less Clicks More Flicks, A Round Face & Longer Battery Life @kevinlynch @tim_cook pic.twitter.com/5gStS9l9X9
