7:24 AM - 2 Dec 2014|*Begins planning world domination*
8:13 PM - 30 Nov 2015|Don't let the world bring you down, There's always hope for the willing.  You're Not Alone // OM&M 
7:31 PM - 30 Nov 2015|When you realize your workout shorts have been on backwards all night..
6:33 PM - 30 Nov 2015|I want tea, but it's all the way downstairs
2:36 PM - 24 Nov 2015|my wallet needs to be as thick as my thighs
12:38 PM - 24 Nov 2015|Parents: you liking these bands is just a phase  Me: HAHA NO IT'S NOT
1:54 PM - 3 Nov 2015|just blessing some timelines and making some cry pic.twitter.com/hHgA0tvk7L
6:07 PM - 30 Nov 2015|When in doubt, put on the lion onesie.
9:16 PM - 6 Nov 2015|Important. pic.twitter.com/rliFfIcNh5
4:44 PM - 30 Nov 2015|When you find @KilljoyDream117 s fake coin in your bra
4:12 AM - 26 Nov 2015|Cuddling literally kills depression, relieves anxiety, and strengthens the immune system.
3:21 PM - 30 Nov 2015|Hello from the other side...   ...Of the couch... pic.twitter.com/Ek6eNdOpsu
3:09 PM - 30 Nov 2015|Mexican Star Wars pic.twitter.com/Ah0dpm442q
2:45 PM - 30 Nov 2015|Katela is my #OTP
2:29 PM - 30 Nov 2015|I might not get out of bed tomorrow
2:24 PM - 30 Nov 2015|Ugh gym feels
11:21 AM - 30 Nov 2015|One more class to survive..
9:54 AM - 30 Nov 2015|Ugh I don't wanna
9:30 AM - 30 Nov 2015|It is never too late to be what you might have been.  ~George Eliot
9:19 AM - 30 Nov 2015|Really wishing school was unnecessary
4:20 AM - 30 Nov 2015|Could someone invent a portable coffee maker that could survive life in my backpack?
4:18 PM - 25 Nov 2015|things you need to know when dating a stubborn girl   this couldn't be more accurate pic.twitter.com/aWJgPz4GBK
3:43 AM - 30 Nov 2015|Is wearing a lion onesie to school acceptable?
3:18 AM - 30 Nov 2015|Today is not my day - everyday
8:12 PM - 29 Nov 2015|Night humans 
8:12 PM - 29 Nov 2015|Is wishing on 11:12 a thing? 
8:04 PM - 29 Nov 2015|You people are fab 
8:04 PM - 29 Nov 2015|So @LittleRedHead__ is follower number 30,000 
7:44 PM - 29 Nov 2015|Forever wishing I had the ability to use the force
4:22 PM - 29 Nov 2015|Sooooooo 86 followers until 30k
4:01 PM - 29 Nov 2015|k im done
3:59 PM - 29 Nov 2015|My boyfriend @Cxzpur wants to hit 1k by the morning. Make it happen. I'll give you a free hug c:
9:03 AM - 29 Nov 2015|Kinda want to hit 30k followers today.. Kinda don't think I'll make it.  Help?
3:36 AM - 29 Nov 2015|Pain changes people.
4:58 PM - 20 Nov 2015|the accuracy  pic.twitter.com/DxLVXT09j5
9:48 PM - 28 Nov 2015|I think my friend was built            backwards His nose runs and his feet           smell
5:39 PM - 28 Nov 2015|@PassionPosts @_RaeOfSunlight The greatest thing you'll ever learn is just to love and be loved in return - Moulin Rouge
2:30 PM - 28 Nov 2015|I go to sleep every night thinking of you.
1:42 PM - 28 Nov 2015|I've got 99 problems and almost all of them are school-related.. Ugh. I hate trying to catch up on homework.
10:52 AM - 28 Nov 2015|Today is not my day
9:12 AM - 28 Nov 2015|Apparently I just always smell like coffee..
8:05 AM - 28 Nov 2015|The best feeling in the world is knowing that you actually mean something to someone.
6:45 AM - 18 Nov 2015|This choreography is insane! pic.twitter.com/m4iRLXHKc6
11:09 PM - 27 Nov 2015|Nightmares suck 
