6:25 PM - 9 Nov 2015|crazy idea... pic.twitter.com/sCQ3e3yhCo
12:49 PM - 4 Nov 2015|@_evolvingplanet  My Brain can be blown just from it (look imaging) pic.twitter.com/4dJzuxHLxK
1:43 PM - 27 Oct 2015|Life is composed of the stuff stars spill out, and the stuff galaxies collect. We are the universe studying itself. pic.twitter.com/pbDZG4xtQv
8:55 AM - 8 Oct 2015|Cosmic clouds/energetic stars inhabit the skies less than 500 LY's away in northern constellation Corona Australis. pic.twitter.com/fbDIexo5EG
7:41 AM - 23 Sep 2015|The balance of nature must be maintained pic.twitter.com/b38wqwyPiC
4:20 AM - 23 Sep 2015|Just a seal hugging a penguin pic.twitter.com/of7MoRvhB3
12:50 PM - 18 Aug 2015|Each year, nearly 1 billion chickens are tortured & SCALDED ALIVE for @kfc. CC: @normmacdonald #KentuckyFriedCruelty pic.twitter.com/kOPgmb4yXI
2:10 AM - 8 Aug 2015|Latest on #TyphoonSoudelor - weakening but still forecast to make landfall in E China as a strong #typhoon Nina pic.twitter.com/V2G9v9UE1o
9:15 AM - 15 Feb 2015|Have you seen this strange living rock yet?
6:10 PM - 13 Feb 2015|Have you seen this strange living rock yet?
6:15 PM - 12 Feb 2015|These Abominations Will Haunt Your Nightmares. Yes They Are Real.
1:10 PM - 12 Feb 2015|Have you seen this strange living rock yet?
9:15 AM - 11 Feb 2015|These Abominations Will Haunt Your Nightmares. Yes They Are Real.
3:15 PM - 10 Feb 2015|These Abominations Will Haunt Your Nightmares. Yes They Are Real.
9:01 AM - 6 Feb 2015|Are You Afraid Of Spiders? This Will Make You Feel Sorry For Them, Or Be Happy They Have To Endure Such Terror
