2:21 PM - 10 Dec 2015|short fader doc making art angelz I get nervous interviews sorry I'm bit inarticulate https www youtube com watch v fi2N5KHgO80|410|1.2K
10:34 AM - 11 Dec 2015|Canada amazing https twitter com kinajpg status 675368954957832192|47|241
2:08 PM - 3 Dec 2015|When child thinks camera gun need stop pic twitter com 2wXsel7znS|46K|34K
10:16 AM - 11 Dec 2015|MY YOUTH IS YOURS|14K|22K
10:34 AM - 11 Dec 2015|T H E S O U N D L O V E pic twitter com aaEMsy21HW|1.9K|4.6K
3:26 PM - 10 Dec 2015|ya boy got lil dressed @CalvinKlein pic twitter com uXaFwljqSc|12K|33K
3:07 PM - 10 Dec 2015|post bad selfie late delete pic twitter com s9Rphg5fwB|54|77
9:40 AM - 10 Dec 2015|ready next tv performance pic twitter com 2bW9HxvRfE|10K|19K
5:37 PM - 25 Nov 2015|ur period cramps u gotta play cool pic twitter com ZwRHaQxE16|2.8K|3.4K
10:18 AM - 10 Dec 2015|I L I K E I T W H E N Y O U S L E E P F O R Y O U A R E S O B E A U T I F U L Y E T S O U N A W A R E O F I T pic twitter com ysrlcN3WY6|5.6K|8.1K
9:39 AM - 10 Dec 2015|Listen 'UGH ' - another new song @the1975's second album - right http diymag com 2015 12 10 the-1975-ugh-new-song pic twitter com GVhO0S8id1|210|213
8:10 AM - 10 Dec 2015|U G H - 5 3 0 P M U K @beats1 @zanelowe L O V E pic twitter com AJAsjpN9rl|1.9K|3.5K
2:01 PM - 9 Dec 2015|honestly made emo don't want talk pic twitter com zrEN8NAHmb|1.8K|4.3K
8:09 AM - 7 Dec 2015|Moseby reindeer pic twitter com H0ugZeHr2e|1.6K|3.2K
3:20 PM - 9 Dec 2015|@Smallzy missing u NYC pic twitter com YkTpEi2hk0|2.7K|6.6K
7:24 AM - 8 Dec 2015|Bill 7 passed last night adds gender identity expression Alberta Human Rights Act #trans #equality #ableg pic twitter com rhHI00naHn|124|116
9:01 PM - 7 Dec 2015|gays keep young|29|62
6:08 AM - 9 Dec 2015|hi social justice person everyone THIS CLAPBACK|108|352
9:52 PM - 8 Dec 2015|IF YOU MISSED IT HERES THE PERFORMANCE http youtu MLKkwQM7uEY #TROYEONFALLON|8.6K|18K
2:26 PM - 8 Dec 2015|favourite part concerts let us sing pic twitter com 1ljUQ8z8tt|175|389
5:05 AM - 7 Dec 2015|Pink Palladium pic twitter com 1dlRZp3Zl9|1.9K|4.8K
10:44 AM - 8 Dec 2015|L O V I N G S O M E O N E L O V E pic twitter com cpdjLxgBKY|2.5K|5.1K
10:15 AM - 8 Dec 2015|@PressSec His call ban Muslims disqualifies @realDonaldTrump serving president http cnn 1NI7cq3 http cnn 1TyZeUF|7.8K|5.3K
9:00 AM - 8 Dec 2015|Amazon CEO offers use West Texas launch site send Donald Trump space http d-news co VCLGz pic twitter com G8yO8mmC8j|167|191
12:42 PM - 8 Dec 2015|U G H - W O R L D R E C O R D T H U R S D A Y 5 3 0 P M U K @beats1 @zanelowe L O V E pic twitter com 8UOemNpM56|2.7K|5.6K
6:06 AM - 8 Dec 2015|Announcing new #CryBabyTour dates Tix pre-sale 12 10 sign email list get code Tix on-sale 12 11 pic twitter com Gge9MCFy7g|6.9K|12K
7:18 AM - 8 Dec 2015|I'm happening pic twitter com eK725bZStF|11K|29K
6:51 PM - 6 Dec 2015|Seriously @bornsmusic substantive important pop artist right|171|565
3:59 AM - 8 Dec 2015|How horrible Voldemort nowhere near bad https twitter com BBCNewsbeat status 674170911344455680|220K|200K
7:35 PM - 7 Dec 2015|Halsey wrote song Matty singing Terminal 5 it's good pic twitter com FiJ4lhXx5i|21|58
10:56 AM - 7 Dec 2015|S O M E B O D Y E L S E L O V E pic twitter com 5pYC3Uj1Ub|491|1.4K
3:13 PM - 16 Nov 2015|Shiba lives employed little cigarette shop Japan opens window greets customers pic twitter com oGTHdsc5rE|15K|16K
12:13 PM - 7 Dec 2015|SAINT WEST pic twitter com xZGpY7z8KW|110K|150K
11:17 PM - 6 Dec 2015|Me 1975 pic twitter com rQ2KcFqC2j|67|117
7:31 AM - 7 Dec 2015|Wolf Alice got nominated GRAMMY That's fucking amazing @wolfalicemusic|1.9K|5.8K
12:06 PM - 3 Dec 2015|The defunding Planned Parenthood part long-term smear campaign people want deny women right control bodies|12K|15K
9:10 PM - 6 Dec 2015|feel like one grotesquely detailed spongebob caricatures|59|163
4:42 PM - 4 Dec 2015|cute date song right im romantic https open spotify com track 0dEWmWQ5zpeD8bTZkaJs7o https amp twimg com v c00eac1a-64a9-4af9-b2dd-b04dd3d84d25|5.9K|13K
9:32 AM - 6 Dec 2015|Adam Ross dancing Drop It Like Its Hot credit owner pic twitter com Naw4USkIEw|331|519
10:54 AM - 6 Dec 2015|T H E B A L L A D O F M E A N D M Y B R A I N L O V E pic twitter com ky3JDE7U2g|2.5K|4.8K
9:28 PM - 5 Dec 2015|L O V E pic twitter com F5UxedLVcw|321|516
6:18 PM - 5 Dec 2015|So nice 2 b home I'm frog btw pic twitter com 7bxQM9RNHM|6.9K|14K
7:50 PM - 3 Dec 2015|Sup Boston good back states|518|2.1K
3:34 PM - 5 Dec 2015|Watch back importantly dry back it's cold world pic twitter com Nq36rkCAM0|3K|2.4K
9:47 PM - 1 Dec 2015|Bamboo pic twitter com PTKm1Wtt2K|1.9K|1.8K
8:00 AM - 5 Dec 2015|N Y C L O V E pic twitter com N4OPpdLJwA|3.3K|7.8K
2:22 PM - 4 Dec 2015|STOPPPPKRJWMDJQHNDNWKXWKD HOH YMMGOD https twitter com berleezy status 671366653255413761|5|73
4:06 PM - 4 Dec 2015|blue neighbourhood - @troyesivan 7 06 pm pic twitter com 57g1n9UH9O|514|870
10:14 AM - 5 Dec 2015|L O S T M Y H E A D L O V E pic twitter com tikH5avgZU|3.7K|7.5K
8:50 AM - 1 Dec 2015|matthew looks courteney way chandler looks monica don't know pic twitter com 8V1gpvnCCJ|9.1K|11K
9:04 PM - 3 Dec 2015|MY DEBUT ALBUM #BLUENEIGHBOURHOOD IS OUT WORLDWIDE RIGHT NOW|15K|22K
1:43 PM - 4 Dec 2015|mom call right pic twitter com l82hhCYIdC|5|10
10:11 AM - 4 Dec 2015|P L E A S E B E N A K E D L O V E pic twitter com Xm8XBvpF6T|4.6K|7.6K
10:11 AM - 4 Dec 2015|P L E A S E B E N A K E D L O V E pic twitter com JobaAeThW1|4.4K|7.9K
12:26 PM - 3 Dec 2015|OCD stands obsessive compulsive disorder I like arrange things neatly disorder|3.6K|4K
7:00 AM - 3 Dec 2015|TONIGHT -- @the1975 @SWIM_DEEP Doors 7pm Show 8pm All Ages SOLD OUT http cncrt ly 8nT pic twitter com uEMJ0FOS5F|36|80
6:04 AM - 3 Dec 2015|U S T O U R S P R I N G 2 0 1 6 L O V E http po st Spring2016USTour pic twitter com EMMriH8sbL|1.9K|4.1K
1:29 PM - 2 Dec 2015|thankful god given https twitter com YouTuberUpdates status 671933474866135040|32|148
12:25 PM - 2 Dec 2015|S N A P C H A T - @The1975 L O V E pic twitter com zCvMO7rR6z|2K|5.3K
12:39 PM - 2 Dec 2015|@ pro-gun activists don't u think someone's right life important ur right bear arms|66|79
7:53 PM - 1 Dec 2015|I guess porn industry handles things better college church corporation https twitter com thedailybeast status 671896791265222656|2.3K|2.4K
10:58 AM - 1 Dec 2015|John I can't wait welcome little x-pro II world https twitter com techcrunch status 671756775121489920|2.2K|8.3K
3:19 PM - 29 Nov 2015|sits 27 hours oil canvas portrait omg delete Bartholomew i'm serious fucking hang Great Hall|26K|38K
8:15 AM - 1 Dec 2015|Grimes @Grimezsz ' 'Art Angels' @Stereogum's Album Year http www stereogum com 1845609 the-50-best-albums-of-2015 franchises 2015-in-review pic twitter com CvpOkwfsPq|381|947
8:17 AM - 1 Dec 2015|good intentions lint rollers|74|249
5:19 AM - 30 Nov 2015|Packing USAAAAAAAA BABY pic twitter com C6vpbYk7Gi|71|383
9:19 AM - 1 Dec 2015|A C H A N G E O F H E A R T L O V E pic twitter com z3LyukNIaa|3.9K|7.9K
7:59 AM - 24 Nov 2015|Trump called protester fat kicked rally The protester told us that's worst part https amp twimg com v 0c2744ea-5390-41b2-9847-92c1e124f37e|7.4K|5.1K
4:32 PM - 29 Nov 2015|@sassymemes don't fucking rude stop acting like support people identify say shit like it's petty|161|548
3:05 PM - 29 Nov 2015|I running president must protect woman right choose must defend Planned Parenthood #JJdinner|4.1K|9.3K
9:50 AM - 30 Nov 2015|actual fuck https twitter com PAClFlCALLY status 671365657699729408|7|13
3:46 AM - 30 Nov 2015|U G H L O V E pic twitter com GbtaexjzjM|6.3K|12K
12:59 PM - 29 Nov 2015|look tbh pic twitter com 1KMhvUwlv1|75|107
7:05 AM - 28 Nov 2015|Get someone love Get someone need Fuck Get Money pic twitter com 12oslQeJ6G|240|390
4:54 AM - 28 Nov 2015|S O M E B O D Y E L S E L O V E pic twitter com NzMImJ55VU|5.6K|9.3K
4:16 AM - 28 Nov 2015|@DirtyHitRecords @the1975 @IndieLabelMkt chill I think that's mine|301|1.4K
6:41 PM - 26 Nov 2015|Donald Trump's new low Mocking journalist physical disability Serge Kovaleski New York Times pic twitter com 09cXFjJ7Ut|6.4K|4.1K
7:55 AM - 26 Nov 2015|happy slapsgiving everyone pic twitter com OQaAB2zDHL|89|74
