6:57 PM - 9 Dec 2015|btw remember turn notifications tweets wake subpar dick jokes 3|421|1.8K
9:45 PM - 9 Dec 2015|Dragon Quest VIII Journey Cursed King tight|12|40
1:02 AM - 8 Dec 2015|creamin screamin|278|1.1K
11:01 AM - 7 Dec 2015|I know said don't get spoon fed uni like handed chopstick told eat soup UCLA|631|1.5K
3:03 AM - 2 Dec 2015|wish lost weight fast lose motivation|6.9K|6.9K
7:02 PM - 1 Dec 2015|go masturbate|503|1.6K
6:41 AM - 30 Nov 2015|Baby Octopus pic twitter com kVcGcBGbnJ|435|629
12:33 PM - 28 Nov 2015|Just walked past man Gorilla suit man Banana suit smoking outside pub casually 3PM Is heaven hell|967|3.8K
12:29 PM - 23 Nov 2015|Get adventuring tools need Kecleon's Shop #PokemonSuperMysteryDungeon http bit ly 1NnFUVV pic twitter com 5JHRXmrbgw|110|473
7:23 PM - 22 Nov 2015|@falloutboy takes home #AMAs Favorite Artist - Alternative Rock http snpy tv 1I5n2yI|5K|7.5K
12:10 PM - 22 Nov 2015|Oh man Gravity Falls won BAFTA So honored Im getting whole crew plastered tea crumpets #BAFTA pic twitter com LuIpOrKMX3|1.2K|5.1K
1:03 PM - 22 Nov 2015|tfw you're getting PSLs bestie take hella basic selfie fleek point bae turnt squad yas doe|546|1.3K
7:50 PM - 20 Nov 2015|Growing doesn't mean grow Thanks every Gravity Falls fan taking trip back childhood #GravityFinale|4.1K|8.4K
1:11 PM - 19 Nov 2015|RT re ready join Expedition Society #PokemonSuperMysteryDungeon pic twitter com EgXHSbSNda|1.3K|1.5K
9:40 AM - 18 Nov 2015|Sherlock Holmes Case This One Guy Who Could Fit All This Messed-Up Junk His #Butt|186|785
