11:53 AM - 8 Dec 2015|Where deliver pic twitter com FXWgqAcbbV|7.6K|4.8K
5:22 PM - 9 Dec 2015|delete tweet 5 minutes ago https vine co v iWMbFTlHbzX|10K|8.7K
8:05 AM - 8 Dec 2015|What going outfit-wise pic twitter com ABl814wqCk|2|6
6:09 PM - 6 Dec 2015|This truly weird pic twitter com kweeovEfyk|48|61
5:11 PM - 6 Dec 2015|POTUS calls Congress authorize force Isis bar terror watch list buying guns ban assault weapons tighten visa waivers|402|304
1:53 PM - 6 Dec 2015|Mike Pettine says Absolutely I satisfied effort players pic twitter com 865yFqWoTk|52|63
10:35 AM - 6 Dec 2015|There currently unnamed media member #Browns press box checking grocery specials online rather watching game No joke|225|156
2:13 PM - 4 Dec 2015|Video TNP reporter @BiancaHillier back The Scene 2016 tell watch winter http bit ly 1IuCQLz|5|0
5:56 AM - 1 Dec 2015|Remember Cleveland even football gods cursed unending pain there's always pizza|120|104
7:40 AM - 30 Nov 2015|The @OUPattonCollege dean explains feels teachers deserve respect http bit ly 1LICbke|7|2
10:25 PM - 29 Nov 2015|Improve moment life stickin leg lil bit|27|53
3:24 PM - 29 Nov 2015|I thought Fallout 4 would turn zombie killing machine really I'm armed junk collector who's bad interior design|389|895
9:48 AM - 28 Nov 2015|Teen YouTube star I'm done mouthpiece conservatism http hill cm AkU0Pff pic twitter com sikQVYrMWj|17|24
2:57 PM - 26 Nov 2015|Watching Cowboys lose|950|1.5K
2:52 PM - 26 Nov 2015|Super Mario Maker Wii U Deal via Amazon Lightning Prime Eligible minutes http ow ly V7zfE pic twitter com b1RwksnQTr|20|17
10:20 AM - 26 Nov 2015|Talking politics dinner table today|5|2
7:32 AM - 24 Nov 2015|Until Dawn PS4 29 99 via Gamestop http ow ly V1u4O pic twitter com OWXR41qmmd|29|16
6:40 AM - 23 Nov 2015|FEATURE BLOG @rhi_patel discusses native peoples across globe still face discrimination http bit ly 21cpFFj|3|0
12:58 PM - 23 Nov 2015|@Jaelynn_Alexis reveals exclusive story uncovering staggering info regard domestic violence Athens Co http bit ly 1kQqnHH|15|5
9:58 AM - 21 Nov 2015|people paid millions dollars year make smart football decisions get pic twitter com L0lyIHIv9X|113|90
6:34 PM - 19 Nov 2015|Spoke Adam Silver NBA Twitter Yes stealth account Maybe following YOU http www wsj com articles the-nba-climbs-the-social-ladder-1447976815 pic twitter com N3pi8cn27X|128|182
6:43 PM - 19 Nov 2015|Grab popcorn @realDonaldTrump goes @JohnKasich Kasich's allies ramp fight http www cleveland com open index ssf 2015 11 donald_trump_goes_off_on_john html|9|9
5:01 PM - 16 Nov 2015|RIP sis pic twitter com ukIrMOfvAL|7|18
6:42 AM - 16 Nov 2015|Breaking Power remains parts @ohiou's campus Reports power stretch North Green West Green|5|3
6:57 PM - 14 Nov 2015|Catch us Court We're selling hot dogs 1 All proceeds go towards keeping work going pic twitter com zNkPZOZWUt|7|6
1:34 PM - 14 Nov 2015|Awesome sports items charity auction Wednesday Help us help w autism Ohio https rtp2015 eventbrite com pic twitter com YaJGYZVIf3|4|4
