3:02 PM - 4 Dec 2015|can't tell i'm experiencing harrowing nature reality viewed objective lens tired|894|1.4K
12:09 PM - 11 Dec 2015|strip club across burlington coat factory guess buy coat|1|1
10:49 AM - 11 Dec 2015|Everybody cool|114|141
8:55 AM - 11 Dec 2015|Dwight pic twitter com xbk9Cyw41Y|60|83
9:29 AM - 11 Dec 2015|Elaine So problem I m religious Puddy Not Elaine Why Puddy I m one going hell|383|533
7:50 AM - 11 Dec 2015|bernie sanders chill af @SenSanders|13|30
7:11 AM - 11 Dec 2015|I love guys don't cross you're best|195|354
5:14 AM - 11 Dec 2015|hope great day|588|853
9:03 AM - 10 Dec 2015|Dear Santa Santa New number dis pic twitter com ywfu1p6pDR|611|621
2:11 AM - 9 Dec 2015|Noo Noo I vote Donald Trump I clean|362|360
6:27 PM - 10 Dec 2015|let's make America great pic twitter com sHFYhjec13|110K|22K
12:09 AM - 8 Dec 2015|Noo Noo Your milkshake bring one yard Put away|990|777
7:20 PM - 10 Dec 2015|straight boys even surviving pic twitter com BQcBh0RT4G|1.1K|2.3K
8:26 PM - 10 Dec 2015|This disgusting pic twitter com 4DFXNZAkc0|5.6K|4.7K
7:59 PM - 10 Dec 2015|The ceremony long boring reception fantastic|289|725
7:58 PM - 10 Dec 2015|Did hear two antennas got married|289|591
7:13 PM - 10 Dec 2015|When make life still want make sure people talked shit know well you're pic twitter com 2JsS1QVEKu|313|942
5:52 PM - 10 Dec 2015|When someone says That's What She Said pic twitter com ooE5Uwpjnt|14|31
5:04 PM - 10 Dec 2015|Show time Be prepared Don complain|327|513
5:02 PM - 10 Dec 2015|A camel aspires eat natural disasters|29|51
4:20 PM - 10 Dec 2015|It's important know you're cute it's super dangerous think you're really cute|145|426
1:46 PM - 10 Dec 2015|BUTTLICKER OUR PRICES HAVE NEVER BEEN LOWER|329|539
7:10 AM - 10 Dec 2015|Fuck My Life|39|43
8:36 AM - 10 Dec 2015|To see face ass occupied toilet upon must sit|5|10
8:54 AM - 10 Dec 2015|Karate Belts pic twitter com OlpyFNuvCb|318|753
9:02 AM - 10 Dec 2015|A sociologist discovers emerald controlling destiny|36|65
9:30 PM - 9 Dec 2015|I don't wanna single anymore But I also don't want go work getting boyfriend How lazy people find love|207|490
5:34 PM - 9 Dec 2015|I'd bang @noparentss ignore texts|5|17
5:56 PM - 9 Dec 2015|I wish people would post tits instagram I could like even|184|892
3:09 PM - 9 Dec 2015|Just saw bunch really stupid fucking pictures Instagram|1.5K|3.8K
1:46 PM - 9 Dec 2015|I man mother warned ladies Her imagination never good|239|393
1:01 PM - 9 Dec 2015|A philosopher Florence dancing night atheism|32|72
9:41 PM - 8 Dec 2015|Go away today|1.3K|2.1K
7:25 AM - 9 Dec 2015|The place place live right|117|167
7:28 AM - 9 Dec 2015|Its important public doesn't get upset blatant lies Donald Chump spews Just react simple shoulder shrug|5|22
11:42 PM - 8 Dec 2015|Grades due next week still haven't put effort get everything done turned|3|2
10:56 PM - 8 Dec 2015|She said I want spend every waking minute We'll see chick means business I remodeled pic twitter com ptHJkMF80s|381|1.6K
10:44 PM - 8 Dec 2015|Even though I say|1|1
10:41 PM - 8 Dec 2015|You call Jess cause I'm new girl|1|1
9:00 PM - 8 Dec 2015|I know there're many seen @neilhimself Caitlin Karolczak Portrait Of Neil Gaiman #art pic twitter com hQ3Z5R4QpL|48|219
8:15 PM - 8 Dec 2015|Not muslims terrorists Not muslims terrorists Not muslims terrorists Not muslims terrorists|2|5
7:28 PM - 8 Dec 2015|It's big world don't let cellmates suffocate|4|9
6:37 PM - 8 Dec 2015|I longer tweet Trump That anyone America would even CONSIDER voting rabid coyote leaves speechless|17K|24K
5:33 PM - 8 Dec 2015|Bob Dylan Johnny Cash Los Angeles 1969 pic twitter com mh7hC7OwjR|289|709
