5:15 PM - 8 Dec 2015|How make others feel says lot|418|583
5:17 PM - 8 Dec 2015|Playing video games reduce nightmares gamers resolve threats game play instead dreams|1|1
5:00 AM - 9 Dec 2015|Studiohouse Designs unveils Limited Edition CANNIBAL HOLOCAUST print http www fangoria com new studiohouse-designs-unveils-limited-edition-cannibal-holocaust-print pic twitter com Jzb3sRo6gC|15|21
5:02 AM - 9 Dec 2015|My milkshake http vine co v hed73KglnBJ|6|7
5:02 AM - 9 Dec 2015|'A Charlie Brown Christmas' released date 50 years ago pic twitter com Ktuk0w9ps2|1.8K|2.6K
5:05 AM - 9 Dec 2015|There 5 865 696 000 000 miles 9 460 800 000 000 kilometers light year pic twitter com 0g1YvxfJSX|89|212
5:05 AM - 9 Dec 2015|KIDS COMICS Check #KidsComics coming local comic shop http ow ly VDppv pic twitter com Uixsc5eO0E|7|9
3:09 AM - 9 Dec 2015|Deadline #PoisonIvy #1 store orders MONDAY walk local shop tell much want see book #NCBD|38|68
5:17 AM - 9 Dec 2015|Some 17th- 18th-century German families hung Christmas tree upside-down said imbue tree divine powers|120|462
5:17 AM - 9 Dec 2015|The first time go someones house pic twitter com vXmQcJvHFp|1|1
5:18 AM - 9 Dec 2015|I can't wait wear warm fuzzy sweaters pic twitter com 6cy2EVc32k|3|3
5:21 AM - 9 Dec 2015|type fuck accidentally put duck pic twitter com GbUwLSnY83|1|2
3:17 AM - 9 Dec 2015|There two geysers heart Milky Way contain energy equivalent million exploding stars|222|717
12:21 AM - 8 Dec 2015|I hate make scenes come parents room Awkward https vine co v hAW6QmX2UEF|4|5
12:25 AM - 8 Dec 2015|DELETE IT https vine co v hjQO3weQavA|1|3
12:28 AM - 8 Dec 2015|cute sweater pic twitter com x1FwavpxBN|3|4
1:04 PM - 7 Dec 2015|Underrated slasher Cherry Falls Brittany Murphy heads Blu-ray @Scream_Factory http brokehorrorfan com post 134745400748 cherry-falls-will-be-released-on-blu-ray-on-march pic twitter com zeXaCTHALp|7|19
12:13 PM - 7 Dec 2015|I'm sensitive I think every little thing I care way much|116|138
12:17 PM - 7 Dec 2015|Hahah Do Agree Retweet Follow @GamingFun6 For For More @GamerRTer @ShoutRTs pic twitter com d6gBpFZZRO|77|48
7:27 AM - 7 Dec 2015|One beautiful qualities true friendship understand understood|2.1K|2.5K
6:55 AM - 7 Dec 2015|Major piss pic twitter com e82Ps10kWQ|6|6
6:55 AM - 7 Dec 2015|Time To Eat Some Strawberry Kit Kat pic twitter com Wj0IrFHqAD|1|3
4:39 AM - 6 Dec 2015|What think much important others think|177|155
11:30 PM - 6 Dec 2015|Over thinking kills happiness insecurities kills self-esteem lies kills trust|34|5
4:39 AM - 6 Dec 2015|Everyone opinion don't let bother|139|188
1:09 PM - 3 Dec 2015|Get New Nintendo 3DS XL Target lowest price ever week https amp twimg com v df94c6a7-54c4-4f97-9cb3-4cf516a0eef1|169|527
11:35 PM - 6 Dec 2015|Proof physics don't apply pic twitter com klnub1H1ad|4|3
2:03 PM - 6 Dec 2015|Studies suggest lonelier sleep Loneliness causes fatigue|2|1
2:15 PM - 6 Dec 2015|Legend Zelda playing cards pic twitter com mwwJBwvkr6|3|3
11:05 PM - 6 Dec 2015|N64 Games - 10 Facts You Didn't Know http goo gl WZuqaC https vine co v erWUUKemEDX|1|2
9:01 PM - 5 Dec 2015|I can't stop listening pic twitter com GRTFimUHf8|1.5K|3K
4:00 PM - 6 Dec 2015|If I dollar every time someone annoyed pic twitter com tgpUPoPXyE|2K|2.1K
11:16 PM - 6 Dec 2015|OMG I'M DEAD My mom couldn't handle creep http vine co v h9HjFT05qWU|2|2
11:00 PM - 6 Dec 2015|The biggest Game Awards 2015 announcements http buff ly 1lCnbiJ pic twitter com cexiOrf8jO|16|18
10:26 PM - 6 Dec 2015|Matte sheer nails pic twitter com PAzM7UGrHF|840|2.3K
11:19 PM - 6 Dec 2015|attitude based treat|147|157
3:41 PM - 6 Dec 2015|Donald Trump like crazy ranting uncle hope friends never meet|7.8K|11K
11:21 AM - 6 Dec 2015|The Strangers 2 Gets December 2016 Release Date - http www horrorsociety com 2015 12 06 the-strangers-2-gets-december-2016-release-date #horror #horrornews pic twitter com fJz6di1TUx|39|46
6:20 PM - 6 Dec 2015|Well cutest thing i've seen day pic twitter com MLEEdS56LB|1.7K|2.3K
9:30 AM - 6 Dec 2015|People south polite|721|2.6K
