8:37 AM - 9 Dec 2015|Martha Stewart can't go wrong festive centerpieces Me said you'd chill let smoke us Martha|762|1.9K
10:29 AM - 11 Dec 2015|puts star wars theme song cracks knuckles alright babe|825|2.6K
5:27 PM - 10 Dec 2015|I love HIMYM every episode I watch|3|5
3:48 PM - 27 Nov 2015|Being talented doesn't make professional And vice versa But control one Be nice Be friendly Be pro|61|224
6:22 PM - 9 Dec 2015|I want Christmas big hug Harry Styles|1|4
7:06 AM - 9 Dec 2015|@BaileyMShaver sick jam sesh https twitter com ninjasexparty status 674599980653412353|1|1
7:03 AM - 8 Dec 2015|Multiple choice questions like pic twitter com dFEKGUZYnI|4.7K|3.6K
10:01 AM - 8 Dec 2015|hello I need coffee companionship|14|8
8:59 AM - 8 Dec 2015|JUST ANNOUNCED @HamiltonMusical play open ended run Chicago beginning 9 27 16 #RiseUp #HamiltonChicago pic twitter com hRb2Yiobe3|1.4K|2.6K
3:11 PM - 7 Dec 2015|Donald Trump basically YouTube comment section running president|34K|37K
5:24 PM - 6 Dec 2015|Mass shootings involved Muslim suspects red pic twitter com f6g6Yzl9kg|8.1K|4.5K
3:59 AM - 8 Dec 2015|How horrible Voldemort nowhere near bad https twitter com BBCNewsbeat status 674170911344455680|220K|200K
11:30 AM - 4 Dec 2015|accurate pic twitter com WEMhda6bjt|685|1.6K
8:38 AM - 7 Dec 2015|Its strange music suddenly become relevant words meaning begin shed light you're experiencing|8|11
2:01 PM - 7 Dec 2015|Oh big deal I decided watch Still Alice The Theory Everything UGLY CRIED entire plane flight LA #awkward|7|66
2:20 PM - 7 Dec 2015|WATCH Rod @avenueqmusical performs @Adele's Hello http bit ly 1XQlYpJ pic twitter com 6JfCwwHNXX|11|31
1:57 PM - 7 Dec 2015|Harry Styles|2|4
12:33 PM - 7 Dec 2015|THIS GIRL IS WATCHING PORN ON THE FREAKING CITY BUS AND SHE'S ANGLED HER BODY IN A WAY SO THAT IT'S RIGHT IN MY LINE OF VISION|1|7
12:12 PM - 7 Dec 2015|All hail Saint west|1|2
7:10 PM - 6 Dec 2015|Oh THAT'S I supposed Lol OOPS https twitter com UberFacts status 673623534661459968|2|7
10:15 AM - 6 Dec 2015|ITS THAT TIME OF YEAR AGAIN http vine co v iWQFHPJB3IF|3.3K|5.6K
10:48 AM - 6 Dec 2015|I'm glad there's market bad holiday romance movies|2|1
10:19 AM - 6 Dec 2015|Josh Groban could release single ordering Taco Bell would new favorite Christmas song|1|10
8:53 AM - 6 Dec 2015|I've hour I'm already annoyed today|4|5
7:58 AM - 3 Dec 2015|First preview March 25th peeps @2STNYC @DearEvanHansen #evanandzoe4ever #tbt pic twitter com oPLz8Cy0Nv|30|129
9:31 AM - 5 Dec 2015|Everyone needs Marshall pic twitter com 2uugR2i7OB|2.1K|4.5K
7:53 AM - 5 Dec 2015|sorry can't get enough aaron tveit|1|4
11:44 AM - 4 Dec 2015|Dear Diary teen-angst bullshit body count Heathers 1988 pic twitter com 4Zy6bCQoU0|252|375
8:16 AM - 4 Dec 2015|THEY BOTH AGED SO NICELY pic twitter com cu10NeUCU1|2.8K|4K
6:42 PM - 3 Dec 2015|Not money time year absolute worst|5|5
6:25 PM - 3 Dec 2015|Please send prayers mother 7 yr old daughter currently hospital shot tonight Taylor Sportsplex #sendlove|34|42
5:46 PM - 3 Dec 2015|5 0 5 H O U R S L E F T U N T I L C H R I S T M A S|1.2K|1.3K
7:55 AM - 20 Nov 2015|Tix ON SALE Come see amazing @DisasterMusical BROADWAY Previews Feb 9 http www ticketmaster com Disaster-NY-tickets artist 2179657 tm_link edp_Artist_Name _ga 1 241610882 109098090 1446870961 pic twitter com HC49jCCLXu|19|57
1:48 PM - 26 Nov 2015|mocking jay part 2 jay come guys please stop|4.7K|6.8K
1:32 PM - 3 Dec 2015|Video @LesMizBway @ChrisMzCarrell sings NSYNC Merry Christmas Happy Holidays http bit ly 1MZa7xb pic twitter com EEGItK8Q62|38|161
