7:32 PM - 8 Dec 2015|What time Time get watch laughs hysterically|54|149
12:03 PM - 9 Dec 2015|Saying he's hungry could eat horse|24|81
7:23 PM - 9 Dec 2015|When waitress introduces saying hi I'm dad I'll customer tonight|24|85
7:23 PM - 9 Dec 2015|Refusing Home Depot worker's advice project severely needs help|86|189
10:30 AM - 11 Dec 2015|All service dogs campus|17|67
10:22 PM - 10 Dec 2015|let's make America great pic twitter com TKg5HV0rLj|17K|3.2K
7:18 PM - 10 Dec 2015|Just gonna leave pic twitter com Kqtpo5xqEY|3|7
1:03 PM - 10 Dec 2015|I love K-pop|6|6
6:38 AM - 10 Dec 2015|We snacks belle could better Stop 10-12 pic twitter com mrd58skusj|5|15
5:22 AM - 10 Dec 2015|#tbt Wally early 90's Who favorite teacher SFS pic twitter com zNC8duPF5W|14|40
8:53 PM - 8 Dec 2015|DON'T TELL ME I'M NOT A FAMILY MAN HOW MANY OF YOU CAN SAY YOU KEEP YOUR KID'S NAMES WRITTEN ON A CARD IN YOUR WALLET SO YOU NEVER FORGET|33|63
8:28 AM - 8 Dec 2015|Tell Donald Trump Hate American value pic twitter com qlhuKPKwn0|8.5K|13K
5:27 PM - 6 Dec 2015|UNLIKE JEB COWARD BUSH I WOULD EAT BABY HITLER BONES AND ALL|34|69
8:30 AM - 6 Dec 2015|I'm point year car hit I'd probably say thank kind stranger|101|140
3:38 PM - 4 Dec 2015|Currently Sperrys like America's gun control policy Only #HopeAndPrayers holding together point|6|27
9:53 PM - 4 Dec 2015|37 Things You Might Not Know About 'Star Wars' http bit ly 1UrnsF9 pic twitter com SABatUShZ5|74|136
9:03 PM - 3 Dec 2015|How close I losing shit pic twitter com pRkN1hIAdf|5.2K|8.6K
3:19 PM - 29 Nov 2015|sits 27 hours oil canvas portrait omg delete Bartholomew i'm serious fucking hang Great Hall|26K|39K
4:08 PM - 2 Dec 2015|A cheat sheet every pro-gun argument https garlingfiles wordpress com 2012 12 20 become-simple-minded-about-gun-control #SanBernardino #SanBernadino pic twitter com K0H2FGnTIV|3.5K|4K
9:30 AM - 30 Nov 2015|Do NOT Cancel Your Travel Plans Because Terrorism http tcat tc 1LIUAxv pic twitter com H0jDCW2N1v|20|31
6:30 PM - 29 Nov 2015|wish wish heart get next weeks without falling apart pic twitter com VhpDCX6rNl|634|811
1:28 PM - 29 Nov 2015|Wow Such PC Very new Much improve So amaze pic twitter com jEwinhgSww|755|1K
8:54 AM - 29 Nov 2015|No ongoing threat Wexner Center More information shared available|77|27
6:39 AM - 29 Nov 2015|ISIS thinking attacking UK Think pic twitter com W2DgXbL1UM|1.2K|935
2:15 PM - 28 Nov 2015|Appreciate everyone backed us since day one|1.6K|6.6K
11:48 AM - 28 Nov 2015|Ay Penn State y'all need anything Snacks Drinks Lemme know mmkay pic twitter com HRwXLNVnUt|953|924
3:25 PM - 27 Nov 2015|The little Adventurer pic twitter com oGdp3M6lzN|513|1.5K
10:37 AM - 26 Nov 2015|I would rather live next door family|22K|20K
5:18 PM - 23 Nov 2015|RT think mozzarella stick would better president Donald Trump pic twitter com xwXui5MeYr|42K|28K
3:49 PM - 26 Nov 2015|2 different erection stories told dinner today btw|1|4
3:00 PM - 26 Nov 2015|If know #youreaFRIENDSfan pic twitter com sJZf05qzz3|504|1K
6:21 PM - 25 Nov 2015|Are seeing anyone pic twitter com 4ySYhAXsX6|359|660
9:24 AM - 25 Nov 2015|fact somebody actually died My prayers go family won't able celebrate Thanksgiving son|4|18
9:24 AM - 25 Nov 2015|Maybe I'm one I find ridiculous people upset university tradition might happen next year|5|18
8:17 AM - 25 Nov 2015|My deepest condolences sincerest prayers go family young man lost life last night|15|26
9:16 AM - 25 Nov 2015|OSU tentatively identifies deceased man student Statement President Michael Drake We heartbroken horrible tragedy|47|20
5:18 PM - 24 Nov 2015|Just everyone knows it's 2015 Michigan still sucks|2|14
8:34 PM - 24 Nov 2015|Nora Jones soundtrack lives|1|3
9:18 PM - 23 Nov 2015|Are eyes open RT yes like pic twitter com BUvC36MwCV|1|9
6:01 PM - 23 Nov 2015|I think might|251|205
3:04 PM - 23 Nov 2015|unreplied I love text|1.7K|3.2K
3:17 PM - 23 Nov 2015|I'd prefer|1.1K|713
12:00 PM - 20 Nov 2015|Teacher inspired write essay Me due date|557|736
4:02 PM - 22 Nov 2015|ur trying best nothing going right pic twitter com nDP1t12Sdu|327|431
6:18 AM - 22 Nov 2015|Well news there's 33 days Christmas|1|12
8:17 PM - 21 Nov 2015|Chocolate fudge cake pic twitter com TTVhjO1Aa8|3K|3.7K
4:44 PM - 21 Nov 2015|Gingerbread Truffles pic twitter com RmxS5mSN21|1.2K|1.7K
8:14 AM - 21 Nov 2015|secretly Sith Lord pic twitter com Ws4ArO1Oa2|344|721
1:12 PM - 20 Nov 2015|Officially accepted The Ohio State University|2|92
6:13 PM - 19 Nov 2015|When people literally worship devil better people Americans pic twitter com qrl6dRmOca|15K|15K
9:02 AM - 20 Nov 2015|Nope|144|71
11:02 PM - 19 Nov 2015|Don't think|75|43
1:18 PM - 19 Nov 2015|Join us Sunday help clean Butterfly Garden Meet Baker West Lobby 11 45 m pic twitter com LzFlhqoq0L|2|1
6:02 PM - 19 Nov 2015|I think might|114|68
4:01 PM - 19 Nov 2015|Today American teenager 18 murdered Palestinian terrorists gap year Israel Where's media|5|6
2:07 PM - 19 Nov 2015|life vicious cycle oh I forgot eat today help I ate 9 cookies|3|5
7:46 AM - 19 Nov 2015|My 15 y 0 brother agreed donate 10 @BuckeyeThon account every retweet gets Up 500 job plz rt|188|19
10:35 AM - 19 Nov 2015|For every retweet gets I personally donate 0 25 @BuckeyeThon #FTK #100Kin1day http events dancemarathon com index cfm fuseaction donorDrive participant participantID 81874|46|4
9:25 AM - 19 Nov 2015|Today @OhioState raise #100k1Day For Kids Help support fundraising http go osu edu felixalonso pic twitter com VwEDQbQ3Gu|4|7
6:28 AM - 19 Nov 2015|For every retweet gets I'll donate 0 25 favorite 0 10 My family also match whatever total #100kin1day #OSUFTK|117|197
8:03 AM - 19 Nov 2015|My fantastic brother pledged 10 cents FTK every retweet gets 20 @BuckeyeThon http go osu edu ashleyftk #buckeyethon #ftk|74|8
1:26 PM - 18 Nov 2015|Bring 5 canned goods free admission pic twitter com 7LSFKBziMe|2|0
6:31 AM - 19 Nov 2015|Wristbands Mirror Lake Jump begin distributed Friday 2 p m RPAC Ohio Union http dps osu edu|18|6
7:31 AM - 18 Nov 2015|Wow So morning Very coffee Much cafene Many drink pic twitter com y4rzjM7wTC|491|675
7:22 AM - 18 Nov 2015|Come check workshop Beating Depression today 4pm|1|0
6:43 PM - 17 Nov 2015|Beef cheese tacos pic twitter com Uh9yklrWLp|4.5K|4.3K
2:05 PM - 15 Nov 2015|Ohio State played major role new @PeanutsMovie Read http ow ly UtZXk #OSUarts pic twitter com K0dJUW3NXc|48|81
7:08 PM - 15 Nov 2015|@CollegeGameDay COLUMBUS OR BUST #MSUvsOSU http es pn 1MKuM9l #GoBucks pic twitter com jUPHd4N5JH|53|129
9:20 AM - 15 Nov 2015|Does anyone remember Sanjaya American Idol|4|17
