6:00 PM - 11 Dec 2015|Unpopular Kid Having Trouble Fitting In At Home http onion com 1jRH6ZS pic twitter com x2ziKzTRis|233|571
8:13 AM - 11 Dec 2015|dick dick dick dick dick dick dick dick dick dick dick pic twitter com spvXu7aAOL|9|42
11:45 PM - 10 Dec 2015|I gave @BrettWilliam7 perfect opportunity kinkshame tonight honestly impressed sexual prowess even|1|1
9:06 PM - 10 Dec 2015|BREAKING Americans finally enough guns NRA tells Obama limit future gun purchases|51|132
6:57 PM - 10 Dec 2015|sits PC 9 hours trying think tweet It's gotta topical topical true Maybe something girls relate|1|38
6:27 PM - 9 Dec 2015|like ass shaken stirred|1|0
2:28 PM - 9 Dec 2015|Zack martin beavis pic twitter com bWFykVQU2j|8|8
1:04 PM - 9 Dec 2015|Billionaires pay effective tax rate lower nurses truck drivers That makes sense We need real tax reform|1.6K|3.3K
12:32 PM - 9 Dec 2015|Adding dj Khaled snap changed pic twitter com H2DBeUam8M|2|7
11:54 AM - 9 Dec 2015|My new agenda pic twitter com SVsSgjZcE6|14|52
6:53 AM - 9 Dec 2015|@BrettWilliam7 let's make house remix https twitter com cupcakke_rapper status 671057814396264448|1|0
9:46 AM - 8 Dec 2015|jumping one emotional extreme parkour|17|23
9:21 PM - 8 Dec 2015|Whatever everyone thinks cool right I knew last year cooler actually|4|17
5:59 PM - 6 Dec 2015|Who would make better president United States RT Cardi B Fav Donald Trump pic twitter com RfQxv2CeGC|21K|1.7K
9:13 PM - 8 Dec 2015|@BrettWilliam7 lady dippers nasty af|1|1
6:55 PM - 8 Dec 2015|mom made cookies wanted feed one said open cookie hole PLEATHE MOTHER|3|8
6:47 PM - 1 Dec 2015|trump im gonna make country great person trump go fuck thats fox finally someone afraid speak mind|8.6K|12K
3:26 PM - 8 Dec 2015|Donald trump gives voice racist backwoods idiots America would 0 platform share racism|2|2
12:52 PM - 8 Dec 2015|Are ever addicted drama start spilling tea|29|88
8:45 PM - 7 Dec 2015|December 07 2015 Cardi B addresses Nation pic twitter com QZzhwtLTrs http www empowr com SKTheKing p SYL|181|199
6:19 PM - 6 Dec 2015|The signs Rihanna's style Scorpio pic twitter com WJ5oqBDQi7|393|416
7:47 PM - 7 Dec 2015|Twitter needs warn button|2|8
6:29 PM - 7 Dec 2015|A hoe neva gets cold|1|2
1:07 PM - 7 Dec 2015|First pic kanye holding new son pic twitter com pt7mDrD9el|1.3K|1.4K
6:06 PM - 6 Dec 2015|Me Facebook vs Twitter pic twitter com xaxF5m2pLZ|9.5K|17K
1:45 PM - 6 Dec 2015|Happy Chanukah everyone pic twitter com oLXhoVTd2X|1|3
9:19 PM - 5 Dec 2015|PEOPLE pic twitter com JVFhBnGaM4|758|1.3K
9:15 PM - 5 Dec 2015|Praying girl projectile vomiting lobby|1|7
3:57 PM - 5 Dec 2015|@NiccoloGranito @BrittanytB don't dip fuck @BrettWilliam7|1|1
3:56 PM - 5 Dec 2015|Gun nuts would like gun access easy Call Duty Kill someone get gun 5 kills get airstrike|284|1.1K
1:27 PM - 5 Dec 2015|dont worry ladies im one thoseBros talks girls sex stuff anyway entire bra stuffed mouth right|1.5K|3.2K
4:51 PM - 4 Dec 2015|lady ur pretty got grandmas card go mickey dees u get work|9|35
2:32 AM - 2 Dec 2015|mailed detached dick bolivia get enlarged professor Medicine hoping returned without incident|790|3.2K
8:07 AM - 4 Dec 2015|Training wheels Melanie Martinez pic twitter com BxPBixGiTW|359|336
