7:21 PM - 3 Dec 2015|The pastor's wife Emerald City First Church Christ All Saints Episcopal Baptist pic twitter com lI0RDiviKg|437|216
5:41 PM - 3 Dec 2015|Watching #TheWiz like pic twitter com r4BcuIkHVk|44|33
10:39 AM - 3 Dec 2015|The 10 ridiculous myths alcohol #FWx http fandw 1Ns08gY pic twitter com lIWOoznLo5|34|67
10:46 AM - 1 Dec 2015|@Pontifex became Pontiflex hashtag #PopeBars imagined Pope Francis rapper https amp twimg com v 15dc6638-3d82-4519-a850-6f20194013a5|14|12
6:57 PM - 23 Nov 2015|When ya aunty aint edges since '78 start talking bout ya natural hair #ThanksgivingWithBlackFamilies pic twitter com wsC1xxWdOb|2.7K|3K
10:12 AM - 24 Nov 2015|So don't go church So forgot Jesus #ThanksgivingWithBlackFamilies pic twitter com ywubx0vrxu|2.3K|2.4K
11:50 AM - 24 Nov 2015|How grades You find man yet How's ex #ThanksgivingWithBlackFamilies https vine co v ei7L951dwz7|3.6K|3.9K
5:14 PM - 24 Nov 2015|When parents say need come room socialize family #ThanksgivingWithBlackFamilies pic twitter com 9bT5ZywoDb|3.1K|2.9K
3:52 PM - 24 Nov 2015|ya momma said play room #ThanksgivingWithBlackFamilies pic twitter com Tes2oEdwjo|3.3K|2.9K
2:23 AM - 14 Nov 2015|Our thoughts @HavasGroup HQ Our #havastogether hashtag never poignance today pic twitter com 3riNJ318oz|44|51
