3:49 PM - 10 Dec 2015|My anxious screeching formed bitter tears bye one talk|2|3
6:53 AM - 10 Dec 2015|Y'all pic twitter com 8vRlsMJnI1|49|139
7:20 AM - 10 Dec 2015|Does anyone remember serenity honestly feels like ahaha|1|0
6:32 AM - 10 Dec 2015|When meet someone make decent risotto pic twitter com q3x9SMOgfT|70|157
7:27 PM - 8 Dec 2015|Only Stephen Sondheim @CarolineBoyll make cry|1|2
4:37 PM - 8 Dec 2015|I I don't know feel gif made I know it's going used main intent pic twitter com aS9k7MXM2p|8|57
1:28 PM - 8 Dec 2015|bless pic twitter com EwmXN8ou7i|1|3
11:27 AM - 8 Dec 2015|Ok abort mission Caroline talking music fun home lol|1|2
11:26 AM - 8 Dec 2015|I would talk suite life 24 7 I show The music good -@CarolineBoyll Get|1|2
6:50 PM - 7 Dec 2015|Amy Winehouse photographed London 2004 pic twitter com 9rbPcoiTKE|1.8K|3.4K
11:19 AM - 7 Dec 2015|GET ME OUT OF THIS SEMESTER I'M OVER IT|5|12
8:09 AM - 7 Dec 2015|Moseby reindeer pic twitter com H0ugZeHr2e|1.6K|3.2K
7:05 AM - 7 Dec 2015|@CarolineBoyll The jolly elves pole #SmileThroughThePain pic twitter com sV7Sdl0P0G|1|0
8:52 AM - 6 Dec 2015|Early morning phone sex @CarolineBoyll|1|0
8:05 AM - 4 Dec 2015|James played Tattoo Roulette @OneDirection last night someone went home new tattoo http bit ly 1TES6Xq|19K|29K
6:31 PM - 16 Nov 2015|When I remember I homework pic twitter com D24dvzO1ky|15K|17K
7:57 PM - 2 Dec 2015|reality tv show @CarolineBoyll I r married @Louis_Tomlinson @Harry_Styles respectively r also gay eachother|1|1
7:26 PM - 2 Dec 2015|2 weeks school problem 3 days pic twitter com 7lSppo8FbP|13|21
10:51 AM - 2 Dec 2015|We must stop war Planned Parenthood make sure women ability control bodies #StandWithPP|6.3K|8.8K
10:10 PM - 1 Dec 2015|Just know ur alone affects ppl would ever know We overcome We fight thru|2.6K|6.9K
10:06 PM - 1 Dec 2015|For suffering intense anxiety ur alone It's constant struggle since 5th grade It's battle|3.1K|8.5K
7:27 AM - 2 Dec 2015|Melchior kid first grade told everyone else ring around Rosie plauge|37|110
6:49 AM - 29 Nov 2015|RETWEET TO SKIM OFF DAT CREAM IGNORE TO SPILL YOUR MILK AND CRY|22|39
12:01 PM - 28 Nov 2015|The pan flute beibs What Do You Mean really gets going #Damnit|1|1
7:13 AM - 27 Nov 2015|Ernst streets Hanschen sheets|43|115
8:08 AM - 26 Nov 2015|I dream I Harry Potter also I dating Voldemort turned Ralph Fiennes I'm confused #HappyTG|1|12
6:48 AM - 26 Nov 2015|When relatives arrive thanksgiving bomb questions #SAthanksgiving pic twitter com FYo2xPWd6y|15|53
6:49 PM - 24 Nov 2015|Being doorman wouldn't bad- night time thoughts @CarolineBoyll|1|2
6:04 AM - 24 Nov 2015|W caps let's take minute appreciate solo made fall love Spring Awakening 2006 pic twitter com uean0mANaf|16|57
7:59 AM - 23 Nov 2015|A new day means another day embarrassed what's timehop|1|5
10:38 PM - 20 Nov 2015|Cheddar vegetable yes|21|116
7:18 AM - 21 Nov 2015|The vast majority Syrian refugees Women children orphans Survivors torture People desperately need medical help|3.5K|4.3K
7:04 AM - 20 Nov 2015|You know turned creep Ben Franklin|278|677
7:35 AM - 19 Nov 2015|Every day https twitter com femaies status 667224038310338560|1|1
9:54 AM - 18 Nov 2015|This doesn't effect But effect us The past hour half summed|1|1
9:39 AM - 18 Nov 2015|This convocation lot like Pawnee Eagleton merged ya feel|2|9
7:29 PM - 17 Nov 2015|you're amazing job|265|298
5:58 PM - 14 Nov 2015|Important things remember pic twitter com OX6pNL41Ty|3.6K|3.9K
7:42 PM - 16 Nov 2015|Let's talk know capoeira Bob's Burgers|1|0
4:17 PM - 16 Nov 2015|Only 5 Monday's left Christmas pic twitter com fdqJC6ZBmI|6.4K|5.7K
3:11 AM - 15 Nov 2015|beginning 2015 vs back end 2015 pic twitter com YQH3eO7PD2|125|148
9:08 AM - 15 Nov 2015|Ugh I wake crack noon|27|109
1:26 PM - 14 Nov 2015|@CarolineBoyll I became bffs uber driver #Lee|1|0
