5:28 PM - 8 Dec 2015|19 year old Jim Carrey 1981 pic twitter com lQfDxpuYco|308|1.2K
5:35 PM - 8 Dec 2015|got 99 problems 97 due end week|1.7K|1.8K
1:05 PM - 3 Dec 2015|Sea Turtle swimming Philippines pic twitter com g8CcWlYQph|76|201
5:02 PM - 4 Dec 2015|Boys Only weekend begun https vine co v iW3OwxVjb52|90|975
5:42 PM - 27 Nov 2015|Don't call #PlannedParenthood shooter pro-life gunman That's piece shit terrorist Garbage person stop breathing air|893|1.9K
10:34 AM - 21 Nov 2015|Adele's mic feed pic twitter com K2R6eHXefs|2.1K|2.9K
8:04 PM - 19 Nov 2015|48-shot revolver 1855 pic twitter com Kh5PIID4B6|91|191
9:38 PM - 19 Nov 2015|Drakeeeee onnnn meeee Vine Weird BuzzFeed https vine co v eVMl1AZrLeJ|1|0
8:06 AM - 15 Nov 2015|This woman FB post pretending dead #ParisAttacks going viral http bzfd 1kX5Ctg pic twitter com hFXjomiJAX|884|1.3K
7:27 PM - 14 Nov 2015|The thing I've agreed Hillary far Pres Obama needs credit he's gotten done|1|0
7:38 PM - 14 Nov 2015|Low middle-income kids pay way college rich kids able focus studies|5.9K|9.8K
7:42 AM - 14 Nov 2015|This important pic twitter com W8hn31dGUU|29K|32K
