8:59 PM - 11 Dec 2015|Now you've gone far https twitter com realdonaldtrump status 675539497522700288|281|506
5:00 PM - 11 Dec 2015|doesn't deserve D doesn't wear safety goggles experiments thats nasty u gotta use protection u want erection|264|684
1:19 PM - 11 Dec 2015|It's amazing wealthy successful unhappy anxious depressed American professionals https twitter com harvardbiz status 675424082368819200|15|15
5:09 PM - 10 Dec 2015|Just remember I ever make spelling mistake tweet spelling social construction I radical freedom So|388|592
6:00 AM - 8 Dec 2015|Justifying nearly anything saying I'm sorry I thought America|832|1.7K
10:19 PM - 7 Dec 2015|Sanders Healthcare human right Media This man radical Trump Internment camps actually good Media Gotta hear|291|346
11:51 AM - 7 Dec 2015|The American Dream make lots money The French Dream fall love The Russian Dream axe murder someone get away|187|369
3:14 PM - 6 Dec 2015|The New Atheism movement important gives people something blame keeping systems oppression place|154|297
1:36 PM - 27 Nov 2015|Ref-Can't pick ball run NU-but fumbled -NO MUFFED -Whats muff -A fumbled punt return - #Huskers|2|1
5:10 PM - 23 Nov 2015|Even figure something came nothing still doesn't explain nothing came|223|340
6:30 PM - 16 Nov 2015|US Apr 39 If Congress would support bill open US larger number European refugees By Religion pic twitter com pWsqyRXZoW|958|452
7:35 AM - 17 Nov 2015|@MW_Royers Sure-it never made POQ Gallup volumes It Hadley Cantril _Public Opinion 1935-1946_ p 1081 pic twitter com uDH8jINTm2|77|70
