1:09 PM - 10 Dec 2015|Australians @lottebettsdean @Lebedev_Guitar @ChadVindin performing @AusHouseLondon tomorrow #vocal #guitar #piano|4|1
5:34 AM - 8 Dec 2015|@tabathamcfadyen sop @MattReardonPrth ten @ChadVindin pno Love Unspoken 'The Merry Widow' Leh r #TaitWinterProm http youtu Zp8e869b3Xk|3|1
2:55 AM - 5 Dec 2015|Dissention bruised egos whole lot missed opportunities How depressing http www limelightmagazine com au features dissension-and-bruised-egos-truth-result-senate-inquiry|1|3
3:15 AM - 5 Dec 2015|I've watched hundreds episodes I seen write Murder|30|47
11:55 AM - 28 Nov 2015|6 young #Australian performers @AusHouseLondon 11th December incl @ChadVindin Peter Wilson @AustBusiness pic twitter com EEa2yX4PAE|7|11
10:46 AM - 26 Nov 2015|I made RCM headlines today http www rcm ac uk news 2015-11-25lsostringexperience aspx|1|2
9:10 AM - 26 Nov 2015|Lovely performance soprano @TabathaMcFadyen @ChadVindin Marietta's Lied #DietoteStadt http fb 2rdtg2Wy5|2|2
3:57 PM - 24 Nov 2015|Opera pub highly recommended fine singing keen sense comic timing Euphonia's Don Pasquale directed @alisdairkitchen|4|3
3:41 PM - 23 Nov 2015|Great work tonight @TaitTrust annual Winter Proms @ChadVindin getting Franck one mvt time aplomb|1|1
4:16 PM - 19 Nov 2015|@PianoPiersLane play #Chopin nocturnes Soprano @tabathamcfadyen sing @ChadVindin Matthew Reardon https twitter com taittrust status 667494935621443585|1|1
4:09 PM - 19 Nov 2015|Tait Winter Prom @RCMLondon 23rd November starring @PianoPiersLane @ChadVindin @tabathamcfadyen @CommBank pic twitter com rYtgUyP2zF|2|2
