4:28 PM - 5 Dec 2015|Can't decide I eat small amount feelings 4-6 times day bigger portion 1-3|27|144
4:28 PM - 5 Dec 2015|Kyle Lowry dropping jaws tonight like first Skinny Lowry pictures hit Twitter|183|227
7:05 PM - 28 Nov 2015|Call car phone late night Arsenio's done|6|39
1:24 PM - 25 Nov 2015|Thanksgiving Update 9 yr old cousin Duane better bleach gross teeth soon eat day pee|28|120
2:09 PM - 25 Nov 2015|Canada got rid penny They regret #PayTatoChip|3|35
3:12 PM - 25 Nov 2015|Hey Raptors shouldn't Drake Night October #OVO|29|43
3:43 PM - 25 Nov 2015|DUDE LOOK LIKE A RACIST AMPHIBIAN pic twitter com VjVvnLsWHy|279|511
9:25 AM - 23 Nov 2015|TIS LIT c william shakespeare https twitter com BodegaBoys status 668842767053926400|91|193
12:43 PM - 22 Nov 2015|Walked door four days away vacuumed cleaned kitchen eat cookie dough This Sparta|21|200
3:21 PM - 17 Nov 2015|If grandma behaves I'm taking see The Good Dinosaur|4|43
12:26 PM - 19 Nov 2015|Empire like life except mom's name Record she's trying take daddy's Cookie company|6|33
1:52 PM - 20 Nov 2015|As saying goes Sing like one listening uhhh watching MORE http nba com 1I24HT6 #AllBall pic twitter com Xr1vPj6LSL|25|43
