2:19 PM - 7 Dec 2015|Just reminder there's TWO DAYS LEFT get sweet discounted online tickets #PSLPresents http pslpresents brownpapertickets com|1|1
5:53 PM - 4 Dec 2015|Bringing humor galaxy - Oscar Isaac #TwitterAwakens https twitter com poedamaron status 672585134722457601|219|793
7:37 AM - 7 Dec 2015|My truck friends made front page Wilmington paper This victory trucks around world pic twitter com 4nISsb0f5H|3|6
4:27 PM - 6 Dec 2015|Oh hey #StarWars themed float year's #ilm #holidayparade #happylifeday pic twitter com eQavJSf8zH|5|6
4:48 PM - 6 Dec 2015|The reason I care panthers 4 dozen @krispykreme tomorrow|2|5
4:26 PM - 5 Dec 2015|Matt Keen Panic At The Disco show pic twitter com 1PXatQNiUq|3|19
11:10 AM - 4 Dec 2015|GOP blocks bill stop terrorists buying guns http msnbc com 1YO1xqr Photo J Scott Applewhite AP pic twitter com rFUXQbGqMb|75|26
11:21 AM - 3 Dec 2015|Unsung Hero 2015 Whoever seating SNL40 pic twitter com aYqhxcaN0L|218|573
7:59 PM - 2 Dec 2015|2015 every man pidgeotto's haircut pic twitter com P7WqhtOtEL|607|867
1:14 PM - 2 Dec 2015|Admiral Ackbar return galaxy far far away #StarWars #TheForceAwakens http bit ly 1O4wvmq pic twitter com ZGtODXz3FY|94|228
6:21 AM - 2 Dec 2015|We exclusive first look @CaptainAmerica #CivilWar @Marvel biggest movie yet http ow ly VnsAw pic twitter com 9Gy2ZW2r5L|1.2K|1.2K
8:10 AM - 1 Dec 2015|Man I wait Christmas December 18th|61|67
7:47 PM - 29 Nov 2015|This less HALF #PSLPresents scripts Don't forget get tickets http pslpresents brownpapertickets com pic twitter com SJO5lblNW7|2|2
1:36 PM - 29 Nov 2015|Well gotta make living somehow My cab driver there're many strip clubs Fayetteville|1|2
1:18 PM - 26 Nov 2015|My grandma running around yelling ANGRY SELFISH FEMINIST BITCH THATS ME fist air|2|4
11:52 AM - 26 Nov 2015|I think I'm gonna post every year Bobs Burgers Thanksgiving Song http youtu LLQyjpHiM5A|1|2
8:45 AM - 25 Nov 2015|Don miss epic #PSLPresents Extravaganza Special 12 9 Tickets available NOW http pslpresents brownpapertickets com pic twitter com Z8MlvNT74D|4|0
9:31 PM - 24 Nov 2015|Watch #CivilWar trailer download 3 sweet posters http superheronews com captain-america-civil-war-teaser-trailer pic twitter com ZJi15bQdCc|67|59
9:51 PM - 24 Nov 2015|CAN WE TALK ABOUT T'CHALLA #CivilWar pic twitter com ObAvvOTQYA|113|78
9:17 PM - 24 Nov 2015|Here's trailer looking #CaptainAmericaCivilWar https amp twimg com v 3c1c85a0-6603-43b4-b9af-b55725c9ba52|64K|55K
5:26 PM - 23 Nov 2015|fucking pic twitter com obsPlI1glm|2|3
7:00 AM - 24 Nov 2015|The Simpsons honors Paris victims touching tribute http huff 1OpuFPK pic twitter com ATwg3oSOWb|12|8
10:33 PM - 22 Nov 2015|Earlier today I don't want write living I definitely want write I'm living|2|3
1:03 AM - 22 Nov 2015|The function artist make people like life better|260|448
1:15 PM - 21 Nov 2015|Our Lord Savior Missy Elliott - @Dammit_Mike|1|2
9:03 AM - 21 Nov 2015|The truth know little life don't really know good news bad news|224|326
4:22 PM - 20 Nov 2015|Dwayne The Rock Johnson opens battle depression http huff 1Lrhidm pic twitter com hBA7c7QYYa|64|118
1:03 PM - 19 Nov 2015|Eisenhower-era Batman shoutier agrees Eisenhower-era Superman pic twitter com peeG25ZK3R|1.1K|1K
8:21 AM - 18 Nov 2015|Big shout-out @UNCW_CIE letting us use space meetings rehearsals #ComedyIsSeriousBusiness pic twitter com 2nc5gBjPFN|4|5
5:59 AM - 18 Nov 2015|Surprise The #FireflyLineup Passes sale Friday 11am ET pic twitter com oPDMtTldkb|8K|11K
7:11 AM - 18 Nov 2015|Bernie Sanders appears next cover Learn thinks radical campaign win http rol st 1O1439x pic twitter com 7sAzVToYnc|3K|5.7K
7:15 AM - 18 Nov 2015|Jessica Jones feminist neo-noir ve waiting http avc lu 1Of7Cag pic twitter com 3QuughWRxN|142|246
10:19 AM - 17 Nov 2015|Tina Fey Amy Poehler co-host #SNL Dec 19 http ow ly ULAcr pic twitter com gs6NVS5N46|885|1.6K
3:00 PM - 15 Nov 2015|I problem praying Paris praying Paris caring Christmas cups non-denominational cups It ALL ok|155|558
10:44 PM - 14 Nov 2015|My house currently home 9 jars peanut butter Why @Dammit_Mike|1|5
