5:25 PM - 11 Dec 2015|m want sing mary poopins spoonsful sugar make two|912|1.8K
5:51 AM - 11 Dec 2015|hope he's okay pic twitter com pvCgTURm23|20|49
6:24 AM - 11 Dec 2015|yeah bill fuckign close pic twitter com riTratM6mG|67|103
6:25 PM - 10 Dec 2015|lmao remember https twitter com realdonaldtrump status 595406508378173440|2|2
4:44 PM - 10 Dec 2015|delete tweet 5 minutes ago https vine co v iWMbFTlHbzX|4.7K|5.6K
6:12 AM - 10 Dec 2015|This humbling moment huge honor Thank @goldenglobes recognition making possible I'm thrilled|1.2K|2.5K
7:03 AM - 10 Dec 2015|I don't always drink beer But I I'm licensed commercial airline pilot Stay thirsty friend #rejectedbeercommercial|825|3.2K
4:37 PM - 3 Dec 2015|I'm telling anyone wake anymore know what's happening one wants admit pic twitter com ryhmdfyd2U|6.8K|4.7K
7:07 AM - 10 Dec 2015|I don't always drink beer But I Most people feel quite strongly I shouldn't Stay thirsty friend #rejectedbeercommercial|1.1K|3.9K
5:59 PM - 9 Dec 2015|I'm heading north|15|51
4:05 PM - 8 Dec 2015|Thank @Pontifex @RacingXtinction @Obscura_Digital @VulcanInc #FiatLux Let us protect #OurCommonHome pic twitter com us6NsubGZX|221|280
5:37 AM - 9 Dec 2015|Check @RacingXtinction #Vatican http goo gl PcDB71 #OurCommonHome pic twitter com nZR9xYpOWC|126|145
5:26 PM - 8 Dec 2015|Early look tomorrow's Page 1 TIME TO SPEAK UP http nydn us 1IDxe1z SOUND FAMILIAR http nydn us 1IDxe1A pic twitter com NndeGUW3fv|3.1K|2.3K
5:29 AM - 9 Dec 2015|I find irritating people treated differently wearing Everyone treated equally|1K|1.4K
5:48 AM - 7 Dec 2015|Drake's Back Back officially Grammy nominations Meek Mill career pic twitter com 1FBTPeWpGn|1.4K|1.2K
12:07 PM - 8 Dec 2015|way #TrumpIsDisqualifiedParty pic twitter com uZiXqidGg4|1.4K|1.6K
11:10 AM - 8 Dec 2015|Let know #TrumpIsDisqualifiedParty I'm pic twitter com 49lqUgS2yk|607|666
1:34 PM - 8 Dec 2015|video made got cut time good guy @RyanGosling https www youtube com watch v a6I9u3wjn-A|103|361
11:00 AM - 8 Dec 2015|don't like talking politics mainly bc it's sensitive subject im glad agree donald trump probably satan|34|79
4:01 AM - 8 Dec 2015|Over 1 100 000 people killed guns USA since @JohnLennon shot killed Dec 8 1980 #StopGunViolence pic twitter com BUbGXqHbGN|11K|6.7K
8:41 AM - 7 Dec 2015|A picture vigil 1980 John Lennon's murder I feel like I need borrow signs it's 2015 pic twitter com rR5MMZ13nI|166|186
8:51 PM - 7 Dec 2015|Thank Jon Stewart demanding Congress Act #renew911health #WorstResponders http www renew911health org https twitter com mmcauliff status 674023358648987648|548|564
8:45 PM - 7 Dec 2015|John Feal Jon Stewart want help getting Zadroga Act passed http Change org Zadroga #worstresponders pic twitter com enoV5CAUX6|785|737
6:34 PM - 7 Dec 2015|Very disappointed Kim Kanye didn't name baby Krampus|1.6K|3.5K
6:24 PM - 7 Dec 2015|Dear Muslims You welcome Donald Trump Love America|91|163
3:44 PM - 7 Dec 2015|Forever waiting day every guy realizes friendliness flirtation pic twitter com MQ8gfB4qQz|2.3K|5K
2:47 PM - 7 Dec 2015|My mom Muslim She saves hundreds children's lives providing free open heart surgeries families couldn't afford otherwise|1.6K|3.5K
4:52 AM - 7 Dec 2015|December 7th 1941 date live infamy https amp twimg com v de014441-113f-481e-8304-50743b9efd80|1.7K|1.6K
2:00 PM - 7 Dec 2015|I nothing say @realDonaldTrump's latest ignorant comments I voice love fellow Americans Muslim|567|904
2:12 PM - 7 Dec 2015|@Realdonaldtrump gone making absurd comments downright dangerous bombastic rhetoric|1.6K|1.5K
11:58 AM - 7 Dec 2015|Saint West patron saint pic twitter com EsTHCxlu81|613|590
5:40 PM - 6 Dec 2015|SAY IT LOUDER FOR THE PEOPLE IN THE BACK pic twitter com qoLGD4Drmz|24K|23K
11:01 AM - 6 Dec 2015|I hate mud Trump I hate mud pic twitter com UUxs93EEq6|919|1.3K
7:05 PM - 6 Dec 2015|perfectly said pic twitter com 12Xmx6x4W5|4.7K|8.3K
8:04 AM - 6 Dec 2015|#BREAKING Jimmy Carter says cancer gone http on-ajc com 1SH2n4v|503|607
4:10 PM - 6 Dec 2015|In retrospect maybe best baby name http bit ly 1TPwEPn #SNL https amp twimg com v 688ae95e-95b8-4774-8a3d-fbdac37aa1bb|97|276
3:00 PM - 6 Dec 2015|Solid advice http bit ly 1TPwEPn #SNL https amp twimg com v e715e448-c22d-4460-a968-9f3c7fe7fa0c|79|249
7:09 AM - 6 Dec 2015|Ryan Gosling really really Santa Claus via @nbcsnl https www youtube com watch v CkrpvCs-kfE|26|69
7:07 AM - 6 Dec 2015|I love #YouAintNoMuslimBruv - It shows people finally understanding Islam terrorism go hand hand|496|631
12:00 PM - 19 Nov 2015|John @Mulaney perfect explanation Trump popularity https youtu dBNBAgtjYV8 #LNSM pic twitter com 2LtTO11O4H|955|1.6K
3:09 PM - 2 Dec 2015|A list every member Congress contact Write call demand stricter gun control https twitter com people status 651781574288146432|197|250
10:26 AM - 5 Dec 2015|From Timothy Egan The mass killings make sense eventually Don http nyti ms 1NxH3tU pic twitter com pQplLUgV95|16|13
8:36 AM - 5 Dec 2015|first line autobiography pic twitter com HL1gU0mM1G|27|65
7:22 AM - 5 Dec 2015|Thx boy cook also https twitter com mzmedalovable status 673158752778891264|39|210
5:12 AM - 4 Dec 2015|Girls around world power change world yet many face threat early marriage #16days pic twitter com HmDvYdFLnm|57|39
7:43 AM - 4 Dec 2015|People attend vigil remember injured killed San Bernadino shooting @jraedle http gtty im 1m1uGjF pic twitter com YT5hELndPu|75|161
4:02 AM - 1 Dec 2015|The Empire State building lights turn red honor #WorldAIDSDay http gtty im 1XudeoU pic twitter com r6wvCd3xTK|128|245
3:00 PM - 4 Dec 2015|Spice Girls 1990s pic twitter com geiLiSOqbm|810|1.3K
3:36 PM - 4 Dec 2015|guns don't kill people people kill people pic twitter com c9OUjKcwWy|25|28
3:08 PM - 4 Dec 2015|I saw #NationalCookieDay trending I swear first thing thought pic twitter com Nvuwrxuqj2|175|477
12:33 PM - 3 Dec 2015|Coldplay headline Super Bowl 50 halftime show http wsj com 1NszSD7|432|334
6:15 PM - 3 Dec 2015|trying make friends https vine co v iWTz2iKrmtq|18|35
9:01 AM - 3 Dec 2015|PRAISE THE LORD It's first ever Billy Street GOSPEL CHOIR LIGHTNING ROUND https youtu adRur7UzXrM TONIGHT 10 30 930c @truTV|31|128
10:14 AM - 3 Dec 2015|One might even call #ChuckAndChill https twitter com Leighs_Stars status 672478341761470464|141|709
9:00 PM - 2 Dec 2015|Son Krypton vs Bat Gotham Watch new trailer #BatmanvSuperman Dawn Justice https amp twimg com v beb289d8-b56f-4e98-a08b-de431bd786d7|34K|29K
8:17 PM - 27 Nov 2015|WTF IS THIS https vine co v izuI0TOWZJA|1.9K|2.5K
5:02 PM - 2 Dec 2015|This dog doesn't understand slides work https vine co v MEnF1tmB5PI|2K|2.4K
6:41 PM - 2 Dec 2015|feel like article tailored specifically http www buzzfeed com andyneuenschwander dancing-paul-rudd# nm4zbDGwK|13|21
6:39 PM - 2 Dec 2015|@DeckerBrooke @ddlovato Facts|1|1
2:32 PM - 2 Dec 2015|doesn't way join movement help us #endgunviolence - http wecanendgunviolence org|2.7K|4.7K
5:18 PM - 2 Dec 2015|I hope everyone best even tho we're doomed|1|2
2:22 PM - 2 Dec 2015|It enough say prayers w victims This national security issue https www facebook com theDanRather #SanBernadino|693|781
2:23 PM - 2 Dec 2015|regular person im excited christmas standing roof 4am screaming SANTA CLAUS IS COMING TO TOWN backflips sleigh|40|56
2:03 PM - 2 Dec 2015|And #SanBernadino stop sending 'thoughts prayers' We need action government Stop insanity #nomoreguns|87|179
7:25 AM - 1 Dec 2015|Sixty years ago today Rosa Parks changed America @POTUS http go wh gov N6hqNM pic twitter com wq66wazHbu|3K|3.4K
6:47 AM - 1 Dec 2015|The actions Rosa Parks day 60 years ago ushered nonviolent revolution #goodtrouble pic twitter com t4wBqA03uk|2.7K|3K
8:49 AM - 30 Nov 2015|#PirelliCalendar 2016 This Calendar completely different It's whole concept #AnnieLeibovitz #TheCal https amp twimg com v 20e64d81-339d-49c7-968a-a685537dc18d|543|883
7:28 AM - 1 Dec 2015|On #WorldAIDSDay experts hopeful cure finally within reach http cbsn ws 1Tr8tqj pic twitter com fjJfUgZ5Fk|2.2K|2.3K
6:54 PM - 1 Dec 2015|If Oscar pic twitter com 0dKJy8SwGc|1K|2.4K
7:01 PM - 1 Dec 2015|Who wants tickets pic twitter com g5uICrYBxS|1.1K|3K
7:26 PM - 1 Dec 2015|I want Christmas sense accomplishment|1|3
5:45 PM - 1 Dec 2015|person u play instruments yeah pic twitter com cNtZgovPgQ|37|64
6:01 PM - 1 Dec 2015|This crackin' Even you're highly probable enjoy quiz http www buzzfeed com perpetua only-take-this-quiz-if-youre-dwayne-the-rock-johnson|508|1.9K
3:45 PM - 30 Nov 2015|I love https amp twimg com v 865eeeda-b86c-406f-94a8-c5c8f6931d53|239|378
1:21 PM - 30 Nov 2015|He signed face RT win signed Polaroid @NathanSykes pic twitter com 65x8dyZnik|484|180
