6:37 PM - 11 Dec 2015|animals pic twitter com Um9UPFEGZQ|4.7K|7.3K
8:19 AM - 11 Dec 2015|Grandpa got game pic twitter com uGASI6qgm4|1.1K|4.1K
3:18 PM - 10 Dec 2015|@Emi__Marie it's real pic twitter com G2et9vcV1H|1|0
8:14 AM - 11 Dec 2015|We're loving number one fans' reactions track list We'll post fans soon|4|4
6:58 PM - 10 Dec 2015|Nothing gets hype blasting Carol Bells breaking speed limit really it's Jesus would wanted|5|21
11:56 AM - 10 Dec 2015|We're hard work first mixtape Look Costco soon|1|3
5:51 PM - 9 Dec 2015|Best feelings world pic twitter com 3qbajZ0iFz|330|527
3:59 AM - 8 Dec 2015|How horrible Voldemort nowhere near bad https twitter com BBCNewsbeat status 674170911344455680|220K|200K
7:14 AM - 8 Dec 2015|parents feel need hold phone show picture|2.1K|4.9K
6:00 AM - 8 Dec 2015|God bless JK Rowling pic twitter com v6IWt45ezB|2.4K|3.8K
6:04 AM - 8 Dec 2015|Today's #coloroftheday ORIENT BLUE http bit ly 19ap8XE #colorinspires|23|30
6:06 AM - 8 Dec 2015|Announcing new #CryBabyTour dates Tix pre-sale 12 10 sign email list get code Tix on-sale 12 11 pic twitter com Gge9MCFy7g|6.9K|12K
12:02 PM - 7 Dec 2015|@Emi__Marie ugh I hate dweebs|1|2
2:03 PM - 5 Dec 2015|Chuck Blair's best moments pic twitter com UjMyLETtkv|1.5K|2.9K
8:00 AM - 4 Dec 2015|The 2016 Sephora @Pantone Universe Color Year Introducing Rose Quartz Serenity #SephoraPantone pic twitter com lOcK8V1cse|299|692
6:01 AM - 4 Dec 2015|This Santa went beyond make boy autism feel comfortable http bzfd 1NKdbkd pic twitter com 32wObxijxF|471|1.2K
6:14 AM - 4 Dec 2015|20 200 date don't care thank taking date nonetheless|1.3K|4.3K
6:09 PM - 2 Dec 2015|A person much good world still scrutinized media public Truly sad pic twitter com brb71CwfRI|2.4K|2.2K
8:15 AM - 3 Dec 2015|Pantone names TWO colors year first time ever http trib al 1wR8kXS pic twitter com Ebn1GVpMcZ|78|100
9:24 AM - 3 Dec 2015|Happy birthday great nan today She's 93 Amazing woman|130K|190K
6:10 AM - 3 Dec 2015|Who needs dentist pic twitter com JKfq5JyDFW|2|2
8:02 PM - 28 Nov 2015|you're drake christmas af https vine co v izTElXM1lbe|1.4K|1.6K
11:28 AM - 1 Dec 2015|This important pic twitter com jfoVsfO75L|1.7K|5.1K
10:59 PM - 1 Dec 2015|look face pic twitter com xHOR1tCO27|586|977
8:49 AM - 2 Dec 2015|2 2 gonorrhea way I - @Emi__Marie|2|3
6:35 PM - 1 Dec 2015|@Emi__Marie kidding Science Rulez|1|1
6:32 AM - 1 Dec 2015|@Emi__Marie JINGLE BELL SWING AND JINGLE BELL RING|1|1
7:40 AM - 29 Nov 2015|Me entire month December http vine co v h2EuPhVYEYi|12K|13K
12:05 PM - 1 Dec 2015|GPA won't matter heaven GPA won't matter heaven GPA won't matter heaven|798|1.2K
10:27 AM - 29 Nov 2015|literally idea im gonna dont end rich|963|1.6K
8:16 PM - 28 Nov 2015|hey it's local egg checking pic twitter com meOkS7vsmi|1.9K|9.6K
3:52 PM - 28 Nov 2015|This would perfect rn pic twitter com M5YN96wc21|3K|3.6K
6:02 PM - 28 Nov 2015|painfully accurate pic twitter com x2nCMo7leK|206|488
5:14 AM - 28 Nov 2015|WTF IS THIS https vine co v izuI0TOWZJA|2.1K|3.5K
2:26 PM - 27 Nov 2015|jokes written kids pic twitter com N6jGtxh80O|12K|14K
5:53 PM - 18 Nov 2015|Just make short film You'll probably mess you'll learn blog website teach https twitter com shortfilmstuff status 667135602890960896|4|21
4:50 PM - 26 Nov 2015|Thanksgiving dinner feeling like stuffed turkey|1|1
10:00 AM - 26 Nov 2015|Happy food coma everyone|267|836
7:20 PM - 24 Nov 2015|#TodaysKidsWillNeverKnow Greatest Roast time pic twitter com f1DtBEINSF|2.9K|3K
11:55 AM - 24 Nov 2015|Hey ur seeing dude says u can't come thanksgiving u hook later u dump dude This good test|80|441
9:37 PM - 23 Nov 2015|Salvador Dali wearing animal skull hat 1950 pic twitter com aGHqolor1V|285|628
8:31 PM - 23 Nov 2015|I can't breathe pic twitter com nrvRWZsdAI|328|515
11:33 AM - 23 Nov 2015|hate adults make fun u ask u bought ur jeans holes u go fix holes economy robert|4.1K|8.8K
11:33 AM - 23 Nov 2015|I AM SO READY FOR @the1975 CHOCOLATE SEX TALK Those songs I'm offering food based dirty talk|39|199
11:46 AM - 23 Nov 2015|reading drama pic twitter com Vx91WVEh3D|1|8
12:06 PM - 23 Nov 2015|HI MY NAME IS ALESSIA CARACCIOLO AND I HAVE A SONG IN THE TOP 10 ON THE BILLBOARD HOT 100|2.7K|6.9K
8:49 AM - 23 Nov 2015|@griffhecht @amanda_edore coming academy we've 1 feild trip 3 years I've yeah we're kinda pissed|1|4
7:40 PM - 22 Nov 2015|ill leave https vine co v elWUgJwha36|2.6K|3.3K
10:55 AM - 22 Nov 2015|I HATE WHEN BLACK CLOTHES ARE A KINDA DIFFERENT TYPE OF BLACK AND IT DOESNT MATCH|2.7K|6.6K
5:03 PM - 21 Nov 2015|Bill Nye never let us This important pic twitter com 1A2wvIaQol|1.3K|2K
9:30 PM - 16 Nov 2015|I love pic twitter com WMRBDUIMPK|14K|26K
9:02 AM - 19 Nov 2015|@bellamadii123 IS MY IDOL|4|4
1:40 PM - 18 Nov 2015|This Diesel She 7 year old police dog killed today's hunt Paris attackers R I P pic twitter com LXhR3beOAQ|4.4K|11K
7:30 AM - 18 Nov 2015|walks past ppl laughing brain theyre laughing u they're 20 feet away I dont even know brain U shit ur right|2.3K|4.3K
7:31 AM - 18 Nov 2015|What sociopath pic twitter com BdnDjp95Mb|11|8
7:21 AM - 18 Nov 2015|US History II reminds ethnically I would've never welcomed US decades|2|1
11:51 AM - 15 Nov 2015|getting ready holidays like pic twitter com hECXYGgRQh|2.9K|3.9K
7:20 PM - 17 Nov 2015|Nile called favorite loser wether insult compliment I still made sure called @Emi__Marie loser|1|2
5:56 PM - 16 Nov 2015|justin bieber look like theater thug pic twitter com 92tLZZHs4y|8.2K|20K
7:31 PM - 16 Nov 2015|Me whenever I see puppy https amp twimg com v dc5db2d4-6855-4b29-9726-30c15279a18f|3.8K|4.5K
7:53 AM - 16 Nov 2015|unmute https vine co v iB0QOv73n7u|1.6K|2.8K
8:12 PM - 15 Nov 2015|THIS IS THE BEST ONE YET RT get pic twitter com KDjCx88if2|4.1K|8.2K
1:54 PM - 16 Nov 2015|MY MOM WOULD'VE GRABBED ME BY MY HAIR AND THROWN ME OUT OF THE BED pic twitter com BKSykKjwHK|2.8K|5.2K
7:30 AM - 16 Nov 2015|If colleges want know I'm taking math next semester find remaining interest taking derivative constant|4|14
7:39 PM - 15 Nov 2015|@Emi__Marie yay Thank Santa|1|1
11:57 AM - 15 Nov 2015|smile gets every time pic twitter com rVJToHmXjh|2.1K|4.9K
2:53 PM - 15 Nov 2015|Fruit Salad #acapella pic twitter com stX6LzqTOf|10|53
7:26 PM - 14 Nov 2015|IM CRYING movie looks good https amp twimg com v 6c38844b-bc38-4d18-88fa-343147235924|29K|40K
9:35 AM - 15 Nov 2015|It's time year @Emi__Marie changes name Santa Cruz|2|3
4:32 PM - 14 Nov 2015|My love end Thank tonight H|250K|350K
3:06 PM - 14 Nov 2015|When people call 2 faced pic twitter com dxBMzhO7L9|3.1K|9.2K
10:50 AM - 14 Nov 2015|wallet empty like soul|1.6K|1.9K
