10:07 AM - 11 Dec 2015|Someone give man Pulitzer https twitter com chucktingle status 675376088604786688|2|2
5:21 PM - 9 Dec 2015|weather outside frightful fire - fire also frightful mean place go happening|3.2K|3.3K
6:39 PM - 8 Dec 2015|What wante A disconcerting p o v twiste Whanne wante yt Ye nat readinge thys Ich heere The birdes knowe|50|119
3:47 PM - 8 Dec 2015|Guys make donation Rocky Mountain Planned Parenthood today matched https www coloradogives org index php section organizations action newDonation fwID 15571|26|8
5:22 PM - 8 Dec 2015|Oh fuckin SNAP hillz https medium com @HillaryClinton no-donald-trump-we-re-not-barring-muslims-from-entering-the-country-96145fa8786b# wqil9u4x4|11|10
10:14 PM - 7 Dec 2015|Donald Trump like email starts FWD FWD FWD FWD FWD became person|428|712
8:36 PM - 7 Dec 2015|You think i'd lift finger chase gingerbread man I'll eat gingerbread HOUSE motherfucker|5|31
8:31 PM - 7 Dec 2015|Can't catch you're gingerbread man Who's fucking trying chase|81|203
3:22 PM - 4 Dec 2015|The Devil absolutely need freshman philosophy class advocate The Devil would WAY smarter kid|411|842
5:05 AM - 5 Dec 2015|WRITING 101 DONT MAKE YOUR VILLAINS STUPID MAKE YOUR HEROES SMART|10|24
9:50 AM - 1 Dec 2015|Possibly greatest headline EVER Minneapolis Journal 1906 Via @HorribleSanity pic twitter com dyEKVn9bL2|1.3K|1.3K
7:44 AM - 1 Dec 2015|Well here's actual game decided never ever make pic twitter com KJc1qfiIFo|9|6
6:50 PM - 30 Nov 2015|If would like help #KeArreStewart family https www gofundme com 2rcg8j6s pic twitter com P8zw331pUf|61|42
3:31 AM - 30 Nov 2015|Vet killed Planned Parenthood shooting ran back inside shot save others http nbcnews 1lTPVnw pic twitter com arOINdAPWY|3.4K|2.1K
2:29 PM - 30 Nov 2015|If ever feel intimidated someone imagine naked beautiful astride white horse weeping awe love|51|132
9:18 AM - 30 Nov 2015|Why wearing ski mask inside I'm HACKING Brenda God I don't time explain things pic twitter com i3IrAx9Zz3|664|885
7:25 PM - 29 Nov 2015|Best 1940s villain ever The Skull kills LEAVES A WAX STATUE OF HIMSELF KILLING YOU corpse pic twitter com DZFzDfNP9a|392|587
3:04 PM - 29 Nov 2015|You donate Planned Parenthood Rocky Mountains https secure ppaction org site Donation2 df_id 12833 12833 donation form1 s_src Evergreen_c3_PPDirected_banner s_designeeid 1090 s_affiliateid pprm _ga 1 12531124 1636386125 1444508680|78|25
2:05 PM - 29 Nov 2015|All three Planned Parenthood shooting victims parents #RIP http fus 1lSUIWi pic twitter com EnHSEQntAH|402|191
7:01 AM - 27 Nov 2015|Watched Street Fighter black white Turns it's actually masterpiece pic twitter com SRHepX8QkT|3.1K|3.8K
7:15 PM - 28 Nov 2015|FUN BUS TRAVEL GAME pretend movie Speed everyone taking really well|285|682
5:19 PM - 28 Nov 2015|It sucks faith people let hurt cruel it's essential faith|3|23
4:37 PM - 15 Nov 2015|you'll bodyguard long lost pal that's fair trade hear gets weirder|3.5K|5.9K
12:55 AM - 28 Nov 2015|yeah guess could say i'm bad boy healing crystals|119|300
5:55 PM - 27 Nov 2015|Planned Parenthood open doors across country tomorrow bc provide healthcare women Terrorists win #StandWithPP|3.5K|5.5K
4:42 PM - 27 Nov 2015|Also hey today good day give Planned Parenthood https secure ppaction org site Donation2 df_id 12913 12913 donation form1|140|96
12:05 PM - 27 Nov 2015|Another Christian terrorist shooting abortion clinic Moderate Christians something religious extremists|9.8K|10K
10:37 PM - 25 Nov 2015|NOBODY EVER HELPS AROUND THIS HOUSE pic twitter com 6FWGft7D9d|505|652
9:23 PM - 25 Nov 2015|BIOPICS ARE BULLSHIT|8|24
3:03 PM - 25 Nov 2015|many children holiday mark 1st time meeting THANKSGIVING MAN 1st chance pelt traditional lotus powder|32|87
1:04 AM - 19 Nov 2015|So I asked daughter design family Christmas card pic twitter com feDy7PMPVc|945|1.4K
8:23 AM - 25 Nov 2015|breaking news iron man like bet turkey wishing wearing armor lol seriously sell armor turkeys|31|38
8:21 AM - 25 Nov 2015|lois remember died came back four people came thanksgiving tried sit head table lol|19|38
8:20 AM - 25 Nov 2015|lois feel like thanksgiving going pretty awkward avengers mansion year lol|30|28
6:33 AM - 25 Nov 2015|I I can't believe dude like I save YA love triangles pink dresses Mockingjay theaters RIGHT NOW|36|59
5:31 AM - 25 Nov 2015|An Agatha Christie mystery killer revealed continent|55|73
2:03 AM - 25 Nov 2015|Oh please He's sitting popcorn https twitter com Dorianlynskey status 669445058203156480|1.8K|6K
10:06 PM - 24 Nov 2015|popular think looks like we're inClement weather jokes Avignon circa 1310|20|101
4:12 PM - 24 Nov 2015|Richard Dawkins Scott Adams Donald Trump walk bar The bartender sets bar fire escapes Everyone wins|412|984
3:17 PM - 24 Nov 2015|people make fun tumblr important work imo pic twitter com mYEgFGCFk8|154|403
7:15 AM - 24 Nov 2015|Today remember passing Freddie Mercury let us contemplate greatest photo time pic twitter com a3kUSpFDnP|1.2K|1.1K
7:06 AM - 24 Nov 2015|WTF Why isn't group 3 masked white men shooting 5 Black Lives Matters protesters last night biggest news http gawker com five-people-shot-during-black-lives-matter-protest-in-m-1744381326|67|39
7:08 PM - 23 Nov 2015|The Brothers Karamazov Illustrated Platinum Edition nails cover art pic twitter com vrIKKMLIjq|39|54
6:56 PM - 23 Nov 2015|@MaraWritesStuff My 7 yr old fan fiction turns Ingalls family vampires hard winter hit|57|288
12:58 PM - 23 Nov 2015|Reminder Saying really think virtue opinions roiling sea liquid garbage|68|171
9:17 PM - 22 Nov 2015|Fruit foot also Mummy edible undies|18|60
5:54 PM - 22 Nov 2015|My advice young people never make mistake One mistake ruin life forever Make sure always say right thing|6|38
