7:35 PM - 11 Dec 2015|Cory questioning|18|23
7:08 PM - 10 Dec 2015|Let's make America great pic twitter com y8hz1Pvz9V|80K|15K
4:39 PM - 11 Dec 2015|pictures pic twitter com zhCUgCjQAl|2|5
3:50 PM - 11 Dec 2015|really don't understand parents could possibly think they're right|1|2
1:54 PM - 11 Dec 2015|Sounds like criminal pic twitter com uB33081KnD|177|334
12:40 PM - 11 Dec 2015|I hate pic twitter com MUGQAvHVGg|3|6
1:03 PM - 11 Dec 2015|@coooljams nobody filled guess i'll buying holiday gifts dollar store|1|6
11:25 AM - 11 Dec 2015|Humanity Surprised It Still Hasn Figured Out Better Alternative To Letting Power-Hungry Assholes Decide Everything http onion com 1OmeEHN|812|889
7:45 PM - 10 Dec 2015|trying get handle life pic twitter com zhAecmoSpE|579|686
12:30 PM - 8 Dec 2015|I can't believe I'm agreeing words uttered George W Bush pic twitter com pNkb6bW1f6|8.4K|9.5K
6:03 AM - 11 Dec 2015|gym teacher IQ peanut|2|5
4:11 AM - 11 Dec 2015|Turkey accuses Russia Ethnic cleansing Syria obviously fail look it's history abuses Kurds Genocide Armenians|81|89
6:28 PM - 10 Dec 2015|Remember days get colder animals attracted warmth cars check wheel arches hiding places pic twitter com mzas9C39uL|3.5K|4.2K
9:43 PM - 10 Dec 2015|Read book|1|1
7:26 AM - 10 Dec 2015|#whitepeoplebelike we're almost hot sauce Someone take Prius emergency run whole foods pic twitter com OolYh0QPT8|3|5
6:01 AM - 10 Dec 2015|thank channel one giving time complete homework class actually starts|2|8
5:36 AM - 10 Dec 2015|alright stole lunch https twitter com gager46618589 status 674944166082818049|2|5
8:15 AM - 2 Dec 2015|Your mom lets drink soda school nights|311|890
12:30 PM - 9 Dec 2015|Surprise Surprise Former Internment Camp Inmate George Takei Has Problem With Donald Trump http starwipe com r 1452tsd pic twitter com AoLZV9LCMI|203|485
7:46 AM - 9 Dec 2015|7001 RETWEETS AND WE DONT TAKE OUR MATH FINAL PLS BE SOME REAL HOMIES pic twitter com Q8YbsKWsRG|8.6K|1.9K
10:30 AM - 9 Dec 2015|Muslim store owner tears beaten New York man mission kill Muslims http ow ly VFRWW pic twitter com xbnkfZJwua|4.1K|2K
1:04 PM - 9 Dec 2015|All I want life able sleep long I want without worrying time I get|3|10
12:30 PM - 9 Dec 2015|Nearly 50 million Americans trouble paying medical bills last year When go hospital shouldn't emerge bankruptcy|1.1K|2.4K
11:40 AM - 9 Dec 2015|I'm Feliz Navidone semester|4.1K|3.3K
11:58 AM - 9 Dec 2015|Koch Brothers Get Each Other Same Election For Christmas http onion com 1IVud7J pic twitter com pMccD8ReiW|1K|1.3K
6:00 AM - 9 Dec 2015|good morning death|1|3
7:56 PM - 8 Dec 2015|It shouldn't matter guy says I love runs back every time hes done cheating Drop He dont love Quit bein dumb|3|4
7:53 PM - 8 Dec 2015|immature dumb guys English class make want throw|2|5
7:32 PM - 8 Dec 2015|everybody hate i'm gonna say I prefer cats dogs Feel free DM address send death threats|3|12
7:19 PM - 8 Dec 2015|Rare pic swimming https twitter com thotcrusher status 674121621095841792|2|3
6:39 PM - 8 Dec 2015|WHAT AM I DOING|2|6
12:30 PM - 8 Dec 2015|This important pic twitter com BEFRmYw2YR|4.2K|6.7K
4:15 PM - 8 Dec 2015|can't wait @Kylethekid_s ride call daddy|4|5
9:08 PM - 17 Nov 2015|Tweeting Unbothered sending 12 subtweets death threats|1.5K|2.6K
8:29 PM - 2 Dec 2015|Asking people wearing camouflage clothing|2.1K|3.2K
8:24 PM - 7 Dec 2015|Saying That bad one re-doing high-five|544|1K
12:38 PM - 8 Dec 2015|gas 1 95 pic twitter com OGAHWqUfsq|1|5
12:45 PM - 8 Dec 2015|Beijing Air Solidifies pic twitter com RPvM91UlJk|626|1.3K
2:21 PM - 7 Dec 2015|We point reckless irresponsible compare Trump Hitler|1.8K|2.4K
12:10 PM - 8 Dec 2015|You know @jk_rowling many evils world even evil standards pic twitter com EqQ6gkh6op|590|932
12:01 PM - 8 Dec 2015|This Lennon He's quite predicament 8 10 hang pupper pic twitter com 7mf8XXPAZv|594|1.5K
9:04 AM - 8 Dec 2015|#Teens Tell #JK WRONGling REAL #Voldemort #GOPTee shirt http bit ly GOPTees pic twitter com RUBUworzyx|86|181
8:43 AM - 8 Dec 2015|If men gave birth babies would lot discussion regarding right choose|6.3K|9.8K
7:48 PM - 7 Dec 2015|don't see symbolism Cowboys vs Redskins game gotta leave i'm sorry|2|12
4:07 PM - 7 Dec 2015|spring break finna lit|1|2
4:11 PM - 7 Dec 2015|live life mentality like sometimes you'll much happier|4|9
3:54 PM - 7 Dec 2015|chugged wawa 24 ounce coffee cant fallin asleep 2am gotta keep dank ass grades yo school health|1|4
3:25 PM - 7 Dec 2015|@GageR46618589 pray one ever cursed meeting mom|1|1
10:33 AM - 7 Dec 2015|new friends dis|1|8
