3:39 PM - 8 Dec 2015|@JusReign #MadeToMake Meet creators http MUCH com @YouTube http bit ly MuchSUB https amp twimg com v 67247ca8-36b0-4590-8489-640678c69653|89|309
10:56 PM - 9 Dec 2015|#Vancouver Police responding Cambie Pub A female reports hugging homeless male stole cellphone|186|186
10:54 AM - 5 Dec 2015|98 realest niggas cry Marvin's Room|1.2K|1.3K
3:56 PM - 6 Dec 2015|Retweet you're ready pic twitter com uv19k8oWLN|213|176
7:11 PM - 1 Dec 2015|This dog savage http vine co v ia1hPjnrra6|5.6K|8.9K
7:33 PM - 1 Dec 2015|If doesn't inspire get 146 final pass class nothing https amp twimg com v 2eee18af-abe9-4b99-bffa-411cc9eac644|12K|12K
2:40 PM - 15 Nov 2015|This fucking important It retweeted shared 10000 times pic twitter com HF5I5KnJHI|55K|37K
11:30 PM - 16 Nov 2015|RT one bros pussy whipped|51|29
6:01 AM - 14 Nov 2015|This still funniest thing I never seen child stressed http vine co v O1qthKOQ13A|103|185
7:17 AM - 14 Nov 2015|This goal left speechless WOW https vine co v iB1nKlJgtFJ|2.2K|3K
