7:29 PM - 9 Dec 2015|Eagles love goblins swooped drove shrieking back caves --THE HOBBIT pic twitter com ZBZxw1B6ku|1.7K|1.8K
7:44 PM - 9 Dec 2015|January 2015 year December 2015 maybe|1.9K|2.8K
7:34 PM - 8 Dec 2015|Who We stunning sweet @mengyaoxi #VSFashionShow pic twitter com TMVSw4qTpg|591|1.7K
7:04 PM - 8 Dec 2015|Kris Jenner audience fashion show like mom mean girls talent show|1|4
7:04 PM - 8 Dec 2015|This look @IamMariaBorges EVERYTHING #VSFashionShow #BohoPsychedelic pic twitter com ZFsCNalUkt|618|1.3K
10:02 AM - 14 Nov 2015|Real life lowered bar shadow rendering pic twitter com nHnB2TKgtZ|42|83
5:06 PM - 8 Dec 2015|@Hayley0614 interviews one girl said works 7 days week|1|0
12:41 PM - 2 Dec 2015|San Bernardino shooting 2nd mass shooting today 3rd since Colorado Springs 355th year https www washingtonpost com news wonk wp 2015 12 02 the-san-bernardino-mass-shooting-is-the-second-today-and-the-355th-this-year pic twitter com U56lv3M32r|1.8K|519
7:52 PM - 30 Nov 2015|When worry get anxious something paralyzes can't bring|2|0
9:56 AM - 29 Nov 2015|Someone please explain like I'm two anyone argue pregnancy isn't high risk|4|8
10:07 PM - 24 Nov 2015|@MicaBurton And also craving Doritos pic twitter com 0xlCqb6qFC|14|96
10:00 AM - 24 Nov 2015|The Kindest Man Alive Jon Hamm Made Crepes For A Beached Whale http www clickhole com r 3498tsd pic twitter com Hm2bQlsqd7|1K|1.9K
8:48 AM - 23 Nov 2015|Netflix's Jessica Jones complex portrait woman undone http bit ly 1R18WjN|37|58
8:34 AM - 23 Nov 2015|BIG NEWS YOU GUYS Really We're getting new intern And it's @ElyseWillems pic twitter com 0JlNa1dgs1|261|2K
6:50 PM - 22 Nov 2015|Nicki Y'all know y'all ain't shit without Zayn right pic twitter com TdSojfcMcL|199|213
6:04 PM - 21 Nov 2015|TAKE IT FUCKING BACK NOW https twitter com lozthesizzler status 667905700002054144|756|2.1K
7:09 PM - 19 Nov 2015|@beatsbydre sisters pill working pic twitter com OAvaXh0DHH|1.5K|1.8K
6:30 PM - 19 Nov 2015|terrifying black students shouldn't face type hostility attending school https twitter com zellieimani status 667527796521091072|39|34
9:10 AM - 18 Nov 2015|I may biased I grew Vermont someone points legitimate reason Vermont isn't good influence I'm done|1|2
7:47 AM - 18 Nov 2015|States surrendered terrorists pic twitter com VKtyhwiZCS|2.7K|2.1K
1:13 PM - 14 Nov 2015|France NATO ally I'm uncomfortable idea Obama somehow responsible French security https twitter com BryanDBender status 665637455857610752|59|54
