6:15 PM - 14 Nov 2015|perks wallflower 2012 pic twitter com nnfv2LmgEr|4.1K|4.4K
10:13 AM - 10 Dec 2015|@TyPrice16 everybody spam @typrice16 follow requests|2|2
10:13 AM - 10 Dec 2015|everybody follow @typrice16|2|4
7:43 PM - 8 Dec 2015|When say Any girl would lucky ain't tryna lucky pic twitter com XBbSyI5JST|1.9K|2.8K
2:51 PM - 9 Dec 2015|That moment card gets declined pizza pub @BackHallsBerry|1|2
12:42 PM - 9 Dec 2015|It apparent @Homedog556 converted Islam #mecca|1|1
11:27 PM - 30 Nov 2015|What I tried put ball somewhere tried stop -guy invented sports|2.2K|3.3K
9:39 AM - 7 Dec 2015|And Jonah swallowed great fish Jonah's wife said unto friends @TypicalJonah @Homedog556|1|3
8:09 PM - 2 Dec 2015|laugh till cry front bottoms pic twitter com agR0HzsQaC|197|240
2:47 PM - 6 Dec 2015|oh bad y'all ain't beat http vine co v MVzeqEPBp1M|1.1K|1.9K
7:05 PM - 6 Dec 2015|No thanks I eat free range babies|2|2
11:09 AM - 3 Dec 2015|@cierr_uhhhh @PotatoMittensTL I'm glad I dropped debate|2|8
3:41 PM - 4 Dec 2015|I confess I think little less I text see green bubble instead blue one|1.3K|2.7K
8:09 AM - 4 Dec 2015|stole dog ba-rum-pum-pum-pum|1|4
10:50 PM - 3 Dec 2015|@RamesRick You remind space We know little never cease amaze us|2|1
6:12 PM - 2 Dec 2015|Pretty soon everyone Shawnee Heights Ed West anon account|2|14
5:49 AM - 30 Nov 2015|Does anyone wanna buy heeleys DM details|2|2
5:00 PM - 2 Dec 2015|Giving John Wilkes Booth Snickers You're you're hungry|3|3
11:14 AM - 1 Dec 2015|Tyler Price doesn't pay attention Attention pays pic twitter com ZR6Kx1lkVA|8|11
10:28 PM - 30 Nov 2015|I lived Kansas long I think steakhouse fine dining|6|17
1:58 PM - 19 Nov 2015|If Justin Bieber make big comeback grades|15|21
12:26 PM - 30 Nov 2015|You could even destroy thing fortress pickaxe -two seniors welding class|1|2
8:18 PM - 28 Nov 2015|If planet pick song sum humanity im definitely 100 would A Milli|1.5K|2.7K
5:42 PM - 28 Nov 2015|Blessed best|1|2
2:50 PM - 28 Nov 2015|@Homedog556 I'm blocking|2|3
8:07 AM - 17 Nov 2015|My nose itches #Camden|1|0
8:27 PM - 27 Nov 2015|Everytime someone retweets Justin Bieber Daily accounts tweet I want tear eyeballs|2|1
2:34 PM - 25 Nov 2015|Going dentist Little Shop Horrors|2|6
7:13 PM - 24 Nov 2015|@Homedog556 wil rebuild|1|2
5:00 PM - 23 Nov 2015|If we're dating know sports If don't won't work|463|781
8:44 AM - 24 Nov 2015|Here high definition photo Shawnee Heights keyboards Rt spread awareness pic twitter com N7ZdMvzZL4|6|6
7:43 AM - 21 Nov 2015|One day civil war people say dinner people say supper|2|13
7:57 PM - 22 Nov 2015|@Homedog556 cult|1|5
10:34 AM - 19 Nov 2015|Sports School|157|146
2:39 PM - 20 Nov 2015|still nights left pic twitter com 559J90EdH3|2|16
7:18 PM - 19 Nov 2015|100 wish I musical|1|11
10:42 AM - 19 Nov 2015|Ed West sits upon throne head school -Emily|1|2
9:20 AM - 19 Nov 2015|I blocked @cooperbevans retweet spread awareness #truck|1|1
7:47 AM - 19 Nov 2015|I'd like thank @EdWestThePimp letting band play Forget You Cee Lo Green basketball season|2|15
7:54 AM - 19 Nov 2015|ITS OPENING NIGHT FOR LITTLE SHOP OF HORRORS IT'LL BE OPEN THURSDAY-SATURDAY @ 7PM @ SHHS TICKETS ARE 5 STUDENTS OR 10 FOR ADULTS OTHERS|6|4
5:58 PM - 18 Nov 2015|@cooperbevans Wanna buy truck|1|1
8:34 AM - 16 Nov 2015|earth around 4 5 billion years lucky enough live time @EdWestThePimp|4|9
9:14 PM - 14 Nov 2015|watching homie get curved public pic twitter com 5fdDwaIwkW|1.5K|3.4K
9:29 AM - 16 Nov 2015|Ed West asbestos|2|3
6:00 AM - 15 Nov 2015|When meme rules school #edwest|2|9
1:11 PM - 14 Nov 2015|Go http showtix4u com get tickets musical feel flower wrath pic twitter com Q0XMh0miy9|4|10
