4:12 PM - 24 Nov 2015|Hi @Keurig You left pile street #killthekcup @bogusky pic twitter com 3xoKcZx9aJ|7|9
8:27 PM - 24 Nov 2015|Dear @Nespresso George Clooney come pick trash left pods street @coryjosef|1|1
10:06 AM - 7 Dec 2015|Real unicorns joined together fight unicorn companies Because #unicornsarepeopletoo https www youtube com watch v 3-g6tXnI8b4|2|2
9:02 PM - 6 Dec 2015|Vanilla Ice Was Arrested For Burglary During His Own Reality Show 7 Insane Behind-The-Scenes Problems - http goo gl FUHzD1|3|7
9:19 PM - 5 Dec 2015|Jill Davenport NOT flirting She boyfriend everything #SNL pic twitter com BFf9rb5K1u|49|360
9:06 PM - 6 Dec 2015|Why entrepreneurship longer path middle class http bit ly 1NmjeoI|55|70
9:43 PM - 4 Dec 2015|Around time last year defunct @Grantland33 got media pass Pelicans Cavs game https twitter com mcten status 672932815667859457|34|196
8:54 AM - 4 Dec 2015|@HumorResources Janice accounting always eats Larry's sandwich don't give ____ @LastWeekTonight|1|2
2:35 PM - 18 Nov 2015|There new alarm clock wakes slapping face No word yet German company came|576|1.9K
2:50 PM - 18 Nov 2015|Classic Hollywood ageism http bit ly 1Mm9U6T #LNSM pic twitter com IHknpJuT8q|8|34
2:58 PM - 18 Nov 2015|Get angry Starbucks red cups there's real middle-eastern families seeking refuge sudden Christ isn't Christmas|1.6K|2.6K
