1:42 PM - 7 Dec 2015|Retweet like girls glasses pic twitter com qK5EIhB2MZ|407|889
1:00 PM - 10 Dec 2015|Current mood https vine co v eTjrwdznA9H|597|706
9:35 AM - 10 Dec 2015|An assortment colors Manarola Italy pic twitter com 2UEgXo6Hnd|118|305
9:48 PM - 9 Dec 2015|A fire beach hot chocolate sounds amazing right|470|914
5:50 PM - 6 Dec 2015|When someone asks I've started studying finals http vine co v eDe3Lg5LhlF|13K|11K
6:56 PM - 9 Dec 2015|#IfWeDate I got back Whenever need I'll Whatever need I'll get I'll rock person rely|570|977
4:46 PM - 9 Dec 2015|I gotta know everything No half ass relations|417|473
8:52 PM - 8 Dec 2015|Just trying make Christmas break|11|11
7:00 PM - 8 Dec 2015|Found Craig's list pic twitter com mXCxiXLTpz|798|1.4K
4:06 PM - 8 Dec 2015|I can't stop watching http vine co v i7nWzrenw5h|2K|3.2K
7:15 PM - 7 Dec 2015|One raining day Oregon everyone forgets drive pic twitter com O1aduOp0fD|386|523
8:15 PM - 7 Dec 2015|second I feel like I fight someone's attention I lose interest|17|33
12:02 PM - 7 Dec 2015|This Episode pic twitter com yV3TIe8C1f|4.4K|5.6K
6:26 AM - 7 Dec 2015|This touches soul pic twitter com 5L9oU1YQnn|2K|3.3K
8:35 PM - 6 Dec 2015|Oregon pic twitter com mbonuAoKlJ|105|267
4:28 PM - 1 Dec 2015|it's December pic twitter com 1uYD0ii5eG|5.8K|6.6K
6:43 PM - 6 Dec 2015|I need life https vine co v MWZMlX9ruOa|2.4K|3K
2:16 PM - 6 Dec 2015|Stress level Drake Josh sushi conveyor belt|2.8K|3.6K
2:03 PM - 6 Dec 2015|It might take day It might take year what's meant always find way|1.1K|1.8K
5:17 PM - 5 Dec 2015|ur already christmas af pic twitter com BPOZXWndwX|245|540
6:02 PM - 4 Dec 2015|Oregon literally everything within span one hour drive pic twitter com N1SHzenWVc|4.1K|5.1K
1:05 PM - 5 Dec 2015|Amsterdam winter pic twitter com tv41wh3Prw|149|351
6:00 PM - 4 Dec 2015|If I ever see I'm totally pic twitter com TAUF6PSR1k|536|1K
7:04 AM - 4 Dec 2015|Golden Gate Bridge San Francisco pic twitter com Oy2zALGA37|122|305
8:00 PM - 3 Dec 2015|Squad goals pic twitter com CfSyH9yDWs|106|188
6:30 AM - 2 Dec 2015|Bacon egg breakfast pizza pic twitter com pZivCtnUKE|108|213
5:30 AM - 3 Dec 2015|When one friends asks exam went pic twitter com yE2nLRWeSX|272|282
8:30 AM - 3 Dec 2015|I would take 30 minute hot shower every morning school I could honest|1|13
10:11 PM - 2 Dec 2015|When five essays two projects hw due monday https vine co v iaZuYAiOn2Z|2.1K|2.9K
8:35 PM - 2 Dec 2015|Seattle Washington pic twitter com FipyG0hT7S|320|529
2:31 PM - 2 Dec 2015|I'm kinda sick fighting people stay life shouldn't forceful thing they'll they're meant|81|104
12:20 PM - 2 Dec 2015|@JT_2Tall thank -|1|1
9:04 AM - 1 Dec 2015|When you're already Christmas spirit remember you've got finals coming pic twitter com nKgnsvpa3E|6.6K|8.3K
11:15 AM - 1 Dec 2015|When Bae texts first https vine co v iu1gp1d15BU|2.9K|3.9K
12:03 PM - 30 Nov 2015|I'm shy first I'm comfortable get ready crazy shit|815|1.4K
8:30 PM - 29 Nov 2015|Proof I friends #Friendsgiving pic twitter com pmW7XHb8cq|6|11
12:03 PM - 29 Nov 2015|Good things come focus positives forget negatives|679|1.1K
7:01 PM - 27 Nov 2015|I saved Black Friday buying single thing|3.5K|5.9K
10:17 PM - 26 Nov 2015|thanksgiving vs next day pic twitter com l63QfF8EaX|6K|9.1K
9:18 AM - 25 Nov 2015|Only 4 Monday left Christmas pic twitter com yc9xVLhKCA|5K|5.5K
1:16 AM - 25 Nov 2015|video still lit af pic twitter com xvvH0bzwg1|3.9K|4.6K
6:06 PM - 24 Nov 2015|Trying make plans group chat pic twitter com 9hkmalgM8q|1.6K|2.3K
5:52 PM - 24 Nov 2015|Let person know don't want talk feels better getting ignored entire day|1|6
8:53 PM - 23 Nov 2015|Kinda sad people walk life like nothin -|15|49
8:09 AM - 23 Nov 2015|The paleontology department Halloween pic twitter com 3yaSv5CFQK|983|2.3K
6:06 PM - 22 Nov 2015|Single Taken idk wtf going|2.3K|3.6K
