12:23 PM - 6 Dec 2015|It good Wikipedia also gives page Internet Meme Internet memes arguably important subset memes today|2|4
12:21 PM - 6 Dec 2015|On Scale Drake Drake Drake rn pic twitter com pZNbx2aD2e|13|12
4:18 PM - 5 Dec 2015|My favorite sex position one face tv scroll phones I dont know sex actually|222|550
12:24 AM - 5 Dec 2015|post pics guy pic twitter com O5uD40Y3Gt|4|10
11:34 PM - 4 Dec 2015|Found Mikey pic twitter com DdnX9Ydk4g|20|84
6:09 PM - 4 Dec 2015|pic twitter com os0GPpHCrI|3.5K|8.9K
1:09 PM - 4 Dec 2015|http www djbooth net index albums review 12045-rashad-the-quiet-loud check boy @rashadmusic new Album wrote x produce x arranged 1 man band man|3|2
3:20 PM - 3 Dec 2015|can't wait tell grandchildren time I solved Americas gun problem 140 characters waiting Chipotle order|657|1.8K
8:40 PM - 3 Dec 2015|The Lions never Lions harder|1|1
8:40 PM - 3 Dec 2015|Wow Packers killed wow|563|731
10:36 AM - 2 Dec 2015|This Chinese Father Son Just Built Insane Life-Sized Transformers From Car Parts WOW http goo gl 0lljr1 pic twitter com xkmRYaOAqs|11|5
4:23 PM - 2 Dec 2015|it's clear ppl see certain light making jokes privilege goes flying fucking window|17|34
1:07 PM - 2 Dec 2015|Listen @Preign @youngthug @Tip @LondonOnDaTrack-produced Dipped In Gold http bit ly 1RnATm7|43|67
11:46 AM - 1 Dec 2015|Only Liquor Dope Hash Cash shirtless picture Julian counts towards rent pic twitter com zXaxYJG1gF|85|168
11:03 PM - 30 Nov 2015|If @TIME gives person year award Kim Kardashian BRUCE JENNER I'm burn time magazines party FOH|10|25
5:35 PM - 23 Nov 2015|New post UncannyArts featuring Kate Lacour's amazing Bodies series http uncannyarts com post 133831406101 kate-lacour-bodies RT Re-blog pic twitter com 4tYTAJNeE4|77|144
11:14 PM - 30 Nov 2015|No spin-off Sloth living Chunk's family|195|475
6:00 PM - 23 Nov 2015|15 minutes democratic socialism chill gives look pic twitter com yVI2RzP4xW|776|1.6K
