12:03 PM - 11 Dec 2015|I'm adopted I found biological cousin plays Minnesota Twins What The Fuck|1|1
6:20 AM - 11 Dec 2015|Do something good today someone else|18|23
7:31 PM - 10 Dec 2015|Idk matters I'm important anyone I that's count And|1|0
5:34 PM - 9 Dec 2015|Are another steer grazing slaughter|567|802
9:01 AM - 10 Dec 2015|It's cool Bernie Sanders killing without help huge corporations It's cool It's cool|31|104
2:02 PM - 9 Dec 2015|#TDE @KendrickLamar made President Obama's @POTUS favorite song 2015 http txdxe com 2015 12 09 kendrick-lamar-made-president-obamas-favorite-song-of-2015 #ToPimpAButterfly pic twitter com q1Sd8SFtPC|3.3K|4.1K
8:44 PM - 8 Dec 2015|puts selfie top christmas tree bc star|1.6K|2.4K
10:35 AM - 7 Dec 2015|S O whole barbershop instantly turning ignorant mf insisted misgendering Caitlyn Jenner|3|8
8:12 PM - 6 Dec 2015|Spoiler alert die We die Everybody dies https twitter com kiefw15 status 673716027658772480|1|7
9:39 PM - 5 Dec 2015|wallet needs thick thighs|1.9K|2.4K
8:05 AM - 5 Dec 2015|love math teachers put question marks tests cause m like yeah|2.5K|5.1K
9:56 AM - 5 Dec 2015|girls don't like boys girls like cars whining bands fit genre prefaced word POP|2|4
4:19 PM - 3 Dec 2015|can't date anyone didn't emo phase|41|55
3:53 PM - 1 Dec 2015|ghetto places Florida Daytona Beach North Miami Fort Myers Lauderhill Miami Pompano Beach Miami Gardens Homestead Kissimmee Sanford|14|16
10:17 PM - 3 Dec 2015|If someone know struggling let know We can't turn back clock much wish could|12|15
5:48 PM - 3 Dec 2015|No one expects basketball coach buy basketballs English teachers need books #g2great|150|217
10:50 AM - 3 Dec 2015|things want really hot poor|1.3K|2.1K
4:44 PM - 27 Nov 2015|Here's thing I able guess race criminal based whether survives police encounter|742|725
