9:41 PM - 11 Dec 2015|I'll marry girl uses word yikes enough|49|175
12:17 PM - 11 Dec 2015|name starts letter A-Z he's likely ruin life warned|1K|2.7K
7:03 PM - 10 Dec 2015|friends would best describe personality|1.3K|2.9K
4:53 AM - 11 Dec 2015|upgrade I care right pic twitter com ntCL6Axxcv|7.2K|9.2K
5:40 AM - 11 Dec 2015|hate accidentally pick bit dead skin lip stop ve peeled entire face|1.7K|4.7K
8:02 AM - 11 Dec 2015|even friends aren friends|1.3K|3.1K
12:22 PM - 8 Dec 2015|Happy birthday friend Kyra Hope good birthday @KYAPPER01|1|1
12:00 PM - 7 Dec 2015|Age nothing number keeps track long ve alive|255|571
4:04 PM - 6 Dec 2015|If I could anyone I'd still choose|3.4K|6K
10:54 AM - 6 Dec 2015|Asked dad book read He gave 7 requires report back one Back school|12|143
9:36 AM - 4 Dec 2015|You guys mind packing fruit snacks tour We bring icy pops @FinishTicket|46|240
4:23 PM - 4 Dec 2015|@vinyltheatre oh hell yes Gonna bring many different types|10|79
10:32 AM - 3 Dec 2015|I'ma start homework pic twitter com d0xHcG4iLQ|6.2K|8.3K
6:21 PM - 30 Nov 2015|When people try come back life wrong Sorry I can't cause I already told mom|2K|3.2K
1:52 PM - 25 Nov 2015|@tylerrjoseph hang|18K|38K
3:35 PM - 22 Nov 2015|beginning semester vs pic twitter com Vqj5mo8yxE|1.4K|2.3K
3:54 PM - 21 Nov 2015|Music helps escape reality I live|4.4K|6.7K
3:18 PM - 20 Nov 2015|Showcasing projects Mexico Spain #CMSredskins pic twitter com OQv5lSoUqu|1|3
3:16 PM - 20 Nov 2015|Celebrating birthday twins Spanish class #CMSredskins pic twitter com OVgyf4upSo|2|3
9:17 AM - 19 Nov 2015|ever widely attracted someone actually feel driving insane|694|2.3K
1:07 PM - 17 Nov 2015|Just revealed The limited edition Glitch Skull t-shirt red foil @VinylTheatre - get http bit ly 1N9paaI|5|42
12:17 PM - 17 Nov 2015|guys act like loving girl wack like expect hold forever homies lol|1K|2.7K
8:17 PM - 14 Nov 2015|This movie literally entire life It accurate many levels pic twitter com 82w007jNSE|3.2K|7.3K
3:17 PM - 14 Nov 2015|kind sad hit old friend really miss connection isnt anymore|985|2.7K
12:17 PM - 14 Nov 2015|basically pic twitter com rP0fvXbyEA|967|2.9K
