8:24 PM - 11 Dec 2015|A COUPLE OF BAD GRADES DO NOT DEFINE YOUR FUTURE THERE IS TIME TO GO BACK AND IMPROVE ON YOUR WEAKNESSES|213|291
6:01 PM - 11 Dec 2015|Here like mental illness affects relationship #MHW2015 http bzfd 1Q8mURT pic twitter com ui9n8wBCcZ|95|285
8:55 PM - 11 Dec 2015|terrifying thing ever read pic twitter com 8rkWclxoOc|940|1K
5:17 PM - 11 Dec 2015|Retweet want pass finals pic twitter com J8ZgAOtcdm|5.3K|2.5K
6:03 PM - 11 Dec 2015|every day pic twitter com T17qGYdRYr|4.1K|8.8K
7:03 PM - 11 Dec 2015|shout water keeping throat sufficiently lubricated optimal yodeling techniques|710|2.8K
2:00 PM - 11 Dec 2015|mom doesn even text back|1.7K|3K
2:47 PM - 11 Dec 2015|Yeah I definitely http instagram com uberfacts pic twitter com ezXK4CDlvk|1.5K|2.1K
7:01 PM - 10 Dec 2015|Well that's adorable http tumblr co VGCAp pic twitter com oGbIvcLE5m|146|467
10:07 PM - 10 Dec 2015|current mood pic twitter com uqQWQr5Zfz|1.1K|1.6K
11:44 PM - 10 Dec 2015|Compare Contrast pic twitter com FnngrXb54M|80|101
3:17 AM - 11 Dec 2015|Guy compliments bumblebee Then gets high five https vine co v eF0zH2UFirn|2.3K|3.7K
4:08 AM - 11 Dec 2015|LOVE YOURSELF BEFORE YOU INVITE OTHER LOVE IN|217|233
4:53 AM - 11 Dec 2015|upgrade I care right pic twitter com ntCL6Axxcv|7.1K|9.2K
5:37 AM - 11 Dec 2015|I FEEL DEPRIVED OF MUSIC FROM THE 1975 I NEED THIS ALBUM DESPERATELY I NEED IT TO HELP ME FUNCTION SOS @the1975|99|195
7:00 AM - 11 Dec 2015|ur sad always remember u look like 6th grade|2.6K|4.8K
5:01 PM - 10 Dec 2015|yeah boyfriend sounds nice supreme enemy make sometimes secret sounds lot hardcore|1.2K|5.1K
4:07 PM - 10 Dec 2015|love math teachers put question marks tests cause m like yeah|869|1.3K
3:35 PM - 10 Dec 2015|Rugby wrestling wins big road Polk 90-12 #WeAreRugby|3|6
12:31 PM - 10 Dec 2015|Amount work Amount motivation|3.4K|4.8K
1:12 PM - 10 Dec 2015|One greatest tragedies life lose sense self accept version expected everyone else|1.5K|3.3K
1:10 PM - 10 Dec 2015|I hope 2016 better 2015 year filler|1.6K|3.4K
1:15 PM - 10 Dec 2015|Story life pic twitter com idkbHT9YzK|1.2K|1.5K
1:21 PM - 10 Dec 2015|This disgusting pic twitter com iZGHTXMW1F|6.2K|6.6K
6:02 PM - 9 Dec 2015|I remember last time I didn bags eyes|916|1K
5:10 PM - 9 Dec 2015|This saddens much https twitter com brown_saraah status 674451258204422144|6|6
12:13 PM - 9 Dec 2015|This best thing read today I promise pic twitter com cSRghxQV87|25K|20K
4:43 PM - 9 Dec 2015|Don't love soon Don't trust fast Don't quit early Don't expect high Don't talk much|380|501
3:30 PM - 9 Dec 2015|doesn matter I sleep 2 hours 13 hours I still tired next day|2.6K|4.4K
2:39 PM - 9 Dec 2015|What like explaining depression Asian parents #MHW2015 http bzfd 1YZMWZ1 pic twitter com 3V4x9PZPX2|122|415
1:30 PM - 9 Dec 2015|Here Donald Trump attacked bald eagle http bzfd 1NiVoLz pic twitter com QwgkX00GT2|1.5K|1.7K
2:00 PM - 9 Dec 2015|Whenever someone tells story theyve already told I pretend I havent heard yet dont feel stupid bc I m nice fuck|2.3K|6.4K
12:47 PM - 8 Dec 2015|Sometimes assistant calls restaurant reservations I sound important Jokes assistant funny voice|1.2K|3.4K
