11:08 PM - 10 Dec 2015|Our bodies could skin skin I'd still need closer|549|1.4K
9:24 AM - 7 Dec 2015|Check new Official Video 'Make Holy' @thestaves Watch https www youtube com watch v GT4IC9fgxiw feature youtu|338|403
4:21 PM - 7 Dec 2015|Maturity life learning difference what's worthless what's worth|45|72
11:13 AM - 7 Dec 2015|Repeat pic twitter com ZgU45Pi8nH|12|24
1:40 AM - 16 Nov 2015|@stevemortonsays Please sign RT Culture Secretary Online ticket re-selling - Sign Petition https www change org p culture-secretary-online-ticket-touting recruiter 380614368 utm_source share_petition utm_medium twitter utm_campaign share_twitter_responsive via UKChange|389|416
12:49 AM - 4 Dec 2015|If I need I'll go darlin But I stay wrapped arms Cause lovin' baby's pretty perfect far|3|18
11:27 AM - 2 Dec 2015|SCALA LONDON 21 4 16 Our biggest ever show As 100 DIY band exciting stuff Last time @ Bush Hall https www youtube com watch v 769pUebPW2E|485|547
7:32 PM - 29 Nov 2015|God bigger mess confusion situation problem worry Trust Him|35|65
10:45 AM - 28 Nov 2015|These Boys need come PLAY today Ronnie Staley Quenton Nelson Nick Martin Steve Elmer Mike McGlinchey #OLine pic twitter com iuSJSCeIFO|122|332
2:24 PM - 27 Nov 2015|@mattjohnsonuk Absolutely love Weezer Matt I played guitar Weezer cover band Uni - 'The Asthmatics' Stu|82|138
11:55 AM - 24 Nov 2015|Grief fleeting departed would never wish pain us celebrate life force know unkillable|25|115
9:05 AM - 22 Nov 2015|Brunch without booze like sad late breakfast #factsoflife|2|5
6:14 PM - 21 Nov 2015|HALFTIME #4 Notre Dame 10 Boston College 0 #GoIRISH #BEATbc|1|3
8:56 AM - 18 Nov 2015|@ChrisYoungMusic describes wrote I m Comin Over damn relatable #AnatomyOfASong https amp twimg com v 548ad892-3355-44b2-9ab4-c910f6ac5c78|112|288
3:31 PM - 18 Nov 2015|#Scorpio's always Santa's naughty list|116|168
10:23 PM - 16 Nov 2015|The love lifetime worth least million tries -Chris Young|899|1.3K
9:52 PM - 15 Nov 2015|Not talking kills|1.2K|2K
6:18 PM - 15 Nov 2015|You re damned re damned might well want -Kacey Musgraves|1.2K|1.3K
