8:09 PM - 7 Dec 2015|Me entire semester honestly pic twitter com h7SAnvof4l|2|1
2:05 PM - 4 Dec 2015|Cargo pants get less useful get older stop finding cool rocks needing places put push pop jump swing|23|61
3:50 PM - 2 Dec 2015|Beside every water fountain coffee fountain Every Single One The world would better place|3|1
8:25 PM - 30 Nov 2015|This you're Will @KelseyDez https twitter com BlackPplVines status 671146593035382785|1|1
6:00 PM - 25 Nov 2015|sooner later she's going original character Greys Anatomy pic twitter com 4LC1osd7aZ|6K|12K
12:01 PM - 26 Nov 2015|Happy Thanksgiving Spending day cooking laughing hugging dogs infinitely grateful|692|4.4K
8:27 AM - 26 Nov 2015|What kind Black Friday deals guys @FAFSA|14K|18K
8:05 PM - 24 Nov 2015|You moral backbone chocolate eclair|1|8
10:00 PM - 23 Nov 2015|Do ever wonder Zac Efron war-like flashbacks Bet On It sequence High School Musical 2|35|90
12:09 PM - 23 Nov 2015|What actor Bond The Man Broom pic twitter com XjFNv223kW|2.9K|5.8K
5:13 PM - 18 Nov 2015|Who pic twitter com G9pEdsWn8r|2.6K|5.9K
8:10 AM - 18 Nov 2015|Apples really vehicle peanut butter|387|619
1:56 PM - 17 Nov 2015|Erica Hailey preparing exam THE GAME Good luck girls #BeatToledo pic twitter com svlpM9JO4D|3|6
7:50 AM - 14 Nov 2015|Thank SO much everyone came @Relay4Life_BGSU year helped us raise 40 000 Such incredible night|3|4
