1:01 PM - 11 Dec 2015|Is possible Montell Jordan knew back 1995 eventual rise ISIS http www clickhole com r 1124tsd pic twitter com AGGZmkwuaq|407|528
9:06 AM - 11 Dec 2015|Reason Weekly Contest Trigger Campus Protest http bit ly 1HYLkuq|4|4
2:41 PM - 6 Dec 2015|Seriously I like Twitter job it's time second look banning internet https twitter com VICE status 673612913534353408|1|7
4:59 AM - 11 Dec 2015|LOATHE https twitter com iamcolinquinn status 675298565917380608|2|32
8:29 AM - 11 Dec 2015|Why @HillaryClinton shld thank god @realDonaldTrump He's keeping us focusing terrible http bit ly 1RIBZsO|55|40
9:33 PM - 6 Dec 2015|I gay|149|168
8:30 PM - 10 Dec 2015|Man On Vacation Suddenly Realizes No One Feeding His Hostages http onion com 1C6esfU pic twitter com frVG0lUw2K|346|972
4:33 PM - 10 Dec 2015|Proud say best show TV @TheLeftoversHBO renewed season three Thank fans HBO|117|339
4:00 PM - 8 Dec 2015|May I interest sassy response stupid question|184|220
11:04 AM - 10 Dec 2015|Randy Sharon Stan Shelley take time really listen gunpoint https amp twimg com v 1e4a0dfe-8f0b-4561-b1e1-9e49bfad5d3a|552|865
9:00 AM - 10 Dec 2015|Family With 2-Hour Layover Sets Up Rough Shantytown At Airport Gate http onion com 1NXHNif pic twitter com UzODfJTr3o|177|574
7:00 PM - 9 Dec 2015|Inclusivity FTW A Speech Bubble Is Finally Being Added To The Handicapped Sign That Says I Could Be Any Race http www clickhole com r 3586tsd|78|127
8:07 AM - 8 Dec 2015|There's use debating Starbucks hates Starbucks hates Jews I'm sure|1|4
6:24 PM - 6 Dec 2015|ACCOMPLISHED A FEW THINGS TODAY|282|645
2:56 PM - 8 Dec 2015|South Park revitalized ambitious story modern disillusionment http nyti ms 1R8C3CQ pic twitter com h6fZSInpFB|336|506
5:12 PM - 6 Dec 2015|president obama found dead shocking gay suicide|82|270
6:40 AM - 19 Nov 2015|clean shirt|593|1.2K
9:13 AM - 8 Dec 2015|Heartbreaking Last Night Cecil The Lion Died In His Sleep http www clickhole com r 3588tsd #RIPCecilTheLion pic twitter com 1YutCsMFDv|150|307
9:56 PM - 7 Dec 2015|Shut fuck Donny You're element https twitter com realdonaldtrump status 674066482322649089|760|2.8K
2:11 PM - 7 Dec 2015|It's moments like need take deep breath remember Ben Carson crazy|50|78
8:54 AM - 7 Dec 2015|8 Things Only People Who Have Been Inside A Car Understand http www clickhole com r 3585tsd pic twitter com ES1XBegRVg|390|522
8:21 AM - 1 Dec 2015|One holiday song seems kinda tasteless Bill Cosby's I'm Gonna Drug And Rape You For Christmas|128|398
12:12 AM - 25 Nov 2015|What things I put butt|4|43
12:39 AM - 29 Nov 2015|We need round terrorists kill I've|7|57
4:43 PM - 19 Nov 2015|I'm gay I'm Michael Jordan|165|267
