9:06 AM - 11 Dec 2015|DEAD AF pic twitter com 1C0ZERSUrW|126|104
3:59 AM - 8 Dec 2015|How horrible Voldemort nowhere near bad https twitter com BBCNewsbeat status 674170911344455680|220K|200K
8:56 AM - 11 Dec 2015|Haven singlehandedly solved worlds ills today uh Don racist Or something Whatever|58|381
8:44 PM - 10 Dec 2015|The 45 funniest tweets 2015 http bzfd 1lTfvsq pic twitter com ja8Kokp6IE|147|611
8:16 AM - 11 Dec 2015|I hated math high school Why I get half credit answer You didn't show work I DID IT IN MY FUCKING HEAD|270|964
8:18 AM - 11 Dec 2015|This cute pic twitter com etpKzDnHPz|130|217
7:30 PM - 10 Dec 2015|I hope every cat dog world happy right|7|13
8:11 AM - 11 Dec 2015|Do want build Baymax pic twitter com duElKQN71Q|2.7K|3K
6:26 PM - 10 Dec 2015|If didn't spend countless hours playing rug you're 90s kid pic twitter com zuHAT39VFG|233|428
5:47 PM - 10 Dec 2015|The greatest blooper TV history pic twitter com rfvRzy5DU8|1.6K|3.4K
8:20 AM - 9 Dec 2015|Syrian refugee families arrive Texas Indiana despite govs' protests http bit ly 1QvMHSt #RefugeesWelcome pic twitter com vei8Ilpl8F|161|340
7:30 AM - 9 Dec 2015|The psychological physical trauma pro life people willing put women girls speaks volumes|8|17
7:26 AM - 9 Dec 2015|I can't even begin tell guys much bothers Dad thinks 10 year old rape victim give birth|2|13
7:30 AM - 9 Dec 2015|This Kid Snapchatted His Teacher Hitting Another Teacher Getting Shut Down Hard http bit ly 1TAUWvX|1|11
6:30 PM - 8 Dec 2015|The memes grow fast days #AlexFromTarget Dyed His Hair Is Barely Recognizable http www smosh com smosh-pit articles alexfromtarget-dyed-his-hair|77|520
6:15 PM - 7 Dec 2015|Beds short supply Diamond City pic twitter com qbdUxd0TW7|70|198
5:45 PM - 8 Dec 2015|Kevin gives 0 fucks https vine co v OevDL0QOAX5|654|778
5:39 PM - 8 Dec 2015|Life never watching https twitter com whiteppistuff status 667936016490213376|3|2
5:55 PM - 8 Dec 2015|wonder parents get overwhelmed living model|162|270
6:13 PM - 8 Dec 2015|#TWDGRAMMYS coming tomorrow Here's sneak peek #ToPimpAButterfly #ToLimpAndHorrify #TheseAlexandrianWalls pic twitter com tIqGIh6ZAM|359|977
6:15 PM - 8 Dec 2015|Go Christmas pic twitter com WLCUYiPFwS|203|438
5:01 AM - 8 Dec 2015|Mega Evolution #FanArts pic twitter com PFIsuoVEV0|247|595
3:00 PM - 7 Dec 2015|Computer Science Education Week upon us Have done #HourOfCode yet https goo gl VtUYfr pic twitter com ayFAHrTSjC|266|988
3:15 PM - 7 Dec 2015|Psyduck beautiful swan pic twitter com 49LDeXRxfZ|138|367
1:57 PM - 7 Dec 2015|I'll probably send @SmoshGames office pic twitter com E1802FJwC1|13|120
2:28 PM - 7 Dec 2015|another #boner UH YES PLEASE|244|983
3:56 PM - 2 Dec 2015|Studying finals like pic twitter com hiv1yfGGOQ|230|275
3:17 AM - 26 Nov 2015|Deep Dish Pizza pic twitter com dTRxtMBDP7|2.8K|2.9K
