3:59 AM - 8 Dec 2015|How horrible Voldemort nowhere near bad https twitter com BBCNewsbeat status 674170911344455680|220K|200K
4:14 PM - 5 Dec 2015|Do piccolo pocket happy see - @Lainalou3396|1|2
12:50 PM - 3 Dec 2015|How love Adele https amp twimg com v 990ac233-2bb5-4d2a-9dfd-a27736a7efe1|4.9K|8.1K
11:01 AM - 2 Dec 2015|Hell isn't place it's three weeks Thanksgiving Christmas The University Chicago|1.5K|2.4K
3:24 AM - 30 Nov 2015|FOX NEWS WORLD LEADERS MEET TO BATTLE CLIMATE CHANGE LEAVING CHRISTMAS COMPLETELY UNDEFENDED|209|355
8:48 AM - 30 Nov 2015|If men endure poor women go get basic reproductive health care would revolution today|166|286
7:00 PM - 28 Nov 2015|Anytime something slightly upsetting happens pic twitter com bRqJMab901|300|422
11:01 AM - 25 Nov 2015|You know born 90s don't remember anything 90s University Aberdeen|301|1.5K
9:08 PM - 17 Nov 2015|Tweeting Unbothered sending 12 subtweets death threats|1.5K|2.6K
11:45 AM - 26 Nov 2015|ding dong ur opinion wrong lol|1.8K|2.5K
1:34 PM - 26 Nov 2015|happy thankgive know bird bad yes true get diabirdies takeout yes decided good|3.6K|4.7K
10:55 PM - 22 Nov 2015|Spending hour shower it's safe zone deadlines can't get University St Andrew|562|2K
6:03 AM - 23 Nov 2015|November like Thursday year University Reading|738|2.1K
12:40 PM - 23 Nov 2015|bright side addicted cocaine|504|684
8:09 AM - 23 Nov 2015|Lmfao https vine co v eLrhwaWmKHP|2.2K|3.1K
8:22 AM - 23 Nov 2015|school like pic twitter com QhcPY8Ypnj|2.9K|3.4K
6:46 PM - 14 Nov 2015|'Tis season begin sending emails possible extra credit GCSU|344|997
