8:19 AM - 22 Nov 2015|You let muslin you'll get rayon chenille chintz shantung omg taffeta Keep fabrics pure pic twitter com 9aoVBU9INj|9.1K|9.2K
11:02 AM - 19 Nov 2015|Our government amend Criminal Code protect trans people discrimination pic twitter com xR0TxiELFC|144|162
11:42 AM - 24 Nov 2015|Dear Toronto I apologise colleagues believe must pay extra water order subsidize polluters I try|22|44
10:08 AM - 24 Nov 2015|Protect youth cold weather big challenge #youthlinkTO #GivingTuesday pic twitter com UrRgpPLo2W|3|0
8:53 AM - 24 Nov 2015|Arab-American kid science project makes Richard Dawkins think ISIS What else left say https twitter com RichardDawkins status 669160536320421888|119|125
5:21 AM - 24 Nov 2015|If Minneapolis Black Lives Matter protesters would gun conservative say today http strib mn 1IcHmsD|2.2K|1.9K
7:17 AM - 24 Nov 2015|The people hoverboards pegged worst trend 2015 weren't expecting strong showing fascism|4.5K|5.4K
6:42 AM - 24 Nov 2015|Hey @StarTribune referring people open fire peaceful memorial protest counterdemonstrators completely unacceptable|220|199
7:17 AM - 24 Nov 2015|If Muslim shot five Christians we'd probably going war But it's silence media white supremacists shoot #BlackLivesMatter|397|336
7:09 AM - 24 Nov 2015|Coincidence pic twitter com phpVe7wHAO|215|132
6:26 AM - 24 Nov 2015|When white people engage racially-motivated violence blacks it's racial tensions boiling it's racist violence|235|159
12:51 PM - 23 Nov 2015|Trump Carson saw film American Muslims cheering 9 11 exist They tell us Star Wars Episode 8 good|75|149
4:46 PM - 23 Nov 2015|It's weird world's wealthiest powerful violent nation also terrified https twitter com ddale8 status 668943740858421248|1|2
3:20 PM - 23 Nov 2015|Yeah republican logic Where everything backwards #SyrianRefugees #p2 #tcot pic twitter com ME1f1jaafa|60|45
1:02 PM - 23 Nov 2015|Normally candidate endorses piece Nazi propaganda rival politicians would jump criticize Not GOP primary|211|179
11:28 AM - 23 Nov 2015|From prison psychologist interviewed Hermann Goering Nuremberg getting public want war pic twitter com oeMCDvSJ0Z|2.5K|1.5K
6:50 AM - 23 Nov 2015|Homicides transgender women U S reach horrific high http huff 1OnJu5m|745|399
6:17 AM - 23 Nov 2015|As experiment I ve retweeted The stuff fellow women authors last 48 hrs They get threats I|247|224
6:13 PM - 19 Nov 2015|When people literally worship devil better people Americans pic twitter com qrl6dRmOca|15K|15K
8:08 AM - 20 Nov 2015|Today remember people lost due transphobic hatred violence #TransLivesMatter #TDOR #ChooseLOVE pic twitter com 59Uat7KW23|3|1
10:52 AM - 19 Nov 2015|Threatening crucify people want help refugees literally least Christian thing possible https twitter com thehill status 667406255300964353|87|78
12:16 PM - 19 Nov 2015|I fight like hell living Chai Jindasurat @antiviolence #TDoR2015 #ProtectTransLives #Resilience pic twitter com sS3yBX4n0P|28|68
10:38 AM - 19 Nov 2015|I fight like hell living Beverly Tillery @antiviolence #TDoR2015 #ProtectTransLives #Resilience pic twitter com PC8jf5Trsk|28|46
11:01 AM - 19 Nov 2015|I fight like hell living Chanel Lopez @antiviolence #TDoR2015 #ProtectTransLives #Resilience pic twitter com R4OqZacevc|30|49
11:46 AM - 19 Nov 2015|Fight 4 living Don't fight 4 fight 4 mines My passion 4 justice burning #TransAwarenessWeek pic twitter com 0GwIWCavZD|38|71
11:06 AM - 19 Nov 2015|Violence Muslim Women exactly Daesh so-called Islamic State banked hate would surface End Islamophobia|4|0
6:31 AM - 19 Nov 2015|A first North America At 10 30am today #onpoli pause moment silence Trans Day Remembrance pic twitter com 5dS9NDgOCW|38|35
1:32 PM - 18 Nov 2015|Of course Now repeal redundant racist legislation #BarbaricCulturalPractices https twitter com CBCCanada status 667088784304009216|15|13
1:00 PM - 18 Nov 2015|Holy shit Obama quote http www theguardian com us-news 2015 nov 17 republicans-congress-syrian-refugees-us-paris-attacks pic twitter com l1Yj3Kjn9e|14K|13K
5:31 AM - 18 Nov 2015|Report #Hollande still committed accepting 30 000 refugees next two years duty life must go|59|41
9:05 AM - 16 Nov 2015|It's good thing nobody every rushed Louisiana's aid helped people resettle disaster https twitter com BuzzFeedNews status 666296380550344704|5|4
9:12 AM - 16 Nov 2015|parade refugee-blocking pathetic disgusting display cowardice moral vacuity|14|10
9:11 AM - 16 Nov 2015|fucking tenuous empathy easily disqualified concern neighbours|13|7
6:23 AM - 16 Nov 2015|The M tis flag flying City Hall today honour Louis Riel Day #Toronto #TOpoli|86|274
6:08 PM - 13 Nov 2015|If ain't info sympathy consider skipping tonight Save analysis agenda tomorrow Tonight maybe human|452|698
