4:43 PM - 9 Dec 2015|Don't love soon Don't trust fast Don't quit early Don't expect high Don't talk much|380|501
9:49 PM - 7 Dec 2015|Never apologise pic twitter com QAZEC4PznU|7|6
8:31 AM - 6 Dec 2015|Part human go back hope come across moment ll right way|21K|24K
8:31 AM - 6 Dec 2015|This video contains everything need draw success abundance joy want http bit ly manifest102 pic twitter com DWeliNwppR|31|81
7:33 PM - 25 Nov 2015|My diet starts tomorrow -says one today|15K|25K
8:01 AM - 1 Dec 2015|Kindness competition time Spread Christmas tell charitable good https www instagram com p -wVDoDv-Zq|4.8K|11K
7:33 PM - 5 Dec 2015|@LoseWeightTeach best game whole day pure classic|1|0
4:31 AM - 5 Dec 2015|This Guide reveal missing ingredient Law Attraction short video http bit ly manifest104 pic twitter com Ou3X9LjO9S|38|108
11:07 AM - 5 Dec 2015|While love people typically become jealous anger easily small things curious often worry losing individual|223|419
8:12 PM - 4 Dec 2015|It's better told truth hurt moment told want hear hurt lifetime|129|115
3:27 AM - 4 Dec 2015|Just person doesn't talk problems doesn't mean don't|344|315
5:12 PM - 3 Dec 2015|Be strong things get better It might stormy cant rain forever|84|84
9:51 AM - 29 Nov 2015|If things aren't going way don't give They soon|10|19
9:31 AM - 29 Nov 2015|This Guide reveal missing ingredient Law Attraction short video http bit ly manifest104 pic twitter com swFT2EBRAa|21|86
7:47 AM - 29 Nov 2015|Sometimes life doesn't want give something want don't deserve deserve|356|416
2:42 AM - 29 Nov 2015|Learn smile every situation See opportunity prove strength ability|119|81
9:27 PM - 28 Nov 2015|If someone smile generous offer smile Nobody needs smile one cannot smile others|294|367
9:47 AM - 28 Nov 2015|The one person try better person yesterday|213|171
5:16 PM - 26 Nov 2015|Treat day last one day right|1|2
5:20 PM - 26 Nov 2015|I'm grateful several years I seriously started journey entrepreneurship #blkcreatives|1|2
5:21 PM - 26 Nov 2015|May dinner excessive break zipper pants ancient Thanksgiving proverb|39|94
5:27 PM - 26 Nov 2015|Even best fall sometimes|144|128
3:26 PM - 26 Nov 2015|Understand people change sometimes they're longer compatible lives We learn accept move|13|35
12:12 PM - 26 Nov 2015|Sometimes best way stay close someone love friend|57|54
1:06 PM - 26 Nov 2015|I'm thankful good's #94andkillingthegame https instagram com p -kAFjRP-dS|4.2K|9.9K
4:27 PM - 26 Nov 2015|Life short worry stupid things Have fun Fall love Regret nothing don't let people bring|386|381
2:42 PM - 26 Nov 2015|She's tough She tries hide She's difficult But make effort she's worth She's worth effort|56|65
8:05 AM - 26 Nov 2015|Everything reminds|506|596
3:12 PM - 23 Nov 2015|One smile can't change world smile changes mine|68|69
3:47 PM - 23 Nov 2015|Appreciation key happiness|204|209
4:47 PM - 23 Nov 2015|You fail stop trying|162|197
6:42 PM - 22 Nov 2015|Sometimes die little inside first order reborn rise stronger smarter version|108|89
6:33 PM - 22 Nov 2015|keeping rep https instagram com p -aSUWFv-Qo|4.3K|9.8K
3:27 PM - 21 Nov 2015|Weak people revenge Strong people forgive Intelligent people ignore|79|160
3:30 PM - 21 Nov 2015|Death greatest loss life The greatest loss dies inside still alive Never surrender - Tupac Shakur|596|604
3:27 PM - 21 Nov 2015|Sometimes you're afraid thing set free|158|198
3:18 PM - 21 Nov 2015|Sex appeal fifty percent you've got fifty percent people think you've got|1|1
3:18 PM - 21 Nov 2015|The best way sell others first sell others -Napoleon Hill|1|2
3:17 PM - 21 Nov 2015|Before win believe worthy -Mike Ditka|1|2
3:17 PM - 21 Nov 2015|Hershey produces 80 million chocolate Kisses every day|148|322
3:15 PM - 21 Nov 2015|Time time I play role fool Just|7|8
6:46 PM - 20 Nov 2015|I wish people take selfies make amateur porn would clean room first|1|2
6:42 PM - 20 Nov 2015|Don't judge day harvest reap seeds plant|43|60
6:30 PM - 20 Nov 2015|That's enough #strength #love #friendship #family #strongwomen pic twitter com GOhwjconxN|5|18
6:23 PM - 20 Nov 2015|I needed good workout today pic twitter com taE3TcgFts|818|6.5K
1:58 PM - 20 Nov 2015|A warm welcome awesome new followers @222FootlightEnt @LoseWeightTeach @CharmGirl55|1|1
4:31 AM - 20 Nov 2015|This video contains everything need draw success abundance joy want http bit ly manifest102 pic twitter com p88GsMAZbP|50|94
1:56 AM - 20 Nov 2015|He asks fool five minutes ask remains fool forever - Chinese Proverb|800|868
2:32 PM - 19 Nov 2015|An unexpected text message person care positive affect body instantly improve mood|183|294
1:12 PM - 19 Nov 2015|Live life say I can't believe I instead saying I wish I|60|57
1:11 PM - 19 Nov 2015|Ginger-Bae Ginger-Boo taking care business http www belovedshirts com katyperry https instagram com p -R-pQYP-ar|4.1K|9.4K
9:47 AM - 19 Nov 2015|Time essence Every moment much explore Make time count instead counting time|127|147
10:30 AM - 18 Nov 2015|A little persistence little effort seemed hopeless failure may turn glorious success - Elbert Hubbard|541|568
1:33 AM - 17 Nov 2015|Make someone smile whenever never know much difference could making life moment|69|102
10:56 PM - 16 Nov 2015|Sleeping hard can't stop thinking|23|65
2:21 AM - 17 Nov 2015|Daily inspirational quote pic twitter com MGRWW3o2d0|156|125
3:08 AM - 17 Nov 2015|Education powerful weapon use change world - Nelson Mandela|1.2K|982
