3:05 PM - 11 Dec 2015|I'm starting really really appreciate people laid back Shoutout|242|658
2:07 PM - 11 Dec 2015|I've learned people want find something mad every single day there's nothing|307|638
2:58 PM - 11 Dec 2015|GUYS I'm watching new video Lisa finished OMG haha it's weird|233|630
7:27 PM - 1 Dec 2015|FOLLOW SPREE Cause I love guys RT tweet|1K|1K
9:29 PM - 10 Dec 2015|Seriously wanna thank positive words lately It inspires motivates much You don't realize impactful|343|796
7:57 PM - 10 Dec 2015|Thank kind words tonight I hope enjoyed #CoatOfManyColors movie Goodnight ya'll @nbc pic twitter com PugLCD0LFz|970|4.9K
7:42 PM - 10 Dec 2015|You love|2|4
7:41 PM - 10 Dec 2015|Seriously I'm love|2|3
7:20 PM - 10 Dec 2015|Love never fails #CoatOfManyColors|380|905
7:29 PM - 10 Dec 2015|@mistereap @JenniferNettles My daddy could stubborn mule sometimes I love daddy #CoatOfManyColors|111|867
7:27 PM - 10 Dec 2015|hello|2|5
7:21 PM - 10 Dec 2015|Ahh Can't wait 2016 want make great stuff y'all Survey http bit ly cimfamsurvey Kath pic twitter com 6zy2jZj5Y9|359|754
7:00 PM - 10 Dec 2015|There nothing earth powerful love #CoatOfManyColors pic twitter com 5ZYUhV9j8I|536|1.4K
7:00 PM - 10 Dec 2015|We're loving #CoatOfManyColors @DollyParton @JenniferNettles pic twitter com eVyL5R0qhl|73|296
6:17 PM - 10 Dec 2015|Oh heavens little @AlyviaAlynLind who's playing little @DollyParton precious words #CoatOfManyColors|5|9
2:35 PM - 10 Dec 2015|WATCH Dolly Parton Shares Favorite Christmas Story http www countryweekly com videos dolly-parton-shares-favorite-christmas-story pic twitter com gzlMMfOnCd|11|50
6:46 PM - 10 Dec 2015|Jennifer Nettles says Avie Lee like @DollyParton without glitter #CoatOfManyColors pic twitter com j3Hk4qynAp|45|250
6:50 PM - 10 Dec 2015|It's perfect fit Made #CoatOfManyColors @nbc|185|1K
6:41 PM - 10 Dec 2015|There nothing earth powerful love Amen @DollyParton @JenniferNettles #CoatOfManyColors|16|61
6:39 PM - 10 Dec 2015|This starts My #CoatOfManyColors love sewn every stitch @nbc|283|1.3K
6:37 PM - 10 Dec 2015|@DollyParton I excited tonight EVERYBODY watching Thank choosing part beautiful movie|230|1.4K
6:34 PM - 10 Dec 2015|This Dolly Parton movie stinkin good #CoatOfManyColors|17|84
6:27 PM - 10 Dec 2015|Brings tears eyes every time #CoatOfManyColors|291|1.4K
6:15 PM - 10 Dec 2015|I living vicariously tweets I west coast time tonight #coatofmanycolors|66|600
6:03 PM - 10 Dec 2015|There Isn Alyvia Lind perfect little Dolly #CoatOfManyColors|215|1.1K
11:07 AM - 10 Dec 2015|Just make mistake doesn't mean one|687|919
9:05 AM - 10 Dec 2015|Tonight watch @DollyParton true story simple gift changed life #CoatOfManyColors pic twitter com 0WJTADEd1u|108|379
5:55 PM - 10 Dec 2015|My hand hurts signing Visit shop get abs Xmas http www aj-brooks com shop pic twitter com UqWMXP28xu|632|1.5K
11:32 AM - 10 Dec 2015|Lauren teaching actually cute outfits Bless Amy took pic https www instagram com p _H4dJpKFJB|287|731
3:00 PM - 10 Dec 2015|Me meetings pic twitter com 1lB69J2PA3|477|1.3K
10:32 PM - 8 Dec 2015|Life good I sooooo happy wow God great I feel thankful|381|893
6:46 PM - 9 Dec 2015|Lord I need oh I need Every hour I need https vine co v iZapPAtPpxz|590|1.2K
1:22 PM - 23 Nov 2015|RT follow Check hearts fire remix http awe sm jOfxp|1.6K|1.2K
8:15 AM - 10 Dec 2015|Went Christmas party last night https instagram com p _HhpzElCka pic twitter com g2wKaoSef6|373|897
3:25 AM - 10 Dec 2015|Do love cimorelli|2|1
9:46 AM - 9 Dec 2015|What correct way wrap presents If doesn involve violently cursing I think I m wrong|1.6K|2.8K
8:05 AM - 9 Dec 2015|honestly makes sad tho like I boyfriend talked girls way guys I know taken talk I would cRY|370|996
12:07 PM - 9 Dec 2015|A note journals tees pic twitter com vkBqrUnC4P|289|680
3:23 AM - 9 Dec 2015|So since @united forgot book 1st officer flight I'm delayed 3hrs close Gold status 2016 I think bump would fair|22|132
10:43 PM - 8 Dec 2015|takes girls long get ready pic twitter com CKfnMXh0Bf|87|82
10:31 PM - 8 Dec 2015|Who's excited return #prettylittleliars January 12 See happens #fiveyearsforward pic twitter com 1N1RRmprQN|740|2.1K
9:50 PM - 8 Dec 2015|I WANT FRIED CHICKEN|353|841
7:03 PM - 8 Dec 2015|Thank pledging #ScreamQueens We love every single one idiot hookers #ScreamQueensFinale pic twitter com Jtd5rIDqkN|4.1K|5.8K
6:53 PM - 8 Dec 2015|Grace opened call center How sweet Such great talking pumpkin #ScreamQueens #ScreamQueensFinale pic twitter com lXMqPbZO4m|223|655
6:46 PM - 8 Dec 2015|We guess someone #ScreamQueens #ScreamQueensFinale pic twitter com rL4AQYuFRF|481|882
6:33 PM - 8 Dec 2015|Well #BuyMeABoat @janson_chris #Opry pic twitter com CcohTed0uS|30|125
6:30 PM - 8 Dec 2015|Someone please prove Hester killer #ScreamQueensFinale|132|255
6:26 PM - 8 Dec 2015|I really don't want scream queens end|225|279
2:04 PM - 8 Dec 2015|Here's possible Scream Queens killer candidate left ahead tonight's finale http cosm ag 6011BTetF pic twitter com cbNFg0JnpW|16|49
6:26 PM - 8 Dec 2015|Chanel arrest Uh oh #ScreamQueens #ScreamQueensFinale pic twitter com x5rc09umou|354|620
2:41 PM - 8 Dec 2015|I pay forward supporting #loveislouder Love IS louder share kindness #ShareKindness|160|499
6:20 PM - 8 Dec 2015|Tweet us reaction Hester's confession #ScreamQueens #ScreamQueensFinale|134|394
6:15 PM - 8 Dec 2015|Hester really covering tracks tho #ScreamQueens #ScreamQueensFinale|375|602
6:12 PM - 8 Dec 2015|RETWEET think @RobertsEmma Red Devil We wouldn't put past @ScreamQueens @maxwyeth pic twitter com 2H6tWRmIYN|6|13
6:06 PM - 8 Dec 2015|Someone take blame right #ScreamQueens #ScreamQueensFinale pic twitter com VPXlHgm6jF|542|890
6:04 PM - 8 Dec 2015|Obvi Hester brains operation #ScreamQueens #ScreamQueensFinale pic twitter com gWuKZm6wEL|800|981
6:03 PM - 8 Dec 2015|Always love hearing sing long Thx @mrbobbybones wonderful evening supporting @StJude #milliondollarshow pic twitter com w3e1GmWEmq|73|304
6:02 PM - 8 Dec 2015|When realize #ScreamQueens almost #ScreamQueensFinale https vine co v i7059H6D3Yh|504|699
6:01 PM - 8 Dec 2015|It plan 20 years making worked Meet bathtub babies #ScreamQueens #ScreamQueensFinale pic twitter com JRKDoLXjWI|1.4K|1.6K
6:00 PM - 8 Dec 2015|She's alive #ScreamQueens #ScreamQueensFinale pic twitter com R9BPn8arHZ|415|640
5:58 PM - 8 Dec 2015|Hester named Red Devil #ScreamQueens #ScreamQueensFinale pic twitter com lem1exCgtT|473|685
5:58 PM - 8 Dec 2015|We'll miss AND neckbrace #6 #ScreamQueens #ScreamQueensFinale pic twitter com omrxexZ46E|275|522
5:47 PM - 8 Dec 2015|WAIT WHOS THE BABY IN THE BATH TUB #ScreamQueensFinale|77|160
5:07 PM - 8 Dec 2015|NOO WHY DID PETE HAVE TO KILL BOONE #ScreamQueens #ScreamQueensFinale|94|184
5:07 PM - 8 Dec 2015|Hey everyone Tune @NBCTheVoice right see mentor perform @CassadeePope|386|1.8K
5:07 PM - 8 Dec 2015|Pete really knows hold grudge #ScreamQueens #ScreamQueensFinale pic twitter com CYApGLxLV2|317|532
4:03 PM - 8 Dec 2015|Birthday 3 days|733|1.9K
3:13 PM - 8 Dec 2015|I love hate relationship w planes I hate bc I control life I'm air love get nap|20|49
6:18 AM - 8 Dec 2015|Would rather|1|1
6:01 AM - 8 Dec 2015|@LuxieHarris lot Their voices mind blowing Omyghaaddd I love much|1|1
8:08 PM - 7 Dec 2015|I bad day turns world doesn't hate us guess who's coming back THIS GIRL|4|10
2:06 PM - 6 Dec 2015|Throwback years @Cimorelliband @ChristinaCIM @KathCim @LisaCim @AmyCim @LaurenCimorelli @DaniCim pic twitter com 4rRvczh1TC|5|5
8:37 PM - 7 Dec 2015|@KathCim Have worn flannel I made yet HAHA pic twitter com HHfEGewU1D|2|5
8:37 PM - 7 Dec 2015|#WWENXT Superstars get HAUNTED #BreakingGround pic twitter com xjtYKOutz6|30|93
6:21 PM - 7 Dec 2015|I really enjoyed segment @TitusONeilWWE #WWE #Raw|2|6
10:49 AM - 1 Dec 2015|Always appreciate come life never know impact they'll world #GivingTuesday pic twitter com OpAiY6AD5D|1.4K|3.4K
6:45 PM - 7 Dec 2015|don't let little things break happiness|3.2K|4.2K
6:07 PM - 7 Dec 2015|I'll back https twitter com jannarbananar status 674036273082982402|81|265
5:55 PM - 7 Dec 2015|THIS SUNDAY #WWETLC @TheDeanAmbrose vs @FightOwensFight #ICTitle @WWENetwork #Raw pic twitter com 7UTiCKSSpb|129|213
5:54 PM - 7 Dec 2015|KO's back #RAW|22|40
5:42 PM - 7 Dec 2015|LATER TONIGHT @MsCharlotteWWE @RicFlairNatrBoy take #Raw #MizTV pic twitter com 0Zn7Fethph|189|352
5:36 PM - 7 Dec 2015|Hey @TODAYshow fans I'll making appearance tomorrow morning 8am EST hour See|174|853
5:32 PM - 7 Dec 2015|Happy Birthday @TheDeanAmbrose #Fatal4Way best way celebrate #Raw pic twitter com LoZhTjVtZv|790|1.1K
5:20 PM - 7 Dec 2015|Get It @WWEUsos #Raw pic twitter com 1hEE5zvuwh|94|152
5:20 PM - 7 Dec 2015|Don't miss MASSIVE #Fatal4Way #Raw pic twitter com LtaGunBeV3|187|323
6:49 PM - 6 Dec 2015|I can't wait birthday|216|751
10:36 AM - 5 Dec 2015|Remember #pll https vine co v Op6vHvJ5V5E|1.4K|2.3K
3:00 AM - 4 Dec 2015|#PLL fans Is January yet http usm ag 1Nqo4RO pic twitter com hPHsB7FbOe|446|1.1K
7:54 PM - 6 Dec 2015|@KathCim @LaurenCimorelli beautiful pic twitter com FEhfhvPjQn|2|4
6:49 PM - 5 Dec 2015|How many RTs Likes Cimorelli pic twitter com blLIxGttrZ|14|25
7:49 PM - 6 Dec 2015|My greatest gift https www instagram com p --eHmGGm3B|214|578
6:11 PM - 6 Dec 2015|My mom always makes magical Christmas trees She helped mine year https www instagram com p --S840y1HJ|63|330
6:13 AM - 3 Dec 2015|People beautiful looks say|2|1
5:44 PM - 6 Dec 2015|Got roof tonight watch sunset @ndrewgardner pic twitter com B11BbIxnXe|50|389
