11:06 AM - 9 Dec 2015|A complete catalog every time someone cursed bled Quentin Tarantino movie http 53eig ht 1jOmh1m pic twitter com tLEPQxBv0f|53|58
1:17 PM - 7 Dec 2015|If guessed Bill Murray would play dog Wes Anderson Japanese stop-motion movie guessed right http relm ag izlg7oY|10|29
12:35 PM - 7 Dec 2015|Life really change Becoming Midwest man pic twitter com kCsUZ3DuQx|16|114
8:26 PM - 6 Dec 2015|Invent new NFL award celebration pic twitter com MA4l1hvZeY|1.1K|1.1K
8:23 PM - 6 Dec 2015|Antonio Brown EARNED penalty pic twitter com gnGcqHei8x|3.5K|3K
11:52 AM - 6 Dec 2015|Big game Vikings Check Vikings fold spotlight Check One postseason best coming Check|180|258
3:33 PM - 4 Dec 2015|That's stupid I can't even throw 30 He threw 65 money That's ridiculous - Anthony Barr pic twitter com 9mOlFfDRnr|187|519
11:06 PM - 3 Dec 2015|The ATNFL crew breaks Packers' epic win latest podcast http www nfl com podcasts id 44d40c3aa2edc2503608b22f7b860171 campaign Twitter_atn pic twitter com MVY0brh7oO|31|62
9:33 PM - 3 Dec 2015|No words #GBvsDET pic twitter com qJdxNw3CSC|1.9K|3.6K
9:25 PM - 3 Dec 2015|About happiest locker room I remember since Super Bowl Meanwhile elevator couple Lions players Stunned silence|24|95
9:19 PM - 3 Dec 2015|Great @USATsportsImage Aaron Rodgers @packers celebrating Hail Mary vs Lions pic twitter com hHYld4g5vS|21|35
9:25 PM - 3 Dec 2015|What week football The last 3 games ended walk-off TDs pic twitter com AffjpuRMte|3.7K|5.9K
9:27 PM - 3 Dec 2015|Team pic twitter com SzmFqG15z9|1.1K|3K
9:28 PM - 3 Dec 2015|That face throw pass that'll played career highlights you're inducted HOF pic twitter com nhCCcDtDfQ|125|324
9:05 PM - 3 Dec 2015|Oh shit McCarthy firing shots fail mary lmao|1|2
6:39 PM - 2 Dec 2015|Weekly mass shootings aren't something people developed countries worry This #NotNormal pic twitter com BgtWZOtjOm|3K|1.8K
4:04 PM - 27 Nov 2015|This country ally https twitter com clivessmith status 670335188669497344|201|274
7:21 PM - 26 Nov 2015|Bart Starr Brett Favre Incredible #TH4NKSGIVING pic twitter com z7hiaM8Kg9|10K|15K
4:35 PM - 23 Nov 2015|Watch @KillerMike's speech introducing @BernieSanders rally Atlanta http p4k co UZXso pic twitter com 2431l40R1k|735|992
1:37 PM - 23 Nov 2015|Bernie Sanders rapper Killer Mike Busy Bee Atlanta pic twitter com jqOiLlMgrQ|21K|29K
6:25 PM - 22 Nov 2015|Only #PackNation make away games feel like home games Great win tonight thanks support #GoPackGo #Packers|379|1.4K
4:39 PM - 22 Nov 2015|Talk statement @packers put bang-thing Minny take lead North heading Favre Number Retirement Night v Bears|78|150
4:36 PM - 22 Nov 2015|That run puts Eddie Lacy 100 yards day Guessing #Packers fans thinking Welcome back big fella|78|184
4:29 PM - 22 Nov 2015|I said 31-10 And everyone laughed Are laughing|11|48
4:25 PM - 22 Nov 2015|You get sack get sack everyone gets sack #GBvsMIN pic twitter com 04mOCS9jGw|18|27
2:37 PM - 22 Nov 2015|Always tough see quality player go even opposite team Hope Teddy's okay @ukpackers|6|10
7:16 PM - 20 Nov 2015|Only 82 Americans eat turkey Thanksgiving Is nothing sacred http 53eig ht 1I4EVbp pic twitter com 4hBRdSHtP8|43|52
10:05 AM - 19 Nov 2015|Shut y-axis It shouldn always start zero https amp twimg com v 5bda271f-5e9b-40ad-b0f9-e79e51766abf|170|222
3:25 PM - 17 Nov 2015|stage 5 clinger https vine co v hAeMItQJji7|2.9K|6.3K
9:50 AM - 17 Nov 2015|what's favorite wes anderson movie who's think see people|161|432
1:23 PM - 16 Nov 2015|#Vikings vs #Packers Sunday TCF Bank Stadium Follow us RT Giving away tomorrow# pic twitter com fCeDDgIkuk|1.1K|173
4:57 PM - 16 Nov 2015|No matter team you're cheering we'll get u game bus full beer Sunday 20 pic twitter com VRf1vsXUxk|3|3
8:46 PM - 15 Nov 2015|The entire South puts Nativity play church Christmas Which Middle Eastern couple desperate shelter|7.8K|7.4K
12:21 PM - 16 Nov 2015|It's official Broncos QB Brock Osweiler start Sunday vs Bears|1.4K|1.1K
12:16 PM - 16 Nov 2015|Memento getting remade nothing sacred Hollywood http goo gl KhrMKH pic twitter com UxqWku3b8i|57|19
2:59 PM - 15 Nov 2015|My man RT @AaronNagler This outstanding https twitter com mattj_onnfl status 666018087724912641|40|57
