6:48 PM - 11 Dec 2015|1000 retweets I ll ask @celebrityhottub Why Lane Kiffin bar|32|11
5:48 PM - 9 Dec 2015|I BALLED OUT Burlington coat factory Got like 5 Henley shirts zip jacket sheets guest bedroom 100 bucks #bargainshopper|1|30
1:03 PM - 7 Dec 2015|Kim Kanye named kid SEC West let live years reputation|3K|3.1K
2:19 PM - 7 Dec 2015|The way stop Donald Trump destroy Horcruxes The wig definitely one If need I'll finding six|9K|8.3K
2:00 PM - 7 Dec 2015|This thing finally stops Trump Stop No Don't post You resist time pic twitter com qtoBygoicH|299|643
2:36 PM - 7 Dec 2015|This best post internet year http gizmodo com the-creepiest-things-you-can-do-on-facebook-1683434172|31|73
1:46 PM - 3 Dec 2015|This story makes laugh like one listening https twitter com itvnews status 672530029511892992|60|78
8:06 AM - 4 Dec 2015|Fantastic article @levi_m Blake Clayton @CFR_org perils oil fiscal breakeven models http www cfr org oil fiscal-breakeven-oil-prices-uses-abuses-opportunities-improvement p37275|2|0
6:02 AM - 4 Dec 2015|MT @JasonBordoff Good read OPEC policy challenge age shale oil @ColumbiaUEnergy commentary A Halff http energypolicy columbia edu on-the-record opec-s-policy-challenge-age-shale-oil|2|1
4:00 PM - 29 Nov 2015|How Chicago turning sewage power via @citylab http bit ly 1kEOYPz|20|7
8:57 PM - 28 Nov 2015|Got outflanked dude eats grass unsure clocks work Happens pic twitter com NNeDjV4N9l|501|602
1:24 PM - 27 Nov 2015|This young girl ruins people's lives pic twitter com SqTW4yt0SW|1.7K|1.7K
11:49 AM - 28 Nov 2015|The lawsuit alleges Los Angeles requires quieter less polluting electric rigs city wealthier west side http www nytimes com 2015 11 28 opinion the-danger-of-urban-oil-drilling html action click pgtype Homepage version Moth-Visible moduleDetail inside-nyt-region-1 module inside-nyt-region region inside-nyt-region WT nav inside-nyt-region _r 0|1|0
5:12 PM - 27 Nov 2015|Dunk cam pic twitter com aenHy6almG|1.9K|1.6K
3:00 PM - 27 Nov 2015|A 32 yr institution closes doors Fishmonger's you'll missed https twitter com Fishmongers_Dur status 670371001176166400|5|7
8:45 AM - 26 Nov 2015|I'm thankful 2-1 call Dioner Navarro 2-1 call Ben Revere Sorry Canada This isn't Thanksgiving anyway|91|216
6:43 AM - 18 Nov 2015|30 years ago today November 18 1985 first met boy pet tiger Happy Birthday pic twitter com IxzwsUuCL5|10K|11K
