6:07 PM - 7 Dec 2015|I wanna get married see place really exists pic twitter com VvG50MZKOg|819|1.6K
8:03 PM - 9 Dec 2015|Why Islamophobia worse 9 11 A researcher explains http www vox com 2015 12 9 9880512 islamophobia-worse-now utm_campaign vox utm_content article 3Afixed utm_medium social utm_source twitter via @voxdotcom|9|12
8:22 AM - 9 Dec 2015|@rula jubreal says Only You Can Prevent Islamophobia Give read http foreignpolicy com 2015 12 08 trump-islamophobia-republican-carson-bush|19|17
3:07 PM - 8 Dec 2015|A crazy thing happens CNN simply asks Muslim ban supporting pundit source claims WATCH pic twitter com nogDcnJtDp|3.6K|3.1K
8:24 AM - 9 Dec 2015|-Saying Muslim shouldn't president -Religious tests refugees -Invoking Nazis It's Donald Trump https amp twimg com v 203e1be8-703c-41e5-a43b-cac5a0cb9c47|663|660
9:30 AM - 9 Dec 2015|Hero For real https twitter com dailymailuk status 674579012904214528|421|782
5:39 PM - 8 Dec 2015|Don't remember @nytimes Trump http nyti ms 1XSXv2N pic twitter com QpHEhzQFXX|134|218
1:18 PM - 8 Dec 2015|Nutter's list idiots assholes Murderous gangbangers Donald Trump|19|17
4:57 PM - 7 Dec 2015|@ariannahuff @realDonaldTrump's campaign become ugly dangerous force American politics http huff 1LZVwgZ|372|368
4:18 PM - 7 Dec 2015|This neo-Nazi response Donald Trump's anti-Muslim proposal says http huff 1SKyCjs pic twitter com Q1fLSCKSHU|209|138
10:49 AM - 6 Dec 2015|I decided always use @realDonaldTrump's twitter handle jokes denounce|18|179
11:00 AM - 6 Dec 2015|An award-winning photographer documented nation falling apart http huff 1YS3DWl pic twitter com DGXpbIlGwY|28|36
1:21 AM - 6 Dec 2015|Old Star Trek playing bar totally relevant current political zeitgeist #TrumpHairAndPhilosophy pic twitter com xAKQUFwMRL|677|908
8:38 AM - 6 Dec 2015|There must new offshore drilling Not ever pic twitter com aZmSTVk1pd|1.5K|3.9K
7:30 AM - 6 Dec 2015|If re dangerous board plane re dangerous definition buy gun @POTUS http go wh gov 3MJ3qp|601|970
7:21 AM - 6 Dec 2015|There's Muslim woman plane white people staring This much|246|454
9:41 AM - 21 Nov 2015|Trump #2016 pic twitter com 3fnZpZzSsC|1.8K|2.5K
2:18 PM - 5 Dec 2015|@gator_gab @rezaaslan context darling pic twitter com 3N8KB4UHrn|40|64
7:36 AM - 5 Dec 2015|The written record #COP21 Google Doc maintained two college students http ht ly Vwxyz @FutureTenseNow @EricHolthaus|19|10
2:59 PM - 4 Dec 2015|The #ChennaiFloods devastating preview unnatural disasters come http www slate com blogs the_slatest 2015 12 04 chennai_floods_devastate_india_s_fourth_largest_city html pic twitter com 0rGyIGiPXc|61|37
7:04 PM - 4 Dec 2015|That's wrap East Coast Thank YOU much joining 13 years 22 cycles smizing boochin' toochin' Fierce Love - TyTy|562|1.5K
7:12 PM - 4 Dec 2015|I get drunk AF see bathroom mirror #ANTM pic twitter com doowJcII61|80|186
5:16 PM - 4 Dec 2015|He's got 0 polls excitement he's generated pic twitter com NeQDYYhsL9|57|58
1:53 PM - 4 Dec 2015|@GloriaSteinem The polarized gender roles violent society Tonight @PBS https youtu kxR0IoG6oKk|36|41
8:24 AM - 4 Dec 2015|@Slate I comfortable around people period|4|33
11:17 PM - 3 Dec 2015|Suspects San Bernardino shooting used semiautomatic rifles legally obtained http nyti ms 1XEe8ze|175|136
5:19 PM - 3 Dec 2015|Here every senator voted expanding background checks following year's 355th mass shooting pic twitter com Hd5ipbR5HN|14K|7.5K
5:28 PM - 3 Dec 2015|The last thing I want build prison build prison fill #PHLtownhall pic twitter com 3p7AGkjgBW|10|21
12:06 PM - 3 Dec 2015|The defunding Planned Parenthood part long-term smear campaign people want deny women right control bodies|12K|15K
11:57 AM - 3 Dec 2015|Second Amendment A Little Creeped Out By How Obsessed Americans Are With It http onion com 1QWOWQk pic twitter com aNfZKT5wTD|1.9K|2.3K
11:48 AM - 3 Dec 2015|Possibility radicalization #SanBernadino means lawmakers MORE motivated pass gun regulations TERRORISM IS A GUNS ISSUE|230|325
2:45 PM - 2 Dec 2015|Based trend another 29 mass shootings coming year's end https twitter com ChronFalkenberg status 672182479395168256|92|40
12:41 PM - 2 Dec 2015|San Bernardino shooting 2nd mass shooting today 3rd since Colorado Springs 355th year https www washingtonpost com news wonk wp 2015 12 02 the-san-bernardino-mass-shooting-is-the-second-today-and-the-355th-this-year pic twitter com U56lv3M32r|1.8K|519
9:00 PM - 2 Dec 2015|#SanBernardino police tells @BuzzFeedNews DID NOT identify 29-year-old Qatar citizen suspect https twitter com kenbensinger status 672278513076932608|203|101
6:00 PM - 2 Dec 2015|We must ever question 2nd amendment passed 1791 knew everything know guns 2015|2.6K|4.5K
12:26 PM - 2 Dec 2015|I refuse accept normal We must take action stop gun violence -H https twitter com nytimes status 672139564346187776|11K|14K
7:23 PM - 2 Dec 2015|barbarically hypocritical must appear world brutal citizens #SanBernadino #GunControlNow|68|131
9:45 AM - 20 Nov 2015|Our focus giving safe haven vulnerable Syrians women children survivors torture @POTUS pic twitter com F00xTKTFjd|526|684
