9:40 AM - 7 Dec 2015|Yes would We make x-mas wish right https twitter com elissa814 status 673891105574883328|3|20
3:02 PM - 29 Nov 2015|'History's Portal' Tintagel Castle Cornwall England UK Brandon Donnelly #travel #photography pic twitter com 3jkCNNIERT|454|550
11:43 AM - 3 Dec 2015|We sat Andr Holland discuss role Algernon Edwards #TheKnick http itsh bo 21yYC78 pic twitter com JP929b1Za8|23|56
2:11 PM - 3 Dec 2015|Listen Our Usual Deal Cliff Martinez featured last week episode #TheKnick http bit ly 1LyEjLl pic twitter com dK1lhZmu6L|10|31
9:53 AM - 3 Dec 2015|@AmirArison speaking brothership retirement party @NBCBlacklist Happy #Decembe True Friend pic twitter com 3FjHjmBGI0|26|156
7:02 PM - 2 Dec 2015|This latest know Calif mass shooting ensuing shootout suspected gunmen https amp twimg com v 7099f062-96a7-49a1-964b-c0c4500e5215|46|27
6:01 PM - 2 Dec 2015|#BREAKING SWAT vehicle ramming home Redlands CA near San Bernardino pic twitter com WSTyMcxnwA|11|8
4:01 PM - 29 Nov 2015|@The_MarkJohnson @rachel_pilates @ElizMaryHancock @MelissaBerryman @mercier_ale @APRILintheZONE @rbrudyk Thanks4Follow YOUROCK|2|3
5:30 PM - 27 Nov 2015|Will Harriet find way An new episode #TheKnick premieres tonight 10PM @Cinemax pic twitter com csVYIwRCW3|14|60
8:12 AM - 25 Nov 2015|WOW Check #RRBC stars @lorirassas @LScottBooks @luanasbooks @lynnnanna @M_R_Stoddard @MAAdlerWrites pic twitter com QhbYSPd79h|4|0
4:16 AM - 25 Nov 2015|#goodmorning winter pic twitter com I8ljBPDERf|132|189
8:15 AM - 25 Nov 2015|Calling #Dominion fans Round 3 It's time 2 go big go home Let's bring http www radiotimes com scifishowchampion bracketeers 53|4|2
7:56 AM - 25 Nov 2015|Friday night new episode #TheKnick https amp twimg com v f73bce51-e0ec-41c3-8b6e-797bd54a4352|22|40
9:26 AM - 24 Nov 2015|#Hollande says rejects equating terrorism migration refugees #ParisAttacks|24|22
9:13 AM - 24 Nov 2015|Obama arguing anti-Muslim bigotry anti refugee rhetoric late France accepting 30kk refugees We must uphold values|31|26
9:10 AM - 24 Nov 2015|Obama says ISIL cannot defeat us battlefield cannot succumb fear waver Ft Hood Boston Marathon Chatanooga|28|36
8:29 AM - 24 Nov 2015|City #Architecture #Photography Up izzy2 http ift tt 21ehGHI pic twitter com oyglKMY2bG|4|2
6:21 AM - 24 Nov 2015|Surely right question #Turkey's role #IS ever MP accused 'apologist' pic twitter com O3ojk9WwTh|21|12
7:34 AM - 24 Nov 2015|Stab back terror accomplices #Putin #Turkey downing Russian #SU24 jet #Syria #ISIS https amp twimg com v 0a3274d6-983a-42b3-85bb-f41aab5b5a4c|814|433
11:57 AM - 22 Nov 2015|@MelissaBerryman Kuwait arrests extremists cell funded Islamic State http pri ml Umzi4-r0 via businessinsider|1|0
7:09 PM - 20 Nov 2015|@FearTheFrankie @MelissaBerryman @TheJonesLee @sutterink @TheBastardEx A total loss|1|3
2:56 PM - 20 Nov 2015|Not 2 confused w spoon That I might vote 4 LOL @MelissaBerryman @bencarson @realDonaldTrump #GOP|1|1
6:53 PM - 19 Nov 2015|@MelissaBerryman @NBCBlacklist that's formula|1|2
6:47 PM - 19 Nov 2015|The #WordPress News http paper li i4interactive 1317016049 edition_id 188fe0c0-8f31-11e5-a552-0cc47a0d1605 Stories via @MelissaBerryman @davecokin @jichanglulu|2|1
6:20 PM - 19 Nov 2015|Stop Privatizing Prisons - http wp p1LcUS-2x|6|3
11:33 AM - 19 Nov 2015|Awesome Go 4 @GhostSecPI #WishICouldHack|1|2
11:16 AM - 19 Nov 2015|Dont u think keeping track vs shutting sites good Can u screw w funding @GhostSecPI|1|2
7:54 AM - 18 Nov 2015|The 5 satisfying moments @TheBastardEx SERIES finale http yhoo 1ltYiWP pic twitter com HQj0BqbqbX|14|23
8:34 PM - 18 Nov 2015|Whore On Christmas #SexyHolidays @midnight|1|1
8:54 AM - 18 Nov 2015|Thank https instagram com p -O822luUqY|183|501
1:41 PM - 18 Nov 2015|I'm getting tired @BEAddicts @IMDbTV @TheBastardEx #TBX #Helix #Dominion #Complications @TallShipProds @VaunWilmott @MattNixTV|1|1
8:48 PM - 17 Nov 2015|Olympic Meat Sweats #HungryGames @midnight #PointsMe|1|1
8:39 PM - 17 Nov 2015|Not upset closing scene upset @MelissaBerryman @TheBastardEx #TBXFinale @FloraS_L @TheJonesLee|1|2
8:40 PM - 17 Nov 2015|Frogger Legs #HungryGames @midnight #PointsMe|1|1
8:32 PM - 17 Nov 2015|Oh God I'm freaking fantastic ending @sutterink @Harparbar @smoyer @TheJonesLee @FloraS_L #IWantMyTBX|23|57
8:46 PM - 17 Nov 2015|Mystery Meat Ball #HungryGames @midnight #pointsme|1|1
7:23 PM - 17 Nov 2015|@MelissaBerryman @TheJonesLee @TheBastardEx Amen Think visions|2|2
7:02 PM - 17 Nov 2015|Does 2 b #TBXFinale @TheBastardEx #TBX #totallyaddicted|1|1
7:08 PM - 17 Nov 2015|Ok ok it's draw plz @TheBastardEx #TBX|1|1
7:04 PM - 17 Nov 2015|Uh oh @smoyer's 2 good #TBX @TheBastardEx #TBXFinale|1|1
11:58 AM - 17 Nov 2015|Hear Hear That would fabulous Pretty please @tweet_sween https twitter com MelissaBerryman status 666704466696122370|3|5
9:40 AM - 17 Nov 2015|#TheBastardExecutioner finale sneak peek Can WIlkin Lady Love save Luca http bit ly 1H6SzzS @TheBastardEx pic twitter com 2Evy7Nz0ir|51|119
