7:41 PM - 8 Dec 2015|Waiting go #VSFashionShow nervous So hungry #roadmanager pic twitter com I86lJwoRCy|498|3K
6:41 AM - 4 Dec 2015|finishes petting dog My dog|2.3K|4K
9:42 AM - 4 Dec 2015|Imagine working whole life become amazing scientist show congress found they're like fuck|58|133
2:49 PM - 5 Dec 2015|Congratulations #TeamASICS Megan Kimmel win #TNF50 https twitter com irunfar status 673234462369419264|2|11
9:38 AM - 23 Nov 2015|ISIS stupid Don't realize Santa watching Lots coal dummies|1.5K|3K
8:27 AM - 23 Nov 2015|Birthday party idea group nap|61|160
12:45 PM - 2 Dec 2015|signed McDonalds University pic twitter com 6LusMObmFs|923|3.8K
10:45 AM - 26 Nov 2015|Me I ate bunch food I'm sleepy WebMD It's cancer|940|1.6K
8:07 AM - 25 Nov 2015|How turkey feels day Thanksgiving pic twitter com lxqi92Qhb6|3.8K|4.2K
12:20 PM - 20 Nov 2015|Poll Finds 23 Of Americans Would Vote For Jeb Bush If Candidate Standing Right Next To Them In Voting Booth http onion com 1l9S0en|207|371
12:57 PM - 19 Nov 2015|BREAKING Jared Fogle sentenced prison 15 years 1 1 4 foot-longs|59|141
1:10 PM - 18 Nov 2015|Chief Exec Any Ideas Writer 1 Talking Animals Writer 2 How Princess Writer 3 Kill parents -Brainstorming Disney|475|852
9:13 AM - 17 Nov 2015|Russian Caucasian Mountain Dog pic twitter com 79NWWjfyyu|114|321
6:09 AM - 15 Nov 2015|Wife We can't sex six weeks birth Me That's Internet watches six weeks funny cat videos|280|939
1:33 PM - 14 Nov 2015|Wife You can't wear Star Wars costumes outside 5-year-old Why Wife Everyone look 5 Yeah To see cool|401|1.2K
