3:34 AM - 11 Dec 2015|He crying like victim multiple rapes https twitter com CNN status 675274938417328128|773|483
5:40 PM - 10 Dec 2015|I love Christmas time|1.1K|2K
7:00 PM - 10 Dec 2015|This 1st time Sagittarius shared new moon Saturn 28 years|5|8
11:03 AM - 10 Dec 2015|I'm baddest bitch don't call nothing 7 years game still VVS stuntin pic twitter com VZIeomUlFE|2|1
6:35 PM - 6 Dec 2015|RT @DragonflyJonez RT @KidFury THIS VINE IS ONE OF THE BEST THINGS THAT HAS EVER HAPPENED TO ME https vine co v bYpFu0m5FMx|245|298
3:45 PM - 8 Dec 2015|america really exhausts fuck outta daily basis|309|247
10:12 AM - 8 Dec 2015|Just copped bad boys it's lit #shoegame #teacher1's #realexclusive pic twitter com LLQjrZ2t4d|1.2K|4.4K
8:16 AM - 3 Dec 2015|I know sleigh bells ring pic twitter com o7cjji9rmv|4.8K|5.4K
10:46 AM - 30 Nov 2015|Don't come unless I send u guys|2.4K|1.6K
10:00 PM - 27 Nov 2015|If u beefin high school u shoulda beefin high school U dont bring somebody else's college pic twitter com ewB7W0tKzj|487|398
9:38 PM - 29 Nov 2015|Hmm Gifts debts inheritances Why Millennials color can't get ahead http www theatlantic com business archive 2015 11 gifts-debts-inheritances 417423 utm_source SFFB|111|214
7:48 PM - 27 Nov 2015|A white terrorist killed officer #PlannedParenthood attack He officially killed cops #BlackLivesMatter protesters|847|850
3:21 PM - 24 Nov 2015|Downtown ATL beautiful night|117|101
8:00 PM - 19 Nov 2015|I can't I don't even|418|170
