12:41 PM - 10 Dec 2015|My friend Makonnen|137|214
4:21 PM - 7 Dec 2015|Everyone's trying famous days|115|136
4:21 PM - 7 Dec 2015|new song @Nyesuadah I'm singing playing guitar futuristic https soundcloud com grace-cloud-music keep-me-waiting|1|1
5:42 AM - 7 Dec 2015|You know good The fact one knows I m|50|42
3:31 AM - 7 Dec 2015|Loyalty get far|41|34
10:17 AM - 3 Dec 2015|New phone dis|1|0
9:35 AM - 3 Dec 2015|The 5 best quotes Kanye Shoe Of The Year awards speech http www thefader com 2015 12 03 kanye-shoe-of-the-year-awards-speech pic twitter com P3hhgd5kgL|29|54
6:42 AM - 2 Dec 2015|Check sick six solid tracks Louisville's finest http www leoweekly com 2015 11 the-six-best-local-songs-of-the-month-4 @TwelveHunna @JalinRoze @leoweekly @ttaurisb|4|7
1:05 PM - 28 Nov 2015|600 million Africans electricity Akon This remarkable pic twitter com zxTuLaDRw6|36K|33K
5:46 PM - 29 Nov 2015|Lmao RT @LivSexyNJ I'm RT @TKingg_88 Y tho I hate black social media pic twitter com hBWxV60naJ|17|4
7:10 AM - 27 Nov 2015|Hey #Louisville tons #RecordStoreDay goodies still shelf|2|1
2:23 PM - 22 Nov 2015|HERA music vid http youtu n7vDOjqKaBA Stream ACE OF HEARTS ep https soundcloud com novisl sets ace-of-hearts pic twitter com nyHpvBTpeh|1|1
3:00 AM - 25 Nov 2015|@KillerMike introduced @BernieSanders Atlanta Rally http www thefader com 2015 11 24 killer-mike-endorses-bernie-sanders pic twitter com HmaBwpC4Ro|33|66
8:00 PM - 24 Nov 2015|King Krule made Instagram account announced new project called ANP2D http bit ly 1Siqwya pic twitter com b5E3srJxkn|71|145
5:34 AM - 17 Nov 2015|Random Sorry For Being So Strange I Know It's Held Me Back Pushed A lot Of You Away From Me|1.2K|1.3K
