7:30 PM - 29 Nov 2015|Last Boeing C-17 leaves Southern California assembly plant flyover 1 000 looking http apne ws 1MOA02L|100|92
12:56 PM - 28 Nov 2015|@OUbrett @OGandE r going 18 hrs Good luck|1|0
10:12 AM - 28 Nov 2015|I watch day https vine co v iaHjtEW1Ii5|2.1K|2.1K
6:06 PM - 27 Nov 2015|My mom Debbie Reynolds seriously wrote book itS OUT NOW -She'sNOT well enuf TALK SHOW wise etc SOpleaseBUY IT pic twitter com 2iZd7bC9Rl|206|778
1:39 PM - 22 Nov 2015|No filter These colors backyard pic twitter com ftsYHeiaJh|49|250
8:10 PM - 18 Nov 2015|Ahhhh Just made huge jug full haters go suck camel balls Who wants|1.2K|5.3K
7:18 PM - 18 Nov 2015|If you're struggling remember Lifeline Call anytime 1-800-273-TALK 8255 @afspnational http ow ly 4zJK6|6|8
1:51 PM - 18 Nov 2015|So gun violence reason regulate firearms terrorist act confirmed refugee participation enough ban refugees|637|601
2:47 PM - 18 Nov 2015|The President hates America dumb matter Pres It's honest grown-up opinion #benstein pic twitter com I2n4FVFvVQ|5|4
3:26 PM - 16 Nov 2015|I could proud friend kinda li'l brother @jonahray live amazing dream hosting MST3K SO GOOD|92|886
