8:34 AM - 9 Dec 2015|When ask philosophy teacher wants take squad pic|2|3
7:30 PM - 30 Nov 2015|finished making 100th page sz today Never thought i'd make past ten thank u guys reading Heres 100|3|19
6:15 PM - 30 Nov 2015|hate straight girls wcw choose friend like isnt GAL PAL WEDNESDAY post someone u would GAY DATE|22|62
4:31 PM - 29 Nov 2015|hey baby whats fill empty void|24|22
8:14 PM - 28 Nov 2015|boy talking girl looks good without makeup she's definitely still got makeup|1|12
5:12 PM - 27 Nov 2015|pg kitties pic twitter com rRCm5fuXkP|23|56
4:30 PM - 26 Nov 2015|trying relax thanksgiving break knowing I 3 papers 5 finals cure cancer due I get back pic twitter com CzE6wIDUqv|5.1K|7.3K
4:43 AM - 27 Nov 2015|What kind Black Friday deals y'all got @FAFSA|271|221
5:43 PM - 26 Nov 2015|Worst idea ever pic twitter com gtSKseKFja|230|306
10:42 AM - 26 Nov 2015|This factual though #ThanksgivingWithBlackFamilies pic twitter com SVOjzXM7Ct|1.3K|1.6K
10:52 AM - 26 Nov 2015|Why accurate #ThanksgivingWithBlackFamilies pic twitter com LsAijto86V|1.2K|2K
10:53 AM - 26 Nov 2015|When cousins playing family prayer mama look y'all like #ThanksgivingWithBlackFamilies pic twitter com b9SOBkOQzX|652|872
3:07 PM - 26 Nov 2015|When think it's pie left yo granny pulls next one fridge #ThanksgivingWithBlackFamilies pic twitter com 8QXTTb7mJz|124|158
7:08 AM - 26 Nov 2015|Happy Birthday fellow senior Gabby Collier|2|2
6:20 AM - 25 Nov 2015|Happy Birthday fellow senior Chelsea Lee|6|2
6:42 PM - 24 Nov 2015|Aunt y'all still got furniture Me still got roaches #ThanksgivingClapBack pic twitter com vpw5hczJzX|5K|4.5K
8:57 PM - 24 Nov 2015|#ThanksgivingClapBack Cousins Why always yo phone Me Cuz bill stay paid unlike pic twitter com xXV2j9nmEu|4.6K|4.7K
9:41 PM - 24 Nov 2015|Aunt That's 3rd Plate Me That's 3rd Husband #ThanksgivingClapBack pic twitter com LNSqzeOdEC|7.2K|7.5K
10:01 PM - 24 Nov 2015|auntie come can't raise grades come can't raise kids #ThanksgivingClapBack pic twitter com kaqnyHTCvk|9.7K|9.8K
11:01 PM - 24 Nov 2015|#ThanksgivingClapBack nahhhh I'm Yall dont play fair lmfaoooooooo pic twitter com dpgIw1OU5n|1.9K|1.7K
11:46 PM - 24 Nov 2015|Mama You better take plate cause I'm cooking tomorrow Me Do ever #ThanksgivingClapBack pic twitter com 09KK3Kiogc|1.4K|1.3K
4:48 AM - 25 Nov 2015|Bruh hashtag deadly #ThanksgivingClapBack pic twitter com h6EVzuRCt4|5.3K|4.9K
6:41 AM - 25 Nov 2015|Aunt I wondering u gone grow Me funny cuz I wonder thing hair #ThanksgivingClapBack pic twitter com P1DSB9yxLl|2.1K|2K
6:48 AM - 25 Nov 2015|Aunt You know tattoos piercings lifetime commitment Me marriage wasn't #ThanksgivingClapBack pic twitter com fiuVRm3l52|7.1K|7.4K
7:14 PM - 24 Nov 2015|Going To Your Mom Side Vs Going To Your Dad's Side family #ThanksgivingWithBlackFamilies pic twitter com cUBrR5dudU|213|201
7:17 PM - 24 Nov 2015|#ThanksgivingWithBlackFamilies everybody rolls house pic twitter com VjocsPX30T|41|35
7:49 PM - 24 Nov 2015|When ain't running granny house trying first kitchen #ThanksgivingWithBlackFamilies https vine co v eerXWLwJWpJ|406|294
7:51 PM - 24 Nov 2015|You need something I'm I sit that's #ThanksgivingWithBlackFamilies pic twitter com yoSAfOQGy9|21|29
8:32 PM - 24 Nov 2015|These accurate #ThanksgivingWithBlackFamilies pic twitter com hRwGX3Vuvm|5.9K|4.9K
8:58 PM - 24 Nov 2015|When aunties get cook better grandma standing like #ThanksgivingWithBlackFamilies pic twitter com Nl4r09JfVl|866|2.2K
9:17 AM - 23 Nov 2015|I KNOW EXACTLY WHAT I WANT AND WHO I WANT TO BE I KNOW EXACTLY WHY I WALK AND TALK LIKE A MACHINE|1|9
10:06 AM - 21 Nov 2015|danny fav also someone asked least fav bw would say danny|1|5
9:33 AM - 17 Nov 2015|Let clear life saving prescription drug anyone good cannot afford fill prescription|2.7K|4.9K
8:32 PM - 19 Nov 2015|I AM THE SAND GAHDIAN GAHDIAN OF THE SAND|2|5
7:38 PM - 18 Nov 2015|every time older cartoon gets reboot designs r kinda different old everyone throws fucking fit like chill|2|10
12:51 PM - 16 Nov 2015|What song Obama listening dropped If yall wanna pop speech|155|251
8:44 AM - 16 Nov 2015|If folks wanna pop Yooo Obama really real pic twitter com 7gra5xxQ0Q|2.1K|1.9K
9:21 PM - 15 Nov 2015|don't mind need somewhere compile 'greyhounds wearing snoods' jpegs thank pic twitter com e9C7UUrnRv|1.8K|2.4K
1:24 PM - 15 Nov 2015|SENIORS ATTENDING SENIOR RALLY MUST TURN IN SIGNED PERMISSION SLIP TO MS SHERMAN BY 2 40 TOMORROW You go submit|4|0
3:04 PM - 15 Nov 2015|Best Vine Ever https vine co v iBIAIh2VZI5|707|806
2:23 PM - 14 Nov 2015|2015 whole L|131|26
