8:19 PM - 6 Dec 2015|We could use pic twitter com XdezdrhOLY|6.3K|1.3K
7:44 PM - 7 Dec 2015|please round grade A teacher 55 class pic twitter com 3IxUSApwPy|18K|29K
12:44 PM - 7 Dec 2015|thought sunset pretty thought prettier pic twitter com zrxFT7RmIs|3.1K|6.5K
10:39 AM - 5 Dec 2015|It's game time #StingersUp #LevelUp #BeTheStandard pic twitter com 5U34uEjAR3|4|11
6:34 AM - 5 Dec 2015|Lets get Maryville Rockin https twitter com esuathleticband status 673141787117166592|10|29
3:07 PM - 2 Dec 2015|When someone asks I've started studying finals https vine co v eDe3Lg5LhlF|4.1K|3.3K
2:19 PM - 28 Nov 2015|Let's organize Hornet Nation Convoy Everyone going game meet campus we'll arrive game together Hornet Nation|2|11
11:22 AM - 23 Nov 2015|jeb bush muslim refugees can't trusted donald trump saw muslims cheering 9 11 ben carson ate bug powers|3.3K|5.7K
8:28 AM - 23 Nov 2015|Don't forget rehearsal today 4pm Beach 134 Spread word|2|1
7:36 AM - 22 Nov 2015|TODAY day Doors open 3 30 Can't wait see everyone pic twitter com sEHtJBVQ8s|6|5
2:44 AM - 21 Nov 2015|Got 4 30 doughnuts I sleep|3|15
12:49 AM - 21 Nov 2015|Initiation complete Here shot newly initiated brothers entire chapter #RhoClass pic twitter com DjgLmC0kqH|7|28
4:17 AM - 19 Nov 2015|If you're married someone doesn't like Star Wars may divorce|2|5
9:00 AM - 19 Nov 2015|People chew food obnoxiously make want scream|7|9
4:28 PM - 16 Nov 2015|We turn backs refugees fleeing Syria Afghanistan|5K|10K
10:03 AM - 16 Nov 2015|39 DAYS UNTIL CHRISTMAS|4.8K|3.3K
8:50 AM - 15 Nov 2015|If you're going potato least sweet potato FSU|877|1.6K
