9:50 AM - 10 Dec 2015|Voting isn't hard @SpeakerRyan Extend Zadroga Act #WorstResponders pic twitter com 1Wwm99IRWM|1.1K|948
10:43 AM - 6 Dec 2015|No one addressed issue @Browns pic twitter com 5dt6aUud5k|6.1K|9.2K
9:07 PM - 5 Dec 2015|Connor needs Trophy Accepting lessons #DontDissArchie https vine co v i7qztQMvB09|806|602
8:57 PM - 5 Dec 2015|OFFSIDES NORTH CAROLINA pic twitter com QpoTwG7CRa|47|28
3:21 PM - 3 Dec 2015|Nice shirt https twitter com JaredPurcellDET status 672502611807965184|20|54
11:25 AM - 3 Dec 2015|#ThrowbackOSU @collegegameday Oval Thanks Riley Jantz photo pic twitter com CA1QDEza0K|22|105
7:20 AM - 25 Nov 2015|Why Rapper Killer Mike's Endorsement @BernieSanders Spells Trouble Hillary Clinton http www huffingtonpost com h-a-goodman why-rapper-killer-mikes-endorsement-of-bernie-sanders-spells-trouble-for-hillary-clinton_b_7816280 html ncid fcbklnkushpmg00000013 section politics #FeelTheBern #Bernie2016|55|65
10:33 AM - 20 Nov 2015|We Challenged This Man To Survive On Minimum Wage And He Immediately Got Hit By A Car http www clickhole com article we-challenged-man-survive-minimum-wage-and-he-imme-2028 via @clickhole|82|138
4:25 PM - 23 Nov 2015|NCAA says players can't play daily fantasy suspended year But play ball giant FanDuel logo TV Cha-Ching baby|6.2K|5.3K
8:40 AM - 16 Nov 2015|My Infant Son Has A 43 On Rotten Tomatoes Does Anyone Know How This Happened http www clickhole com r 3497tsd pic twitter com rIeSoKYExh|1.3K|2K
4:45 PM - 17 Nov 2015|Realtor Was Not Expecting Such Hard-Hitting Questions About Water Pressure http onion com 1O0qeN2 pic twitter com OCFW3uJxDT|184|485
7:00 AM - 18 Nov 2015|Trying avoid repeating bad things past good idea historians say http onion com 1MSwNQZ pic twitter com 2Xavf4hoLZ|1.9K|1.6K
1:19 PM - 17 Nov 2015|You one job pic twitter com jtdMW2Fjzc|47|97
