8:26 AM - 9 Dec 2015|Well I look like human bird come watch bird stand Florida Woooo Me Speedo https www instagram com p _E-RvahPV8|5|27
12:21 AM - 7 Dec 2015|Trying make go bed I much #BusyBee #music #hardworkpaysoff|57|111
11:51 AM - 4 Dec 2015|I really wanted Oreo emoji I'll take I get lol @forevermalika @foreverkhadijah pic twitter com 3gwtLsR2qF|696|5.2K
3:57 PM - 2 Dec 2015|obvious point like damn politically stable first world country unstable fuck|146|396
11:56 AM - 4 Dec 2015|This totally true That's takes 60 percent earnings https twitter com aolbuild status 672847592779177984|36|530
11:58 AM - 4 Dec 2015|Hair done makeup done Photoshoot time With @ChrisHughespics|40|79
12:02 PM - 4 Dec 2015|Hi oh look shows end #clownlover http aol com video amy-schumer-handles-enamored-paparazzi-like-a-class-act-519303855 thanks nice paparazzi|40|393
12:10 PM - 4 Dec 2015|Caitlyn Jenner Her Most Amazing Looks http motlvate com 4891981-11885278 HQo4|1|0
12:11 PM - 4 Dec 2015|Can everyone favor follow friend @Team_Taylor4Evr I trying help get followers #Swifties|2|1
12:15 PM - 4 Dec 2015|The new messaging thing tumblr cool If @taylorswift13 would read message respond Doubt|2|5
12:18 PM - 4 Dec 2015|Wish I could meet @taylorswift13 would make bday pic twitter com VF7n1CeC7Y|3|7
12:21 PM - 4 Dec 2015|Fred Schneider What political party president William Henry Harrison affiliated Kate Pierson Cindy Wilson A Whig|35|199
12:28 PM - 4 Dec 2015|Hey #Miami See Tonight #ArtBasel Party @WallMiami @wsobe It's going much https www instagram com p -4iBgCKgLr|51|165
12:33 PM - 4 Dec 2015|@taylorswift13 hi Taylor I'm ur biggest fan And yesterday bday I hoping get follow tweet Plzs|1|2
12:38 PM - 4 Dec 2015|Rain coming pic twitter com TJidnJZT8e|14|73
11:10 AM - 3 Dec 2015|So @ParisHilton invented ultimate selfie tool showed Art Basel @YahooStyle https www yahoo com style paris-hilton-is-a-major-art-collector-who-is-142240881 html|38|84
12:44 PM - 4 Dec 2015|Thank @FaranKrentcil fun interview @YahooStyle #ArtBasel You lovely sweet talk|44|136
1:16 PM - 4 Dec 2015|Help us spread love kids @childrensla Visit http CHLA org GiveLA #LiveLAGiveLA|413|1.9K
1:21 PM - 4 Dec 2015|LIMITED-EDITION SELFISH ON SALE NOW http bit ly 1lCcqwR pic twitter com 2BfBc45WuU|937|6K
1:26 PM - 4 Dec 2015|That guy anything Catch Ken tonight @TheSoup RT @WheelofFortune Look stopped @KenJeong pic twitter com NOzyieEvH0|23|121
1:02 PM - 4 Dec 2015|Jan 31 DTLA @pattonoswalt headlines @RegentTheaterLA Tickets http riotla com Design @NanLawson pic twitter com M5yOZEy6Hy|10|41
1:02 PM - 4 Dec 2015|@PattonOswalt PC Police Why Comedy Is 'Pretty Fucking Essential' http bit ly 1lCCkAv pic twitter com sKIsu84Lj6|149|391
1:33 PM - 4 Dec 2015|I knew https twitter com burgerking status 672865023388160000|159|398
1:37 PM - 4 Dec 2015|I m back My @soulcycle giveaway NYC next SATURDAY Head app sign http bit ly 1XGnZ7y pic twitter com 1TyyF7r0CF|198|1.1K
1:38 PM - 4 Dec 2015|C25K week 5 workout 3 4 3 ten minute miles My legs dead I feel like freaking superhero|8|508
10:15 AM - 4 Dec 2015|@CarrieUnderwood #Storyteller vinyl on-sale Grab copy http smarturl StorytellerVinyl pic twitter com eaRNEuoo90|146|481
9:07 PM - 3 Dec 2015|Taylor holding Koala Bear She cute pic twitter com htZGnBGHeo|16|20
1:59 PM - 4 Dec 2015|Like you've never worn sunglasses indoors @kourtneykardash Lol New episode @KUWTK Sunday 9 8c pic twitter com FzKnKn3cGa|992|3.8K
2:10 PM - 4 Dec 2015|WOW This Is How You ll Know If You Are Gluten Intolerant Or Not http motlvate com 4891981-12904825 PfbM|1|1
2:36 AM - 4 Dec 2015|AN OBSTACLE ON THE ROAD PRANK https youtu rglS8yeWLek|1|1
7:04 PM - 3 Dec 2015|neil patrick harris cutest man ever|10|14
