6:58 PM - 11 Dec 2015|Teuvo's pass Kaner's finish We're worthy pic twitter com dt5Ha5Mxs9|886|1.4K
6:50 PM - 11 Dec 2015|SHOWTIME 25 THE STREAK CONTINUES|2.2K|2.2K
5:03 AM - 11 Dec 2015|Happy 199th birthday Indiana Our first birthday seems like yesterday pic twitter com faSUbjuaCE|9|25
12:19 PM - 11 Dec 2015|Five white golden rings Up grabs later tonight Twitter https vine co v iZr6d6VTbBt|288|928
4:34 PM - 11 Dec 2015|Retweet think Patrick Kane continue streak tonight 2 lucky retweeters win pic twitter com ZxIVusQEhc|1.1K|254
10:10 AM - 9 Dec 2015|We often think work harder work personal finances get better it's actually opposite http ow ly VF0xC|2|1
4:13 PM - 4 Dec 2015|For every retweet I donate 50 cents humane society save cute kittens like one #SaveTheFluff pic twitter com z9ZDwPNq9E|108|10
5:38 PM - 4 Dec 2015|I've watched 30 times I yet find tf happen https vine co v ia9BwWMiVxU|2.5K|3.3K
1:20 PM - 1 Dec 2015|There half million active Meraki networks around world Retweet one - #milestone|94|22
11:33 AM - 2 Dec 2015|Were giving away last minute GLASS SEATS Sunday's #Blackhawks game RT tag friend win http thesixthirty com sports blackhawks-tickets-jets|543|146
4:59 PM - 2 Dec 2015|Samurai Jack coming back|186|731
2:15 AM - 27 Nov 2015|WIN We 40 @007 badges give away RT follow 5pm GMT enter ll pick 40 winners random pic twitter com r5nffo0rii|2.5K|794
6:57 AM - 17 Nov 2015|I'm 23 it's absurd I'm married kids Please stop acting like life miserable I'm fine|1|4
