4:29 AM - 10 Dec 2015|They dropped first episode @Serial Season 2 morning like new Beyonce album|117|110
11:54 AM - 25 Nov 2015|The holidays got smokin joints watching documentaries|4.8K|10K
7:46 AM - 6 Dec 2015|Knowledge new black|1.2K|1K
8:28 AM - 7 Dec 2015|Woke Grammy noms I'll smoke|6.3K|16K
8:17 AM - 7 Dec 2015|Drake's Back To Back first ever Grammy-nominated diss song pic twitter com inKZskDtxC|489|452
1:05 PM - 30 Nov 2015|Bill Gates And Other Billionaires Pledge To Take On Climate Change http n pr 21purzm|12|18
1:36 PM - 30 Nov 2015|Big Data Predicts Centuries Of Harm If Climate Warming Goes Unchecked http n pr 21pz0K4|23|13
4:10 AM - 6 Dec 2015|A man's maturity rediscovered seriousness possessed child play #Nietzsche|52|60
2:12 PM - 2 Dec 2015|2 #screenwriting paths studio system vs independent #screenwriter lead different worlds http bit ly 1IpHmLm #filmmaking|3|3
11:51 AM - 2 Dec 2015|The unfinished story 'Samurai Jack' continued Adult Swim next year http mash 1Qf6HJ0 pic twitter com axXBIXldtX|1.1K|917
6:36 PM - 30 Nov 2015|Animation showing size black hole massive 20 billion suns discovered February pic twitter com X4OoW3WbzL|325|385
8:58 PM - 28 Nov 2015|Faded af spelled backwards faded af|2.6K|2.5K
2:01 PM - 27 Nov 2015|like disney kids need bibbity bobbity back fuck life|1.3K|2.1K
5:11 PM - 27 Nov 2015|treat yo self bank account DO NOT TREAT YO SELF|2K|2.8K
2:01 PM - 28 Nov 2015|don't let anyone treat u like pond water fiji water okay|1.4K|2.4K
3:35 PM - 28 Nov 2015|I text back embarrassingly fast three days later|1.7K|2.9K
12:22 PM - 21 Nov 2015|Whether it's leap forward simply learning lesson always progress|213|192
