6:55 AM - 11 Dec 2015|If think nobody cares re alive try missing couple payments|255|373
7:12 PM - 9 Dec 2015|The wait Just dropped first track Hold Up https soundcloud com 2day-289901558 2day-hold-up-official utm_source soundcloud utm_campaign share utm_medium twitter|13|14
3:51 PM - 9 Dec 2015|Justin Tinderlake|452|1.1K
7:23 AM - 9 Dec 2015|@Sancheesyy Eddie things|1|1
2:26 PM - 7 Dec 2015|I want congratulate Kris Jenner birth new client|2.9K|6.3K
12:04 PM - 8 Dec 2015|Yo How cool First people create music computer We've come far pic twitter com aS01YktpS4|21|63
5:45 PM - 6 Dec 2015|replaced babies pictures hotdogs went way pic twitter com P9nXHjevK7|341|680
9:04 AM - 7 Dec 2015|Large Broken Headphones Earmuffs|173|484
1:20 PM - 6 Dec 2015|#HappyHanukkah thick ass Jewish girls I love|98|310
8:18 PM - 6 Dec 2015|back action pic twitter com z4V9FrEA5B|2|13
6:00 PM - 5 Dec 2015|Check best friend cover voyeur magazine pic twitter com r4C0sPnLIi|1|2
6:05 PM - 3 Dec 2015|Police respond altercation Darien strip mall http www chicagotribune com news local breaking ct-darien-police-met-20151203-story html|2|0
12:06 PM - 2 Dec 2015|Breaking updates @vicenews San Bernardino mass shooting https news vice com article breaking-san-bernardino-authorities-responding-to-20-person-shooting|48|19
9:03 PM - 29 Nov 2015|Ugh bugs I plan conversation head person doesn follow script|296|823
4:14 PM - 27 Nov 2015|Day 245 Night pulls veil Earth shines like stars #GoodNight @space_station #YearInSpace pic twitter com TltTPLCeBq|7K|13K
7:59 PM - 20 Nov 2015|Nah Michelle don't talk pic twitter com 52kvb3qOHd|3.3K|4.8K
4:21 PM - 20 Nov 2015|Premiere @Sancheesyy|1|2
8:54 AM - 20 Nov 2015|If taking care Syrian refugees pro-ISIS|768|1.9K
