10:30 AM - 11 Dec 2015|easily favourite piece movie trivia pic twitter com yEejK04dCq|787|873
10:42 AM - 11 Dec 2015|HarrisonFordPraysFortheSweetReleaseofDeathattheSTARWARSjunket GIF pic twitter com 8spuV7TW3u|38|48
9:39 AM - 9 Dec 2015|The Age Of Adaline Might Be The Best Movie I've Ever Seen Excluding Twilight|1.8K|3.7K
1:47 PM - 7 Dec 2015|CMON @kanyewest @KimKardashian|24K|28K
9:36 AM - 7 Dec 2015|The Guilty Remnant came NYC renew @TheLeftoversHBO lol amazing #TheLeftovers pic twitter com HTgNj9haVK|242|225
7:00 AM - 7 Dec 2015|THE 25 BEST FILMS OF 2015 A video countdown https vimeo com 148026900 pic twitter com KDZUGBsaVc|1.1K|1.8K
6:04 PM - 4 Dec 2015|@sherrilynling asks Oscar Daisy two duet sometime #TwitterAwakens pic twitter com z6WkI3dXIa|3.4K|6.1K
2:53 PM - 6 Dec 2015|#TheForceAwakens pic twitter com 65dyu15k2j|130|183
1:15 PM - 5 Dec 2015|Hanging Tina Fey Amy Poehler delightful you'd imagine http nyti ms 1QZxWsw pic twitter com GxKdpmeE7f|283|986
6:32 PM - 1 Dec 2015|I'd like thank whomever told mom WTF means wow that's fantastic Her texts much fun|743|1.4K
10:05 PM - 4 Dec 2015|You gotta hand STAR WARS people secrecy-wise they're locked much tighter government agencies|20|67
8:14 PM - 4 Dec 2015|When I read Harrison Ford dropped huge spoiler I assumed lunch @Arbys HILARIOUS TWEETS LIKE THIS 24 7 FOLLOW ME|468|2K
10:14 AM - 4 Dec 2015|Dear Twitter Friends @RingoStarrMusic I talk Peace Love album See full vid http rol st 1jDDASG pic twitter com mzg9uV1AHX|148|289
10:00 AM - 3 Dec 2015|Freaks Geeks Exclusive info box art reveal classic show's Blu-ray release http go ign com Lyb5h4O pic twitter com o0c9pfu5N8|84|198
7:59 AM - 3 Dec 2015|On December 18 #YouCanSeeThemBoth https amp twimg com v 61b95032-6377-4a4f-8812-150e2c629e8e|2.8K|8.2K
11:53 AM - 2 Dec 2015|I leave meeting mass shootings I needed cover mass shooting #America|3.8K|2.3K
7:02 PM - 1 Dec 2015|THE HATEFUL EIGHT like The Thing took form early John Ford movie holy hell great Sam L Jackson national treasure|222|321
7:21 AM - 2 Dec 2015|@NYFCC Best Supporting Actress Kristen Stewart Clouds Sils Maria http blogs indiewire com criticwire new-york-film-critics-circle-2015-awards-20151202 pic twitter com EP6bN4Zulm|266|163
2:34 PM - 1 Dec 2015|Oops This script leaked pic twitter com k4Vn9r7WxV|3.2K|4.4K
9:27 AM - 1 Dec 2015|The current episode FARGO may best thing TV last three years Terrifying hilarious|2K|3.1K
11:53 AM - 1 Dec 2015|holy shit awesome pic twitter com 6o4PonO547|150|222
11:15 AM - 1 Dec 2015|I still thought kind weird pic twitter com jwNrYGeesI|113|100
9:57 AM - 1 Dec 2015|One Ireland mystical places likely seen new Star Wars movie http nyti ms 1QbOxb7 corrects URL|131|176
8:12 AM - 1 Dec 2015|Oh wow windows I don't think I afford place pic twitter com GAArW12VF7|886|1.6K
5:51 AM - 29 Nov 2015|fucked like 1000 christmas songs 1 song aboutr boys back town|27K|42K
9:16 AM - 29 Nov 2015|Fantastic Four 2015 pic twitter com lViB3lIu0B|689|993
11:03 AM - 29 Nov 2015|Nov 29th 1983 - H I fell Ed took mugshot Still better love story Twilight #RaisingArizona pic twitter com 3V4IVm5Tgn|19|27
2:56 PM - 27 Nov 2015|Yahoo's prematurely published Rihanna record review masterpiece post-modern non-journalism pic twitter com eZl6TACjyi|9.1K|8.4K
6:56 AM - 21 Nov 2015|CARL WEATHERS The GREAT APOLLO CREED ready Rumble pic twitter com W0i0mRclzV|2K|4.2K
11:44 AM - 26 Nov 2015|This year's parade really outdid pic twitter com 88fSsP1g6y|1.6K|1.7K
7:32 AM - 26 Nov 2015|This Thanksgiving let's remember what's really important hot fruit disgusting eating hot fruit moral failing|175|358
