9:02 PM - 11 Dec 2015|Durant doesn't get nearly enough attention defense https twitter com anthonyVslater status 675535477798137856|39|69
9:13 PM - 11 Dec 2015|Tayshaun Prince 34 minutes 0-5 FG Shabazz Muhammad 16 minutes 3-6 FG Yeesh|2|2
5:00 PM - 11 Dec 2015|A Stormtrooper walked past Zach LaVine Star Wars Night Denver He double take asked What|11|16
4:15 PM - 11 Dec 2015|Look dab @CameronNewton @OBJ_3 dabs In Ninja Turtles mask Because awesome http snpy tv 1IKne6E|781|1.2K
8:34 AM - 11 Dec 2015|We knew already @SheaSerrano god|8|34
6:57 AM - 11 Dec 2015|baby wouldnt let put shoes wanted put 'em wrong feet i'm like haha karma's bitch huh hoe|77|356
5:49 AM - 11 Dec 2015|My still popping seeing @NBAonTNT game last night sure what's better - dunk bench pic twitter com cbfC6D4HKT|141|231
9:55 PM - 10 Dec 2015|Rajon Rondo goes baseline slams https vine co v iZe3uPvmOJ9|121|138
8:25 PM - 10 Dec 2015|Let's take 5 step drop 3 pump fakes situation|3|6
7:56 PM - 10 Dec 2015|If Aaron Rodgers facemask grabbed Bridgewater would put 10 Green Bay points board|119|214
5:50 PM - 10 Dec 2015|Adrian wrecked entire defense|1|2
9:29 AM - 10 Dec 2015|@Bomani_Jones smartest guy sports He's also ESPN's interesting personality http trib al C30Gwlw pic twitter com K7ry4dTXoZ|397|671
9:13 AM - 10 Dec 2015|Still can't get KAT's shot chart Ridiculous pic twitter com tpdA6PJywl|35|30
8:24 PM - 9 Dec 2015|That's bad RT @TheCauldron Karl-Anthony Towns imitates Shaq #BBQChicken Shaq calls 7 foot Drake pic twitter com 2HZCejsHmD|16|35
7:52 PM - 9 Dec 2015|High-5s around Karl-Anthony Towns tallies 26 Pts 14 Reb Wolves beat Lakers OT 123-122 pic twitter com w1p47eTVyP|626|1.9K
8:08 PM - 9 Dec 2015|Tyus scores 27 pts 11-22 shooting 3-9 3s w 8a 6r 1 steal block 2 TOs 36 mins D-League debut Was 5 6-pt loss|36|76
7:52 PM - 9 Dec 2015|26 points 14 boards 3 blocks Towns His 18 second Ricky 22 best game|9|6
7:51 PM - 9 Dec 2015|Hey @KarlTowns take bow pic twitter com UlEvdbbJzr|71|187
7:35 PM - 9 Dec 2015|CP3 6th game 10 Ast season pic twitter com h42c6UxMNd|200|327
7:22 PM - 9 Dec 2015|KG turned crowd yells everyone stand Love intensity|8|9
8:54 AM - 9 Dec 2015|Stephen Curry pace 426 3s season breaking record last season 286 It's Babe Ruth hit 90 HR 60|434|317
8:49 PM - 8 Dec 2015|RONDOOOOO @realchriswebber voice @SacramentoKings @NBATV #NBAvine https vine co v i7EDZMz29he|3.3K|3.6K
9:08 PM - 8 Dec 2015|KG much offensively defensively every possession staggering Look Wolves 2000-01 2001-02 2002-03 2003-04 teams|11|2
2:36 PM - 8 Dec 2015|Several teams intrigued Shabazz Muhammad rival executives say Minnesota -- deep wings -- unwilling move deal|227|260
9:42 AM - 8 Dec 2015|Spurs childish https vine co v MIga19hWhab|2.8K|3.8K
3:59 AM - 8 Dec 2015|How horrible Voldemort nowhere near bad https twitter com BBCNewsbeat status 674170911344455680|220K|200K
5:26 AM - 8 Dec 2015|From dept crazy Steph Curry stats He's 9-of-13 beyond 29 feet season|77|122
9:04 PM - 7 Dec 2015|KG put Blake poster kind dunk used back posters cool LaVine That wasn't baby jam|9|33
8:35 PM - 7 Dec 2015|DeSean Jackson's entire career 10 minutes|202|262
