3:00 PM - 8 Dec 2015|Santa tried bunch jobs bad got fired So elves dinner that's became Santa|1|1
7:57 AM - 7 Dec 2015|Terrifying comment GOP congressman @ryanlizza http www newyorker com magazine 2015 12 14 a-house-divided intcid mod-most-popular pic twitter com x3iAkP7FAi|1.4K|875
12:14 PM - 3 Dec 2015|Me Bob it's pronounced CHANGING a-changin' Bob Dylan Me Can someone teach Bob say CHANGE David Bowie stands Me Not|3.1K|3.6K
11:00 AM - 3 Dec 2015|We suspicious person buys thousands anything- Bullets Barbie dolls|14|52
1:50 PM - 29 Nov 2015|A fleeting winter sun Mount Rainer National Park #Washington #FindYourPark http etsy 1Xq4ZKo pic twitter com mBVvlssDsi|12|32
1:29 PM - 29 Nov 2015|It's official Multiple teams losing records heading bowl games year http es pn 1HyjYv1 pic twitter com bMid2r2vZy|373|604
1:30 PM - 29 Nov 2015|12 cabin porn shots capture beauty solitude http ow ly Vekm5 pic twitter com LpqY1hMncM|21|47
9:19 PM - 27 Nov 2015|It seems thing agree upon country getting TV 80 worth getting ass kicked|8|41
1:46 PM - 20 Nov 2015|Dinosaur 911 what's ur emergency Dinosaur A FIREBALL IN THE SKY IS FLYIN AT US Dinosaur 911 sun Dinosaur haha probably bye|476|786
9:40 AM - 20 Nov 2015|Watch Joseph Gordon-Levitt dance ass Janet Jackson's Rhythm Nation http huff 1Ms38fT pic twitter com 9vG8RJ6Ohc|504|1.1K
4:08 PM - 19 Nov 2015|Ben Carson truther demands see medical school diploma http bit ly 1MXd1DU pic twitter com Qwy45sF1e3|117|217
12:00 PM - 19 Nov 2015|John Coltrane 'A Love Supreme ' 50 Years Later http ow ly UQXHz pic twitter com 72kGkFD3x4|38|46
9:40 AM - 17 Nov 2015|The real heroes camera crews Hoarders|12|35
7:32 AM - 15 Nov 2015|It takes less 3 minutes understand The Great Bathroom Panic http www esquire com news-politics videos a39730 snl-transgender-bathroom thanks @petedavidson pic twitter com 4st71W93U2|15|13
