8:26 PM - 10 Dec 2015|hope everyone arizona cardinals gets fast food coupon booklets chrstmas|99|232
3:35 PM - 10 Dec 2015|Just half hour @ThreeGuysTalkin LIVE @4DPodcasts Top 3 musicians share first names #MINvsAZ #NFL #FreeDrink|2|2
10:56 AM - 10 Dec 2015|even trump gone banished meme-land yesteryear people supported still around take mental notes|702|909
1:51 AM - 5 Dec 2015|Come see @HouseOfComedyMN inside Mall Of America Saturday night-2 Shows #LiveComedy #Minneapolis pic twitter com BlDrJQgCjE|8|12
9:37 AM - 4 Dec 2015|Our show available Sticher many outlets Get last night's show however easiest https www facebook com ThreeGuysTalking posts 1082135241831975 0|2|0
2:12 PM - 2 Dec 2015|Your thoughts steps take stop carnage Your prayers forgiveness nothing -|23K|22K
10:58 AM - 3 Dec 2015|Why 2016 election one pivotal moments time http rol st 1NshJFF pic twitter com fUe0rTNzXg|87|111
7:00 AM - 3 Dec 2015|No Way To Prevent This Says Only Nation Where This Regularly Happens http onion com 1MYqo5y pic twitter com zN0vDZdFf7|5.2K|4.3K
6:58 AM - 3 Dec 2015|Dec Dates RT friends 12 16 @RCTMN Roch 12 17 @TheCedar MPLS 12 18 @GasLampDSM IA 12 19 @BlueMooseIC IA 12 20 @TheFrequencyWI Mad|3|1
12:05 PM - 2 Dec 2015|Read today's #CalvinAndHobbes comic http www gocomics com calvinandhobbes 2015 12 02 utm_source ch-twitter utm_medium socialmarketing utm_campaign social #comics|14|7
8:49 AM - 2 Dec 2015|You read right @MaloneComedy tonight You'd crazy miss set Get tickets http ow ly UOgHs|3|2
4:19 AM - 2 Dec 2015|Rhymesayers At 20 An Oral History via @forbes http onforb es 1OzDFSz|8|8
3:20 PM - 20 Nov 2015|Also next week @FirstAvenue -- we'll warm @IkeReilly Wednesday night http first-avenue com event 2015 11 ikereillyassassination|2|2
12:02 PM - 22 Nov 2015|Big congrats Wish celebrate https twitter com MaloneComedy status 668491107437776897|2|2
8:36 AM - 19 Nov 2015|How anyone time job they're busy making difference social media|5.1K|7.9K
8:38 AM - 19 Nov 2015|We go live 6pm tonight @4DPodcasts Top 3 Disney Songs Jesse Eisenberg ahole Tune 6 http Spreaker com user the4dpodcastnetwork|2|1
8:52 PM - 16 Nov 2015|My quick transcript Stephen Colbert's opening remarks Paris tonight's Late Show pic twitter com Gwyo2u5Zye|1.2K|1.9K
