1:00 PM - 9 Dec 2015|Yes @realdonaldtrump #WHISIS http cc com 1TB67EY pic twitter com 6X7piynlMw|3K|3.3K
3:46 AM - 8 Dec 2015|Mayor bans Trump fully understand dangerous threat posed Trumps http www msnbc com msnbc rick-kriseman-bans-trump-st-petersburg|207|361
7:23 PM - 7 Dec 2015|Must lot racists bigots Iowa https twitter com realdonaldtrump status 674066482322649089|9|9
3:56 PM - 3 Dec 2015|Right @igorvolsky listing voted background checks identifying sponsored gun lobby|80|78
2:50 PM - 3 Dec 2015|There's evidence linking Sen Cruz Colorado Springs linking Daesh San Bernardino https twitter com tedcruz status 672421690719076352|6|6
5:08 PM - 30 Nov 2015|Tonight's Leafs game called minors Garret Sparks Custom Brians G-Netik 2 Pro @PhilHecken @UniWatch pic twitter com fdm41B1wC2|15|11
6:03 PM - 29 Nov 2015|Wrapping #SpecialReport week @jordanklepper toothless FEC http www cc com video-clips t2knjp the-daily-show-with-trevor-noah-the-federal-election-commission--an-enormously-dysfunctional-agency pic twitter com c8XAiHAP0l|85|248
4:56 PM - 29 Nov 2015|SI roughly 10 000 photos Kobe Bryant action none good shot Kenan Kel pic twitter com rnWAORcjfz|2.6K|2.9K
4:58 PM - 29 Nov 2015|@SenTedCruz Why refuse use term best describes shooters actions Extreme Right-Wing Christian Terrorism|140|180
4:55 PM - 29 Nov 2015|I've said @MikePereira might best hire Fox Sports last 10 years|66|170
4:52 PM - 29 Nov 2015|Phil Simms https twitter com jbaraldi11 status 671129679634542592|18|27
1:58 PM - 29 Nov 2015|Per request 3 4 GTG w 6 mins remaining 3rd period come Luke Glendening's line|32|21
3:45 PM - 28 Nov 2015|The last two @MSU_Football TDs scored players weigh combined 571 pounds Malik McDowell 275 Jack Allen 296|79|72
9:41 AM - 28 Nov 2015|#Abortion providers asking stay silent The brave AF Dr Willie Parker #PPShooting pic twitter com D8Wf2eA5Gf|260|243
3:01 PM - 28 Nov 2015|If moderate Republicans could call kind rhetoric https twitter com JamilSmith status 670738365843685376|143|143
11:45 AM - 28 Nov 2015|stop calling trump douche that's something girls actually allow vagina|339|890
7:35 AM - 28 Nov 2015|It's nice feel like outcome matters Go Blue|15|68
8:36 AM - 19 Nov 2015|How anyone time job they're busy making difference social media|5.1K|7.9K
6:09 PM - 27 Nov 2015|Just want laws make harder disturbed people get guns easier get health care|388|584
5:47 PM - 27 Nov 2015|People shouldn't risk lives offer people basic health care Republican would demand daughter mistresses|428|586
5:29 PM - 27 Nov 2015|South Carolina shooting This attack Christianity Colorado shooting This bank robbery gone bad #narratives|64|83
1:11 PM - 27 Nov 2015|Everyone fucking insane|1.7K|2.6K
12:43 PM - 27 Nov 2015|reiterating point I made last time PP news re given binder deal terrorists work|354|275
11:45 AM - 27 Nov 2015|Remember folks that's Syrian refugee holding Planned Parenthood clinic hostage Let's deal domestic terrorism|35|40
2:34 AM - 27 Nov 2015|It's 530 AM day Thanksgiving I ran toilet paper This bad|10|45
11:12 AM - 26 Nov 2015|Damn Was hoping hear I Don't F With You @BigSean #Lions #halftime|2|3
9:04 PM - 25 Nov 2015|Thanks support last 300 goals Henrik I collectively still less goals old goat Brett pic twitter com 4bVk134hPm|1.3K|2.9K
7:03 PM - 25 Nov 2015|I love Zetterberg can't keep OT's He's step late way often 3-on-3's|3|6
10:00 PM - 23 Nov 2015|White men bulletproof vests shot four civil rights protesters Minneapolis I'm supposed scared Syrian refugee|20K|17K
10:56 AM - 24 Nov 2015|@realDonaldTrump rhetoric dangerous bad America https amp twimg com v f2f2a154-e2c4-49b1-8be8-4b24e3b55e11|462|492
4:02 PM - 24 Nov 2015|Powerful stuff @GovMikeHuckabee pic twitter com z3XHL7YM0O|371|837
1:13 PM - 22 Nov 2015|Watching #Lions win pretty great Until realize could mean Jim Caldwell Sheldon White return 2016|8|8
12:07 PM - 22 Nov 2015|The Lions don't block well enough many delayed handoffs see #OAKvsDET|12|19
7:34 AM - 22 Nov 2015|We shouldn't take refugees help homeless vets Then didn't speak GOP refused increase vet benefits|158|129
7:10 PM - 21 Nov 2015|@BenjaminNorton @Thalwen @JamalDajani Far far frightening Trump many many millions love guy|6|5
3:51 PM - 21 Nov 2015|Amazingly Michigan State led Michigan Ohio State zero seconds clock won games|7.9K|5.4K
3:49 PM - 21 Nov 2015|Michigan State Big Ten team beat Ohio State Urban Meyer And they've done twice|327|335
