6:35 AM - 11 Dec 2015|The NFC East hot garbage http si com 1NKrcwq via @SInow @si_nfl pic twitter com pcxRoyizNs|21|17
7:26 PM - 8 Dec 2015|'I feel like I training #VSFashionShow' -Athlete training Olympics https twitter com chrischavezsi status 674429558049886208|70|231
7:02 PM - 8 Dec 2015|Watching #VSFashionShow For science|13|57
6:25 PM - 7 Dec 2015|penguins chasing butterfly pic twitter com 1vSWH8HFY8|3.4K|5.2K
10:28 AM - 6 Dec 2015|Laugh Laughter immeasurable Be joyful though considered facts|359|600
9:05 AM - 6 Dec 2015|We happy hear cancer-free Mr President pic twitter com lFVOL8Rspm|728|1.8K
3:00 PM - 5 Dec 2015|@TarHeelFootball takes Clemson #ACCFCG 8p http snpy tv 1RvS70G|387|374
9:03 AM - 2 Dec 2015|REWATCH #FloBeerMile HISTORY NEW WORLD RECORD 4 47 @LewisKentMiler -- http bit ly 1NHAtYa pic twitter com aWsVcQVF8K|4|14
1:27 PM - 2 Dec 2015|At point it's probably safe say mass shootings accepted part American culture|1|0
10:43 AM - 2 Dec 2015|We Feel Fight Yeah Sixers probably need take banner pic twitter com itfrMG1ZEK|440|440
8:41 PM - 1 Dec 2015|What u smoke You smoked much https twitter com c_rachioppi status 671900890597613568|3K|6.5K
9:53 AM - 29 Nov 2015|The ho-ho-holidays upon us Stock stocking stuffers today's sale 25 accessories pic twitter com a45c0EVsTK|2|0
12:19 PM - 26 Nov 2015|On behalf owners facing Stafford Calvin today Can go ahead pull|132|456
6:34 PM - 25 Nov 2015|GOAL MALKIN The #Pens win overtime ELVIS HAS JUST LEFT THE BUILDING pic twitter com DZINDjH8rv|711|959
2:32 AM - 25 Nov 2015|When faced problems lose hope Keep self-confidence impatient achieve quick results|9.6K|12K
10:45 AM - 19 Nov 2015|Thompson gets layup seals Mason wins 68-62 upset Ole Miss|13|15
9:32 AM - 18 Nov 2015|I like going gym middle day it's safe The elderly don't try intimidate|11|71
8:30 AM - 18 Nov 2015|Chesterfield supervisors hold hearing bike trail plan today http ow ly UNzkj via @MSchmidtRTD pic twitter com GlsvOOXFoa|1|0
