8:40 PM - 6 Dec 2015|Tis season man I'll tell ya Antonio Brown's tribute The Nutcracker really got Christmas spirit pic twitter com qoeK7VCUsf|2.8K|3.3K
4:22 PM - 6 Dec 2015|Eagles going full Detroit Lions mode|194|288
3:15 PM - 4 Dec 2015|If wondering many QBs completed pass traveled 60 YDs air since '05 pic twitter com 4wMhejZC8v|431|567
8:56 PM - 3 Dec 2015|I lost voice|2.9K|7.8K
8:50 PM - 3 Dec 2015|Packer fans Christmas card photo ready pic twitter com KVveDAP8eP|1.2K|1.4K
9:28 PM - 3 Dec 2015|That face throw pass that'll played career highlights you're inducted HOF pic twitter com nhCCcDtDfQ|125|324
9:01 PM - 3 Dec 2015|This amazing game life - Aaron Rodgers #GBvsDET http snpy tv 1Q4qpsd|3K|5K
7:29 AM - 3 Dec 2015|Tonight turning point season beginning Super Bowl run BELIEVE THAT #gopackgo|50|147
9:02 PM - 3 Dec 2015|From pic twitter com ru8PUHmZ4y|207|304
9:03 PM - 3 Dec 2015|Man I'm sleeping tonight wow I still shaking|96|190
8:47 PM - 3 Dec 2015|What finish Detroit Packers complete comeback #GBvsDET pic twitter com YmJObaJgKQ|677|994
8:46 PM - 3 Dec 2015|Aaron Rodgers Richard Rodgers Walk-off 61-yard #HailMary FOR THE WIN #GBvsDET http snpy tv 1Towmyb|23K|22K
8:46 PM - 3 Dec 2015|I JUST SHOUTED MY THROAT OUT OMGGGG|41|130
8:45 PM - 3 Dec 2015|Rodgers Rodgers WIN #GoPackGo pic twitter com c2AkUXAzU3|15K|12K
8:43 PM - 3 Dec 2015|Aaron Rodgers game winning Hail Mary Richard Rodgers Rodgers Rodgers Wow I can't feel arms right man WILD|3K|3.6K
8:44 PM - 3 Dec 2015|Go Pack f'n Go|6.4K|9.2K
8:41 PM - 3 Dec 2015|God really hates Detroit|1.4K|1.4K
8:41 PM - 3 Dec 2015|SUCK MY BALLS @RealSkipBayless|148|249
8:41 PM - 3 Dec 2015|WAAAAAY UP Walk Off #HailMary pic twitter com Nxt0c1vANA|2K|2.1K
8:41 PM - 3 Dec 2015|Walk-off Hail Mary FTW #GBvsDET pic twitter com KakHK7gQNT|4.8K|5.1K
8:39 PM - 3 Dec 2015|He caught He caught He caught|172|389
8:40 PM - 3 Dec 2015|The Packers completed hail mary Richard Rodgers take 27-23 lead time left clock|40|73
6:00 PM - 3 Dec 2015|Remember good football team Those days #tbt|73|92
5:58 PM - 3 Dec 2015|Fucking wow|10|16
5:54 PM - 3 Dec 2015|This shit hard watch|35|61
5:51 PM - 3 Dec 2015|Well go|27|39
9:17 PM - 29 Nov 2015|#Patriots believe TE Rob Gronkowski suffered serious knee injury source said More tests tomorrow sigh relief|3.4K|3.2K
8:47 PM - 29 Nov 2015|He's walking https twitter com jamespalmertv status 671186728405757954|582|489
8:29 PM - 29 Nov 2015|GRONK DOES NOT DESERVE PAIN pic twitter com nZrteEFO45|498|682
8:31 PM - 29 Nov 2015|My prayers go @RobGronkowski A true Baller great dude #Truth|1.7K|2.5K
8:30 PM - 29 Nov 2015|Pray Gronk's knees|201|167
11:41 AM - 27 Nov 2015|Every time shit like happens john I immediately make another donation planned parenthood|5K|18K
7:59 PM - 26 Nov 2015|And Rodgers helmet appears ready go back Bears leading 17-13|35|73
7:45 PM - 26 Nov 2015|SOMEONE TOSS BRETT A JERSEY|137|180
7:21 PM - 26 Nov 2015|Bart Starr Brett Favre Incredible #TH4NKSGIVING pic twitter com z7hiaM8Kg9|10K|15K
1:30 PM - 26 Nov 2015|4 hours #CHIvsGB #TH4NKSGIVING pic twitter com xVEMiCwZMJ|1.1K|1.4K
7:17 PM - 23 Nov 2015|Honestly beautiful @BindiIrwin daddy walking beside way tonight He loves much pic twitter com xHJYj9aMx7|666|3K
4:34 PM - 22 Nov 2015|Thanks playing @Vikings #Packers #KingOfTheNorth pic twitter com 6uLNjIQ3z8|230|272
4:28 PM - 22 Nov 2015|Chants #GoPackGo fill TCF Bank Stadium|1.1K|1.7K
4:09 PM - 22 Nov 2015|When Crosby gets scandalized head butt Photo creds @MegBrownski @N0tAaronRodgers pic twitter com 6bnrq93qOJ|44|101
4:01 PM - 22 Nov 2015|Child abuse jokes aren't funny Just saying|36|106
10:20 AM - 22 Nov 2015|Somewhere Trump's bigotry right wing's environmental recklessness left wing media's PC witch hunts reason exists|3.3K|6.2K
1:36 PM - 15 Nov 2015|#Packers get back #DETvsGB pic twitter com rF4M4jwWfZ|672|842
12:41 PM - 15 Nov 2015|These refs like pic twitter com sg0505uLg2|198|213
11:26 AM - 15 Nov 2015|Mike's gotta take back play calling reins Has happen|113|137
11:14 AM - 15 Nov 2015|Normal penalty rules apply Golden Tate involved|22|25
10:12 PM - 14 Nov 2015|Those awesome fights tonight @ufc All seeing dog Coke top Good sport @_HOLLYHOLM|20|126
10:28 PM - 14 Nov 2015|Couldn't happier @_HOLLYHOLM beautiful champion well deserved And much love @RondaRousey tomorrow's new day #Inspired|484|1.3K
9:52 PM - 14 Nov 2015|That unbelievable fight ever Wow #UFC193 congrats @_HOLLYHOLM wowwwwwwww|928|3.2K
