6:52 PM - 27 Nov 2015|I'm ugly pic twitter com tTtQYK0phe|200|247
9:36 AM - 12 Dec 2015|i'm nokia phone room full iphones|143|122
9:31 AM - 12 Dec 2015|Let make laugh I'm uncomfortable|3.1K|8.5K
5:53 AM - 12 Dec 2015|christmas want someone loves santa let's realistic|488|1.6K
3:29 PM - 11 Dec 2015|My parents friends they're watching vines Currently hiding closet Ive life I don't mind|721|5.5K
8:41 PM - 9 Dec 2015|Do ever lay bed think you're full blood|428|755
5:32 PM - 11 Dec 2015|drunk bathroom girls sweet|292|712
2:41 AM - 11 Dec 2015|holding back|3|14
3:05 AM - 11 Dec 2015|Next week @latelateshow @JKCorden using us carpool capacities And using handsome face|100K|170K
5:19 PM - 6 Dec 2015|I've seen video many times makes laugh every time pic twitter com fCRyKDiScb|8.7K|9.4K
11:26 PM - 7 Dec 2015|person ur sensitive im pic twitter com YO2yebpnZU|286|413
9:59 AM - 8 Dec 2015|mom tries teach drive pic twitter com 3ZnG3iyiys|69|152
3:23 PM - 9 Dec 2015|gasp ME MILLIONTH DOLLAR pic twitter com nCkSWtJtw3|912|1.8K
12:01 PM - 17 Nov 2015|If I fail one math test pic twitter com eFnYBb0MVw|4.1K|6.1K
9:05 PM - 9 Dec 2015|@citizxns Try hit you're pretty makeup shit|1|3
7:42 PM - 8 Dec 2015|wanna wear full face makeup everyday wanna natural natural there's right wrong way feel beautiful|902|1.3K
4:22 PM - 9 Dec 2015|WHY DO PEOPLE HAVE TO BE SO GOD DAMN NEGATIVE TOWARDS OTHERS LET THEM WEAR TACKY CLOTHES OR ACT DIFFERENT SO WHAT IT'S NOT YOU|54|53
3:11 PM - 8 Dec 2015|IM SO SCARED TO GROW UP COLLEGE BILLS TO PAY RESPONSIBILITIES CAREERS BILLS TO PAY BILLS TO PAY|1.9K|4.5K
7:52 PM - 7 Dec 2015|probably greatest thing I've seen social media course I participate #beautifulbothways pic twitter com Pyx3ZWC0WN|2.6K|8.8K
10:01 AM - 7 Dec 2015|needs go viral https amp twimg com v e3533b92-82ef-4734-a384-6b2b85a0e905|8.2K|5K
12:16 PM - 6 Dec 2015|Slut shaming boring Bye|1.7K|2K
12:18 PM - 6 Dec 2015|Wear clothes Or don't Post thirst traps nudes neither Be u want want It's body life decision|1.4K|1.6K
12:19 PM - 6 Dec 2015|Thot hoe slut shouldn't mean anything ladies You're woman want Don't let boys tell act|1.2K|1.5K
8:01 PM - 1 Dec 2015|Me I get lost call 911 help pic twitter com 5c89B8Em3q|1.4K|1.8K
3:38 PM - 5 Dec 2015|#Aquarius puts energy Work Love|5|3
9:04 AM - 2 Dec 2015|Nope|384|217
3:44 PM - 4 Dec 2015|Tell don't need feminism pic twitter com S7TqLeIGpK|2.7K|3.4K
12:32 PM - 3 Dec 2015|gardener thinks r bffs shit always slams window scare i'm like robert fuckin chill|622|2.9K
1:39 PM - 4 Dec 2015|You deserve Happy #NationalCookieDay pic twitter com ePo92hovJ1|29|32
4:42 AM - 29 Nov 2015|want christmas r money|9.6K|8.5K
