9:57 AM - 11 Dec 2015|21 Tumblr posts speak directly soul finals week http bzfd 1Y0Hp23 pic twitter com orxJ0Jk0yY|275|512
8:35 PM - 10 Dec 2015|When I eat much I feel like I'm dark side pic twitter com cExoiwlHq3|182|536
8:33 PM - 10 Dec 2015|I goals include Whataburger|633|917
4:54 PM - 7 Dec 2015|The pug shelf always watching u pic twitter com NGOHtCn9Bw|504|925
7:49 AM - 5 Dec 2015|Of course body wakes early weekend pic twitter com KOFuqInDUk|359|826
5:22 PM - 4 Dec 2015|Netflix party one pic twitter com yFn19X4rjq|764|1.3K
6:58 PM - 2 Dec 2015|I still idea I'm getting anyone Christmas pic twitter com QNWqPqCfGj|365|844
4:35 PM - 1 Dec 2015|Things @asarahhinson says drivers I hope filled sorrow|1|2
8:46 AM - 1 Dec 2015|When you're already Christmas spirit remember you've got finals coming pic twitter com XjCQlwR3pF|1.7K|1.7K
5:23 PM - 30 Nov 2015|December tomorrow got feeling like pic twitter com 6ARENdRQdK|18K|16K
5:45 PM - 28 Nov 2015|I h8 announcers|3|2
5:09 PM - 28 Nov 2015|@ refs pic twitter com Vujb6DTvfm|17|22
5:05 PM - 28 Nov 2015|These refs TERRIBLE|60|222
8:25 AM - 27 Nov 2015|1921 - America's first live broadcast college football game occurred College Station @WTAW1620 @TAMU tied @UTAustin 0-0|21|8
10:22 AM - 25 Nov 2015|going back school thanksgiving pic twitter com faPwltsxHt|3|2
9:41 PM - 22 Nov 2015|Me thinking classes tomorrow pic twitter com Ie0gr4llsI|7|11
2:42 PM - 21 Nov 2015|it's point semester pic twitter com mDmeuTuGLz|1.2K|1.6K
